Alex_Venditti_Left_1.c3d  



Time(s):	B_R_bicipite(μV):
0.16	34.94568
0.1605	33.03223
0.161	38.57117
0.1615	43.90869
0.162	42.90161
0.1625	29.50745
0.163	1.10779
0.1635	-32.22656
0.164	-61.12976
0.1645	-57.8064
0.165	-59.71985
0.1655	-64.55383
0.166	-51.46179
0.1665	-47.03064
0.167	-29.40674
0.1675	-8.56018
0.168	13.29346
0.1685	40.78674
0.169	65.66162
0.1695	88.0188
0.17	98.59314
0.1705	100.90942
0.171	92.85278
0.1715	90.03296
0.172	75.12817
0.1725	47.03064
0.173	14.19983
0.1735	-11.98425
0.174	-29.80957
0.1745	-44.31152
0.175	-47.43347
0.1755	-24.87488
0.176	-16.61682
0.1765	-18.8324
0.177	-21.65222
0.1775	-15.81116
0.178	10.0708
0.1785	44.41223
0.179	67.67578
0.1795	71.50269
0.18	73.81897
0.1805	62.8418
0.181	6.44531
0.1815	-26.28479
0.182	-33.9386
0.1825	-19.94019
0.183	0.30212
0.1835	22.86072
0.184	35.65063
0.1845	52.46887
0.185	70.69702
0.1855	81.67419
0.186	96.17615
0.1865	94.46411
0.187	91.54358
0.1875	98.29102
0.188	89.83154
0.1885	66.6687
0.189	55.49011
0.1895	42.7002
0.19	42.8009
0.1905	24.77417
0.191	25.98267
0.1915	18.22815
0.192	16.01257
0.1925	8.56018
0.193	-2.01416
0.1935	-14.70337
0.194	-24.67346
0.1945	-30.81665
0.195	-31.01807
0.1955	-27.09045
0.196	-24.37134
0.1965	-9.76868
0.197	-17.12036
0.1975	-15.00549
0.198	-19.73877
0.1985	-20.04089
0.199	-15.50903
0.1995	-13.99841
0.2	-18.22815
0.2005	-37.36267
0.201	-44.0094
0.2015	-43.30444
0.202	-39.88037
0.2025	-35.2478
0.203	-27.79541
0.2035	-19.13452
0.204	-14.70337
0.2045	-6.74744
0.205	-1.10779
0.2055	-7.25098
0.206	1.40991
0.2065	12.08496
0.207	15.20691
0.2075	6.84814
0.208	-15.60974
0.2085	-34.54285
0.209	-65.15808
0.2095	-87.21313
0.21	-111.08093
0.2105	-125.88501
0.211	-133.94165
0.2115	-201.81885
0.212	-254.0863
0.2125	-261.03516
0.213	-246.93604
0.2135	-207.25708
0.214	-154.28467
0.2145	-85.09827
0.215	-18.22815
0.2155	43.60657
0.216	106.54907
0.2165	140.18555
0.217	167.67883
0.2175	170.80078
0.218	153.68042
0.2185	154.6875
0.219	155.19104
0.2195	153.78113
0.22	147.1344
0.2205	133.63953
0.221	114.90784
0.2215	79.45862
0.222	18.12744
0.2225	-20.74585
0.223	-42.8009
0.2235	-52.26746
0.224	-97.48535
0.2245	-131.92749
0.225	-129.91333
0.2255	-102.42004
0.226	-80.26428
0.2265	-80.76782
0.227	-102.92358
0.2275	-129.71191
0.228	-110.17456
0.2285	-65.3595
0.229	-22.86072
0.2295	16.01257
0.23	30.51453
0.2305	54.48303
0.231	81.37207
0.2315	112.28943
0.232	139.98413
0.2325	150.9613
0.233	164.15405
0.2335	169.29016
0.234	175.43335
0.2345	170.90149
0.235	164.15405
0.2355	157.50732
0.236	136.76147
0.2365	120.95032
0.237	106.34766
0.2375	92.14783
0.238	73.01331
0.2385	71.50269
0.239	65.46021
0.2395	63.64746
0.24	61.23047
0.2405	57.60498
0.241	58.30994
0.2415	46.72852
0.242	37.26196
0.2425	17.22107
0.243	-5.84106
0.2435	-32.83081
0.244	-66.36658
0.2445	-105.03845
0.245	-130.01404
0.2455	-149.55139
0.246	-145.32166
0.2465	-134.34448
0.247	-115.31067
0.2475	-86.20605
0.248	-69.38782
0.2485	-48.94409
0.249	-22.76001
0.2495	9.06372
0.25	33.53577
0.2505	51.76392
0.251	64.45312
0.2515	71.7041
0.252	73.21472
0.2525	77.24304
0.253	85.90393
0.2535	86.40747
0.254	94.46411
0.2545	98.49243
0.255	89.42871
0.2555	80.4657
0.256	60.22339
0.2565	43.70728
0.257	11.88354
0.2575	-13.19275
0.258	-22.25647
0.2585	-13.99841
0.259	-6.44531
0.2595	-27.79541
0.26	-130.41687
0.2605	-206.35071
0.261	-284.198
0.2615	-310.5835
0.262	-296.58508
0.2625	-249.0509
0.263	-180.26733
0.2635	-100.30518
0.264	-27.19116
0.2645	43.50586
0.265	105.54199
0.2655	155.69458
0.266	183.48999
0.2665	207.86133
0.267	215.31372
0.2675	207.4585
0.268	173.01636
0.2685	135.8551
0.269	108.26111
0.2695	84.69543
0.27	63.24463
0.2705	51.36108
0.271	40.48462
0.2715	41.39099
0.272	38.16833
0.2725	31.72302
0.273	29.00391
0.2735	18.02673
0.274	1.40991
0.2745	-12.08496
0.275	-30.61523
0.2755	-55.18799
0.276	-70.89844
0.2765	-75.73242
0.277	-67.27295
0.2775	-53.67737
0.278	-42.90161
0.2785	-23.76709
0.279	-5.94177
0.2795	5.63965
0.28	15.91187
0.2805	25.07629
0.281	30.81665
0.2815	34.14001
0.282	20.84656
0.2825	-4.93469
0.283	-46.42639
0.2835	-101.71509
0.284	-141.59546
0.2845	-153.88184
0.285	-143.71033
0.2855	-123.16589
0.286	-107.85828
0.2865	-88.42163
0.287	-61.33118
0.2875	-24.97559
0.288	8.66089
0.2885	33.53577
0.289	49.24622
0.2895	62.03613
0.29	69.58923
0.2905	71.50269
0.291	79.35791
0.2915	81.27136
0.292	86.00464
0.2925	72.00623
0.293	64.55383
0.2935	49.44763
0.294	13.89771
0.2945	-27.89612
0.295	-49.44763
0.2955	-48.74268
0.296	-30.31311
0.2965	-13.797
0.297	3.22266
0.2975	16.51611
0.298	38.974
0.2985	57.10144
0.299	75.83313
0.2995	79.96216
0.3	79.2572
0.3005	68.78357
0.301	51.36108
0.3015	38.974
0.302	13.59558
0.3025	-21.04797
0.303	-31.01807
0.3035	-26.68762
0.304	-18.12744
0.3045	-5.0354
0.305	2.61841
0.3055	5.43823
0.306	15.1062
0.3065	4.73328
0.307	-2.71912
0.3075	1.51062
0.308	3.02124
0.3085	12.99133
0.309	14.50195
0.3095	22.35718
0.31	24.06921
0.3105	34.03931
0.311	12.5885
0.3115	-50.55542
0.312	-98.69385
0.3125	-118.83545
0.313	-150.45776
0.3135	-153.98254
0.314	-157.60803
0.3145	-168.4845
0.315	-175.23193
0.3155	-160.12573
0.316	-135.04944
0.3165	-95.87402
0.317	-59.31702
0.3175	-19.43665
0.318	20.74585
0.3185	47.63489
0.319	68.17932
0.3195	39.77966
0.32	23.46497
0.3205	28.80249
0.321	41.99524
0.3215	43.10303
0.322	49.95117
0.3225	67.57507
0.323	83.58765
0.3235	118.83545
0.324	142.19971
0.3245	155.896
0.325	151.16272
0.3255	154.78821
0.326	157.70874
0.3265	157.80945
0.327	160.83069
0.3275	159.42078
0.328	159.92432
0.3285	161.93848
0.329	153.88184
0.3295	133.63953
0.33	124.07227
0.3305	105.54199
0.331	89.42871
0.3315	72.20764
0.332	55.2887
0.3325	40.2832
0.333	26.18408
0.3335	4.73328
0.334	-5.23682
0.3345	-9.66797
0.335	-10.87646
0.3355	-12.38708
0.336	-13.49487
0.3365	-21.04797
0.337	-54.78516
0.3375	-123.97156
0.338	-158.11157
0.3385	-157.60803
0.339	-141.19263
0.3395	-113.69934
0.34	-89.12659
0.3405	-60.62622
0.341	-43.50586
0.3415	-33.13293
0.342	-23.46497
0.3425	-4.53186
0.343	16.3147
0.3435	21.85364
0.344	18.8324
0.3445	20.54443
0.345	20.44373
0.3455	5.0354
0.346	-6.2439
0.3465	-14.90479
0.347	-15.20691
0.3475	-17.92603
0.348	-33.83789
0.3485	-45.3186
0.349	-50.2533
0.3495	-54.98657
0.35	-72.81189
0.3505	-117.72766
0.351	-172.51282
0.3515	-192.35229
0.352	-167.37671
0.3525	-134.74731
0.353	-101.31226
0.3535	-85.80322
0.354	-44.71436
0.3545	-1.10779
0.355	36.85913
0.3555	68.48145
0.356	94.16199
0.3565	124.97864
0.357	144.91882
0.3575	159.42078
0.358	163.95264
0.3585	159.7229
0.359	148.04077
0.3595	134.84802
0.36	70.59631
0.3605	-0.80566
0.361	-33.23364
0.3615	-49.34692
0.362	-29.30603
0.3625	-1.91345
0.363	21.55151
0.3635	41.29028
0.364	55.08728
0.3645	57.00073
0.365	65.76233
0.3655	80.86853
0.366	87.91809
0.3665	88.0188
0.367	82.9834
0.3675	75.63171
0.368	66.6687
0.3685	46.42639
0.369	9.06372
0.3695	-20.1416
0.37	-40.98816
0.3705	-40.1825
0.371	-44.51294
0.3715	-31.82373
0.372	-21.85364
0.3725	-3.02124
0.373	-0.30212
0.3735	6.64673
0.374	6.74744
0.3745	-11.48071
0.375	-32.22656
0.3755	-47.13135
0.376	-73.61755
0.3765	-101.9165
0.377	-111.38306
0.3775	-127.19421
0.378	-124.27368
0.3785	-103.02429
0.379	-92.34924
0.3795	-66.97083
0.38	-45.11719
0.3805	-33.9386
0.381	-12.28638
0.3815	5.33752
0.382	1.71204
0.3825	4.12903
0.383	3.02124
0.3835	7.35168
0.384	-5.43823
0.3845	-26.3855
0.385	-47.03064
0.3855	-56.19507
0.386	-39.67896
0.3865	-39.17542
0.387	-55.18799
0.3875	-48.84338
0.388	-23.46497
0.3885	10.17151
0.389	49.44763
0.3895	76.03455
0.39	92.44995
0.3905	110.27527
0.391	117.12341
0.3915	129.00696
0.392	141.09192
0.3925	141.99829
0.393	140.78979
0.3935	131.52466
0.394	126.18713
0.3945	127.29492
0.395	118.83545
0.3955	75.22888
0.396	10.17151
0.3965	-35.2478
0.397	-53.17383
0.3975	-41.79382
0.398	-51.46179
0.3985	-112.39014
0.399	-149.85352
0.3995	-146.73157
0.4	-131.72607
0.4005	-118.53333
0.401	-118.13049
0.4015	-152.57263
0.402	-165.9668
0.4025	-152.06909
0.403	-123.36731
0.4035	-115.61279
0.404	-96.27686
0.4045	-62.74109
0.405	-17.52319
0.4055	23.96851
0.406	66.46729
0.4065	105.34058
0.407	130.01404
0.4075	136.56006
0.408	121.65527
0.4085	78.14941
0.409	62.8418
0.4095	53.67737
0.41	64.45312
0.4105	73.01331
0.411	92.95349
0.4115	108.36182
0.412	125.18005
0.4125	133.53882
0.413	150.9613
0.4135	171.50574
0.414	171.60645
0.4145	164.15405
0.415	165.76538
0.4155	160.12573
0.416	156.29883
0.4165	134.74731
0.417	104.73633
0.4175	85.90393
0.418	58.71277
0.4185	48.03772
0.419	33.33435
0.4195	35.34851
0.42	30.81665
0.4205	24.06921
0.421	19.23523
0.4215	18.22815
0.422	5.43823
0.4225	-4.73328
0.423	-9.36584
0.4235	-10.77576
0.424	-20.34302
0.4245	-16.51611
0.425	-22.45789
0.4255	-30.71594
0.426	-25.68054
0.4265	-23.46497
0.427	-28.39966
0.4275	-25.78125
0.428	-26.58691
0.4285	-24.77417
0.429	-23.8678
0.4295	-20.34302
0.43	-23.8678
0.4305	-25.177
0.431	-25.07629
0.4315	-25.177
0.432	-21.04797
0.4325	-25.57983
0.433	-22.35718
0.4335	-25.07629
0.434	-27.39258
0.4345	-25.27771
0.435	-31.72302
0.4355	-39.07471
0.436	-44.61365
0.4365	-47.23206
0.437	-57.20215
0.4375	-60.62622
0.438	-61.43188
0.4385	-64.55383
0.439	-55.08728
0.4395	-48.03772
0.44	-67.17224
0.4405	-95.16907
0.441	-105.74341
0.4415	-105.23987
0.442	-97.78748
0.4425	-101.8158
0.443	-143.00537
0.4435	-179.05884
0.444	-196.88416
0.4445	-181.57654
0.445	-145.8252
0.4455	-103.93066
0.446	-64.65454
0.4465	-15.91187
0.447	29.10461
0.4475	72.00623
0.448	109.3689
0.4485	131.42395
0.449	147.43652
0.4495	162.74414
0.45	164.85901
0.4505	157.00378
0.451	131.32324
0.4515	88.82446
0.452	59.51843
0.4525	35.85205
0.453	-15.30762
0.4535	-58.81348
0.454	-62.8418
0.4545	-45.82214
0.455	-26.08337
0.4555	16.51611
0.456	49.95117
0.4565	75.4303
0.457	90.93933
0.4575	110.07385
0.458	123.66943
0.4585	136.86218
0.459	144.21387
0.4595	135.8551
0.46	120.04395
0.4605	102.11792
0.461	86.91101
0.4615	73.31543
0.462	68.07861
0.4625	50.75684
0.463	40.2832
0.4635	36.95984
0.464	32.7301
0.4645	38.16833
0.465	33.63647
0.4655	19.33594
0.466	11.88354
0.4665	3.62549
0.467	1.10779
0.4675	-9.56726
0.468	-9.06372
0.4685	-23.96851
0.469	-38.77258
0.4695	-49.64905
0.47	-53.47595
0.4705	-50.45471
0.471	-43.10303
0.4715	-40.38391
0.472	-35.04639
0.4725	-25.88196
0.473	-21.45081
0.4735	-12.5885
0.474	-12.08496
0.4745	-8.96301
0.475	-10.0708
0.4755	-18.63098
0.476	-17.52319
0.4765	-15.71045
0.477	-17.92603
0.4775	-29.00391
0.478	-62.23755
0.4785	-118.83545
0.479	-178.75671
0.4795	-209.27124
0.48	-213.09814
0.4805	-213.90381
0.481	-208.06274
0.4815	-190.74097
0.482	-144.51599
0.4825	-106.54907
0.483	-80.26428
0.4835	-44.61365
0.484	-11.98425
0.4845	17.6239
0.485	-24.16992
0.4855	-72.00623
0.486	-82.68127
0.4865	-57.8064
0.487	-15.00549
0.4875	24.67346
0.488	60.4248
0.4885	97.48535
0.489	115.51208
0.4895	150.75989
0.49	166.57104
0.4905	179.76379
0.491	180.56946
0.4915	184.29565
0.492	175.83618
0.4925	161.13281
0.493	153.98254
0.4935	145.62378
0.494	132.0282
0.4945	118.02979
0.495	94.66553
0.4955	77.54517
0.496	62.64038
0.4965	54.68445
0.497	57.40356
0.4975	52.56958
0.498	62.13684
0.4985	59.21631
0.499	55.18799
0.4995	52.46887
0.5	44.51294
0.5005	45.72144
0.501	40.88745
0.5015	31.82373
0.502	17.6239
0.5025	12.78992
0.503	2.01416
0.5035	0.70496
0.504	-1.71204
0.5045	-8.05664
0.505	-8.8623
0.5055	-9.46655
0.506	-12.18567
0.5065	-13.19275
0.507	-15.20691
0.5075	-24.06921
0.508	-36.15417
0.5085	-38.77258
0.509	-44.81506
0.5095	-48.23914
0.51	-47.53418
0.5105	-55.79224
0.511	-58.41064
0.5115	-57.70569
0.512	-70.69702
0.5125	-73.21472
0.513	-73.51685
0.5135	-74.32251
0.514	-75.12817
0.5145	-75.93384
0.515	-68.68286
0.5155	-47.33276
0.516	-39.57825
0.5165	-51.86462
0.517	-129.91333
0.5175	-267.8833
0.518	-379.46777
0.5185	-396.48743
0.519	-374.63379
0.5195	-318.33801
0.52	-232.73621
0.5205	-129.00696
0.521	-22.6593
0.5215	75.32959
0.522	153.68042
0.5225	212.4939
0.523	220.55054
0.5235	223.06824
0.524	221.55762
0.5245	223.77319
0.525	207.25708
0.5255	202.72522
0.526	188.32397
0.5265	180.67017
0.527	153.3783
0.5275	126.9928
0.528	111.18164
0.5285	105.74341
0.529	100.50659
0.5295	103.22571
0.53	108.36182
0.5305	96.67969
0.531	86.10535
0.5315	80.96924
0.532	83.08411
0.5325	90.43579
0.533	91.24146
0.5335	87.11243
0.534	78.75366
0.5345	79.05579
0.535	70.3949
0.5355	69.89136
0.536	61.02905
0.5365	64.45312
0.537	54.58374
0.5375	35.65063
0.538	24.47205
0.5385	22.15576
0.539	19.23523
0.5395	11.58142
0.54	-0.90637
0.5405	-5.0354
0.541	-10.77576
0.5415	-12.99133
0.542	-13.49487
0.5425	-12.38708
0.543	-17.22107
0.5435	-14.19983
0.544	-36.85913
0.5445	-67.77649
0.545	-106.64978
0.5455	-130.31616
0.546	-192.15088
0.5465	-268.28613
0.547	-296.88721
0.5475	-293.26172
0.548	-280.77393
0.5485	-262.64648
0.549	-216.42151
0.5495	-159.11865
0.55	-96.07544
0.5505	-44.11011
0.551	6.84814
0.5515	55.3894
0.552	97.38464
0.5525	125.18005
0.553	140.8905
0.5535	148.84644
0.554	171.70715
0.5545	173.41919
0.555	165.56396
0.5555	161.83777
0.556	142.70325
0.5565	125.98572
0.557	111.28235
0.5575	94.56482
0.558	80.56641
0.5585	69.28711
0.559	68.28003
0.5595	66.16516
0.56	62.23755
0.5605	50.2533
0.561	39.98108
0.5615	35.2478
0.562	29.50745
0.5625	18.8324
0.563	21.14868
0.5635	12.08496
0.564	17.92603
0.5645	29.60815
0.565	29.60815
0.5655	21.65222
0.566	7.85522
0.5665	-1.3092
0.567	-4.73328
0.5675	-12.68921
0.568	-18.02673
0.5685	-29.20532
0.569	-25.47913
0.5695	-28.19824
0.57	-25.27771
0.5705	-20.34302
0.571	-23.8678
0.5715	-21.55151
0.572	-27.79541
0.5725	-56.09436
0.573	-86.8103
0.5735	-122.66235
0.574	-144.51599
0.5745	-150.55847
0.575	-141.49475
0.5755	-125.7843
0.576	-120.7489
0.5765	-115.20996
0.577	-105.23987
0.5775	-83.78906
0.578	-53.77808
0.5785	-38.57117
0.579	-28.80249
0.5795	-11.78284
0.58	16.11328
0.5805	51.76392
0.581	68.07861
0.5815	81.17065
0.582	92.24854
0.5825	102.21863
0.583	106.8512
0.5835	112.18872
0.584	124.87793
0.5845	130.41687
0.585	132.43103
0.5855	122.56165
0.586	117.32483
0.5865	94.86694
0.587	78.55225
0.5875	62.33826
0.588	52.36816
0.5885	39.17542
0.589	15.00549
0.5895	0.20142
0.59	-12.48779
0.5905	-12.99133
0.591	-20.84656
0.5915	-12.5885
0.592	-3.22266
0.5925	11.68213
0.593	14.40125
0.5935	15.50903
0.594	14.60266
0.5945	14.19983
0.595	21.45081
0.5955	20.94727
0.596	12.68921
0.5965	-0.10071
0.597	-9.16443
0.5975	-14.19983
0.598	-22.05505
0.5985	-31.4209
0.599	-51.5625
0.5995	-63.64746
0.6	-61.43188
0.6005	-56.19507
0.601	-45.01648
0.6015	-41.4917
0.602	-35.75134
0.6025	-19.03381
0.603	-49.24622
0.6035	-141.89758
0.604	-229.51355
0.6045	-264.55994
0.605	-253.48206
0.6055	-211.38611
0.606	-161.73706
0.6065	-125.07935
0.607	-80.06287
0.6075	-22.15576
0.608	35.34851
0.6085	80.4657
0.609	110.98022
0.6095	122.15881
0.61	114.80713
0.6105	109.06677
0.611	67.77649
0.6115	46.82922
0.612	51.46179
0.6125	78.95508
0.613	106.24695
0.6135	125.7843
0.614	144.51599
0.6145	177.3468
0.615	187.21619
0.6155	187.82043
0.616	190.84167
0.6165	181.073
0.617	152.57263
0.6175	124.67651
0.618	105.84412
0.6185	96.27686
0.619	87.91809
0.6195	76.84021
0.62	52.8717
0.6205	46.5271
0.621	36.75842
0.6215	23.26355
0.622	15.91187
0.6225	5.84106
0.623	-3.7262
0.6235	-27.89612
0.624	-58.10852
0.6245	-72.40906
0.625	-83.28552
0.6255	-101.01013
0.626	-108.1604
0.6265	-109.06677
0.627	-88.52234
0.6275	-70.69702
0.628	-75.12817
0.6285	-74.12109
0.629	-68.58215
0.6295	-52.771
0.63	-39.37683
0.6305	-22.55859
0.631	-8.35876
0.6315	11.17859
0.632	12.89062
0.6325	2.61841
0.633	8.35876
0.6335	7.04956
0.634	16.41541
0.6345	17.82532
0.635	18.22815
0.6355	26.18408
0.636	28.09753
0.6365	34.34143
0.637	41.59241
0.6375	35.14709
0.638	48.54126
0.6385	43.60657
0.639	42.59949
0.6395	42.7002
0.64	37.66479
0.6405	38.974
0.641	34.94568
0.6415	20.94727
0.642	5.63965
0.6425	-9.16443
0.643	-6.84814
0.6435	-13.797
0.644	-19.33594
0.6445	-23.16284
0.645	-16.3147
0.6455	-20.54443
0.646	-13.69629
0.6465	-2.5177
0.647	-1.10779
0.6475	5.33752
0.648	7.65381
0.6485	20.1416
0.649	27.99683
0.6495	24.16992
