Daniele_De_Santis_Left_2.c3d  



Time(s):	C_L_bicipite(μV):
0.165	10.0708
0.1655	9.86938
0.166	8.25806
0.1665	11.58142
0.167	9.56726
0.1675	9.76868
0.168	13.39417
0.1685	12.68921
0.169	11.58142
0.1695	13.29346
0.17	20.44373
0.1705	16.81824
0.171	17.72461
0.1715	16.21399
0.172	16.11328
0.1725	12.08496
0.173	14.60266
0.1735	12.5885
0.174	7.25098
0.1745	16.71753
0.175	16.91895
0.1755	18.32886
0.176	12.78992
0.1765	13.39417
0.177	16.01257
0.1775	11.48071
0.178	10.27222
0.1785	13.99841
0.179	5.94177
0.1795	9.76868
0.18	10.17151
0.1805	10.87646
0.181	10.47363
0.1815	10.57434
0.182	11.88354
0.1825	8.7616
0.183	6.94885
0.1835	7.85522
0.184	10.47363
0.1845	8.25806
0.185	3.8269
0.1855	7.25098
0.186	5.33752
0.1865	8.15735
0.187	6.54602
0.1875	2.21558
0.188	3.7262
0.1885	1.3092
0.189	1.51062
0.1895	1.91345
0.19	2.11487
0.1905	-0.40283
0.191	3.32336
0.1915	3.62549
0.192	6.14319
0.1925	5.74036
0.193	3.92761
0.1935	3.62549
0.194	5.63965
0.1945	4.53186
0.195	2.01416
0.1955	7.85522
0.196	2.71912
0.1965	3.02124
0.197	3.62549
0.1975	2.21558
0.198	6.44531
0.1985	3.7262
0.199	2.41699
0.1995	0.50354
0.2	-0.20142
0.2005	4.83398
0.201	0.80566
0.2015	2.21558
0.202	2.31628
0.2025	-1.10779
0.203	3.02124
0.2035	0.20142
0.204	2.21558
0.2045	2.71912
0.205	2.11487
0.2055	3.62549
0.206	3.22266
0.2065	3.32336
0.207	-3.62549
0.2075	4.02832
0.208	4.53186
0.2085	3.8269
0.209	2.31628
0.2095	4.12903
0.21	0.70496
0.2105	4.22974
0.211	-4.53186
0.2115	1.00708
0.212	4.12903
0.2125	1.51062
0.213	10.57434
0.2135	6.2439
0.214	4.33044
0.2145	5.84106
0.215	3.42407
0.2155	1.51062
0.216	2.01416
0.2165	-1.91345
0.217	-0.30212
0.2175	3.92761
0.218	1.10779
0.2185	-2.41699
0.219	2.11487
0.2195	-1.3092
0.22	5.0354
0.2205	1.61133
0.221	-2.61841
0.2215	0.30212
0.222	0.50354
0.2225	2.61841
0.223	5.43823
0.2235	2.41699
0.224	1.3092
0.2245	4.83398
0.225	2.92053
0.2255	0.10071
0.226	0.60425
0.2265	4.02832
0.227	2.41699
0.2275	5.84106
0.228	0.40283
0.2285	4.93469
0.229	5.94177
0.2295	2.81982
0.23	0.90637
0.2305	4.22974
0.231	10.77576
0.2315	0.40283
0.232	5.53894
0.2325	10.27222
0.233	6.2439
0.2335	6.84814
0.234	8.7616
0.2345	12.18567
0.235	8.35876
0.2355	9.66797
0.236	6.84814
0.2365	6.84814
0.237	8.15735
0.2375	6.04248
0.238	3.92761
0.2385	8.25806
0.239	8.25806
0.2395	8.96301
0.24	8.96301
0.2405	4.73328
0.241	0.90637
0.2415	8.05664
0.242	9.76868
0.2425	9.16443
0.243	7.75452
0.2435	5.53894
0.244	5.43823
0.2445	6.54602
0.245	12.38708
0.2455	6.74744
0.246	4.22974
0.2465	4.63257
0.247	9.86938
0.2475	14.09912
0.248	14.30054
0.2485	8.45947
0.249	8.45947
0.2495	7.95593
0.25	8.05664
0.2505	3.92761
0.251	7.04956
0.2515	7.35168
0.252	2.31628
0.2525	6.3446
0.253	6.84814
0.2535	7.5531
0.254	7.25098
0.2545	7.75452
0.255	6.74744
0.2555	4.53186
0.256	1.3092
0.2565	0.70496
0.257	5.74036
0.2575	6.2439
0.258	5.43823
0.2585	4.73328
0.259	4.73328
0.2595	2.21558
0.26	1.71204
0.2605	0.80566
0.261	5.63965
0.2615	6.84814
0.262	5.43823
0.2625	5.53894
0.263	3.12195
0.2635	4.63257
0.264	-1.40991
0.2645	4.12903
0.265	4.33044
0.2655	5.0354
0.266	6.04248
0.2665	5.23682
0.267	6.14319
0.2675	9.66797
0.268	8.35876
0.2685	5.74036
0.269	13.99841
0.2695	10.47363
0.27	9.26514
0.2705	8.35876
0.271	10.0708
0.2715	7.75452
0.272	6.44531
0.2725	6.3446
0.273	0
0.2735	3.7262
0.274	0.50354
0.2745	8.56018
0.275	8.96301
0.2755	7.15027
0.276	5.53894
0.2765	9.76868
0.277	8.25806
0.2775	3.22266
0.278	10.77576
0.2785	6.3446
0.279	5.63965
0.2795	4.12903
0.28	6.44531
0.2805	8.35876
0.281	3.32336
0.2815	3.02124
0.282	-3.22266
0.2825	3.52478
0.283	11.2793
0.2835	11.07788
0.284	10.97717
0.2845	9.56726
0.285	8.35876
0.2855	8.15735
0.286	7.04956
0.2865	7.75452
0.287	11.2793
0.2875	11.17859
0.288	10.0708
0.2885	6.54602
0.289	10.27222
0.2895	6.64673
0.29	3.42407
0.2905	3.12195
0.291	2.21558
0.2915	1.51062
0.292	7.15027
0.2925	8.56018
0.293	9.97009
0.2935	11.2793
0.294	7.15027
0.2945	6.74744
0.295	4.73328
0.2955	6.94885
0.296	6.94885
0.2965	10.27222
0.297	9.56726
0.2975	10.0708
0.298	9.36584
0.2985	4.33044
0.299	5.94177
0.2995	10.27222
0.3	12.5885
0.3005	4.63257
0.301	4.02832
0.3015	8.56018
0.302	5.0354
0.3025	5.0354
0.303	5.13611
0.3035	7.15027
0.304	3.7262
0.3045	4.22974
0.305	3.22266
0.3055	7.04956
0.306	5.94177
0.3065	6.3446
0.307	5.33752
0.3075	6.74744
0.308	8.66089
0.3085	10.87646
0.309	9.86938
0.3095	8.15735
0.31	7.45239
0.3105	7.45239
0.311	3.92761
0.3115	3.32336
0.312	4.02832
0.3125	10.47363
0.313	4.02832
0.3135	4.02832
0.314	0.50354
0.3145	0.70496
0.315	8.8623
0.3155	5.74036
0.316	6.64673
0.3165	9.26514
0.317	12.28638
0.3175	16.3147
0.318	12.28638
0.3185	10.0708
0.319	8.25806
0.3195	5.43823
0.32	7.15027
0.3205	9.66797
0.321	10.17151
0.3215	3.32336
0.322	4.12903
0.3225	3.02124
0.323	-3.7262
0.3235	2.71912
0.324	2.21558
0.3245	7.5531
0.325	6.64673
0.3255	6.04248
0.326	9.66797
0.3265	7.95593
0.327	8.8623
0.3275	4.53186
0.328	10.0708
0.3285	9.26514
0.329	5.23682
0.3295	6.94885
0.33	11.2793
0.3305	6.14319
0.331	8.96301
0.3315	4.63257
0.332	7.5531
0.3325	9.56726
0.333	10.17151
0.3335	6.3446
0.334	5.84106
0.3345	4.12903
0.335	6.94885
0.3355	3.32336
0.336	0
0.3365	-0.90637
0.337	1.40991
0.3375	-2.5177
0.338	3.8269
0.3385	3.52478
0.339	3.92761
0.3395	9.97009
0.34	4.83398
0.3405	2.31628
0.341	4.12903
0.3415	7.45239
0.342	5.0354
0.3425	7.85522
0.343	3.32336
0.3435	1.10779
0.344	-4.33044
0.3445	2.41699
0.345	-3.12195
0.3455	2.71912
0.346	-0.80566
0.3465	-2.71912
0.347	4.53186
0.3475	1.61133
0.348	1.91345
0.3485	4.22974
0.349	2.92053
0.3495	5.0354
0.35	6.94885
0.3505	5.0354
0.351	4.22974
0.3515	3.8269
0.352	3.32336
0.3525	4.12903
0.353	0.50354
0.3535	3.62549
0.354	6.64673
0.3545	8.45947
0.355	4.22974
0.3555	8.56018
0.356	5.43823
0.3565	7.25098
0.357	6.04248
0.3575	6.54602
0.358	3.42407
0.3585	2.71912
0.359	4.73328
0.3595	6.84814
0.36	6.2439
0.3605	-0.90637
0.361	5.53894
0.3615	4.73328
0.362	9.56726
0.3625	10.77576
0.363	13.09204
0.3635	7.04956
0.364	8.25806
0.3645	8.45947
0.365	5.63965
0.3655	3.8269
0.366	4.02832
0.3665	6.3446
0.367	6.94885
0.3675	6.2439
0.368	1.00708
0.3685	3.8269
0.369	-0.40283
0.3695	6.64673
0.37	4.33044
0.3705	5.23682
0.371	3.02124
0.3715	6.3446
0.372	11.17859
0.3725	4.12903
0.373	8.15735
0.3735	1.61133
0.374	0.50354
0.3745	1.91345
0.375	5.33752
0.3755	4.93469
0.376	1.51062
0.3765	1.00708
0.377	4.22974
0.3775	6.3446
0.378	1.10779
0.3785	2.81982
0.379	7.65381
0.3795	1.10779
0.38	-0.10071
0.3805	4.83398
0.381	3.8269
0.3815	6.3446
0.382	5.94177
0.3825	3.8269
0.383	2.71912
0.3835	-0.30212
0.384	-0.10071
0.3845	7.15027
0.385	1.10779
0.3855	0.20142
0.386	2.11487
0.3865	-0.90637
0.387	-1.40991
0.3875	4.22974
0.388	2.21558
0.3885	4.22974
0.389	4.53186
0.3895	3.32336
0.39	4.73328
0.3905	5.13611
0.391	6.94885
0.3915	6.14319
0.392	4.93469
0.3925	2.71912
0.393	-3.52478
0.3935	2.11487
0.394	1.40991
0.3945	4.02832
0.395	0.30212
0.3955	5.33752
0.396	1.91345
0.3965	9.26514
0.397	9.26514
0.3975	7.95593
0.398	9.56726
0.3985	11.07788
0.399	9.36584
0.3995	8.25806
0.4	11.48071
0.4005	9.76868
0.401	10.0708
0.4015	13.19275
0.402	6.74744
0.4025	1.40991
0.403	5.53894
0.4035	5.63965
0.404	3.8269
0.4045	5.63965
0.405	6.64673
0.4055	9.66797
0.406	9.06372
0.4065	9.46655
0.407	10.27222
0.4075	6.84814
0.408	8.45947
0.4085	2.41699
0.409	5.74036
0.4095	9.66797
0.41	4.93469
0.4105	7.85522
0.411	3.92761
0.4115	4.12903
0.412	6.64673
0.4125	7.04956
0.413	12.89062
0.4135	11.78284
0.414	4.73328
0.4145	4.33044
0.415	6.04248
0.4155	10.0708
0.416	5.0354
0.4165	3.62549
0.417	8.45947
0.4175	6.74744
0.418	5.33752
0.4185	1.00708
0.419	7.35168
0.4195	4.83398
0.42	9.36584
0.4205	8.56018
0.421	5.63965
0.4215	2.21558
0.422	2.81982
0.4225	3.42407
0.423	4.83398
0.4235	6.74744
0.424	4.43115
0.4245	7.45239
0.425	8.05664
0.4255	6.44531
0.426	7.45239
0.4265	7.75452
0.427	8.96301
0.4275	10.0708
0.428	4.12903
