Francesco_Luisi_Left_2.c3d  



Time(s):	B_R_bicipite(μV):
0.1645	5.0354
0.165	10.0708
0.1655	8.05664
0.166	14.40125
0.1665	13.19275
0.167	7.04956
0.1675	10.37292
0.168	11.58142
0.1685	6.84814
0.169	7.95593
0.1695	5.43823
0.17	7.65381
0.1705	10.97717
0.171	12.89062
0.1715	14.30054
0.172	8.15735
0.1725	4.33044
0.173	2.92053
0.1735	1.00708
0.174	5.63965
0.1745	12.08496
0.175	6.2439
0.1755	6.94885
0.176	5.74036
0.1765	6.74744
0.177	7.25098
0.1775	8.05664
0.178	9.46655
0.1785	8.56018
0.179	4.02832
0.1795	3.42407
0.18	6.54602
0.1805	6.14319
0.181	2.92053
0.1815	4.83398
0.182	7.15027
0.1825	9.97009
0.183	5.84106
0.1835	14.90479
0.184	5.23682
0.1845	10.0708
0.185	8.15735
0.1855	4.33044
0.186	4.83398
0.1865	-0.60425
0.187	1.51062
0.1875	2.81982
0.188	1.61133
0.1885	-1.71204
0.189	-2.21558
0.1895	3.42407
0.19	8.96301
0.1905	6.44531
0.191	7.35168
0.1915	5.94177
0.192	4.93469
0.1925	4.02832
0.193	-1.10779
0.1935	1.51062
0.194	0.50354
0.1945	4.43115
0.195	4.93469
0.1955	2.92053
0.196	0.30212
0.1965	6.54602
0.197	8.05664
0.1975	10.17151
0.198	7.45239
0.1985	9.66797
0.199	10.17151
0.1995	7.04956
0.2	10.37292
0.2005	6.04248
0.201	3.7262
0.2015	7.25098
0.202	-0.70496
0.2025	1.2085
0.203	-1.81274
0.2035	2.5177
0.204	-0.30212
0.2045	1.2085
0.205	9.97009
0.2055	8.35876
0.206	3.92761
0.2065	7.35168
0.207	1.71204
0.2075	0.30212
0.208	3.92761
0.2085	2.41699
0.209	0
0.2095	1.71204
0.21	2.01416
0.2105	-0.10071
0.211	1.40991
0.2115	1.61133
0.212	2.5177
0.2125	0
0.213	4.83398
0.2135	3.32336
0.214	0.80566
0.2145	1.3092
0.215	3.92761
0.2155	2.71912
0.216	4.63257
0.2165	6.84814
0.217	10.27222
0.2175	7.04956
0.218	8.7616
0.2185	9.86938
0.219	10.87646
0.2195	8.96301
0.22	5.0354
0.2205	2.71912
0.221	0.80566
0.2215	-0.80566
0.222	5.63965
0.2225	1.61133
0.223	2.81982
0.2235	3.62549
0.224	7.15027
0.2245	7.5531
0.225	9.56726
0.2255	10.57434
0.226	6.2439
0.2265	1.81274
0.227	1.51062
0.2275	13.29346
0.228	12.48779
0.2285	9.56726
0.229	10.77576
0.2295	8.45947
0.23	8.56018
0.2305	12.89062
0.231	8.8623
0.2315	4.43115
0.232	10.67505
0.2325	9.97009
0.233	12.68921
0.2335	2.71912
0.234	3.52478
0.2345	10.87646
0.235	7.45239
0.2355	4.83398
0.236	3.42407
0.2365	4.02832
0.237	7.25098
0.2375	8.56018
0.238	2.92053
0.2385	4.12903
0.239	5.0354
0.2395	5.33752
0.24	6.74744
0.2405	0.20142
0.241	1.3092
0.2415	1.2085
0.242	1.10779
0.2425	1.2085
0.243	-1.40991
0.2435	-3.32336
0.244	-2.71912
0.2445	3.42407
0.245	5.94177
0.2455	0.50354
0.246	0.70496
0.2465	1.00708
0.247	0.70496
0.2475	4.43115
0.248	4.53186
0.2485	8.45947
0.249	6.14319
0.2495	11.78284
0.25	5.0354
0.2505	7.04956
0.251	10.27222
0.2515	4.63257
0.252	3.7262
0.2525	3.22266
0.253	3.62549
0.2535	3.7262
0.254	3.62549
0.2545	6.84814
0.255	3.42407
0.2555	7.65381
0.256	11.48071
0.2565	3.52478
0.257	5.84106
0.2575	9.56726
0.258	8.45947
0.2585	5.23682
0.259	11.78284
0.2595	5.53894
0.26	8.35876
0.2605	12.08496
0.261	7.25098
0.2615	9.06372
0.262	11.88354
0.2625	6.04248
0.263	10.47363
0.2635	11.2793
0.264	12.89062
0.2645	8.96301
0.265	12.08496
0.2655	7.95593
0.266	12.38708
0.2665	9.26514
0.267	8.45947
0.2675	4.73328
0.268	8.25806
0.2685	6.14319
0.269	6.3446
0.2695	4.83398
0.27	8.15735
0.2705	8.66089
0.271	5.0354
0.2715	2.5177
0.272	0.90637
0.2725	2.01416
0.273	1.71204
0.2735	2.31628
0.274	4.93469
0.2745	1.40991
0.275	-0.20142
0.2755	3.8269
0.276	-0.10071
0.2765	1.51062
0.277	2.71912
0.2775	3.52478
0.278	-1.81274
0.2785	6.14319
0.279	8.45947
0.2795	3.8269
0.28	3.7262
0.2805	1.81274
0.281	3.7262
0.2815	0.90637
0.282	1.2085
0.2825	3.12195
0.283	9.76868
0.2835	7.25098
0.284	9.76868
0.2845	3.42407
