Domenico_Di_Fonza_Right_1.c3d  



Time(s):	C_R_bicipite(μV):
0.1375	-15.1062
0.138	-42.90161
0.1385	-59.01489
0.139	-54.68445
0.1395	-24.57275
0.14	-6.64673
0.1405	25.78125
0.141	65.05737
0.1415	96.07544
0.142	98.49243
0.1425	112.89368
0.143	114.505
0.1435	107.65686
0.144	93.85986
0.1445	89.02588
0.145	86.40747
0.1455	62.53967
0.146	31.32019
0.1465	1.40991
0.147	-15.20691
0.1475	-19.23523
0.148	-21.85364
0.1485	-23.46497
0.149	-14.40125
0.1495	1.40991
0.15	12.89062
0.1505	33.03223
0.151	27.29187
0.1515	14.19983
0.152	2.71912
0.1525	1.51062
0.153	1.10779
0.1535	-6.14319
0.154	-32.02515
0.1545	-58.91418
0.155	-87.11243
0.1555	-111.18164
0.156	-126.38855
0.1565	-134.74731
0.157	-126.69067
0.1575	-96.8811
0.158	-48.54126
0.1585	2.92053
0.159	30.61523
0.1595	37.96692
0.16	38.26904
0.1605	29.00391
0.161	26.68762
0.1615	24.87488
0.162	9.06372
0.1625	2.92053
0.163	-10.37292
0.1635	-10.97717
0.164	-10.37292
0.1645	-16.71753
0.165	-12.78992
0.1655	-6.94885
0.166	7.85522
0.1665	7.35168
0.167	11.98425
0.1675	19.73877
0.168	16.41541
0.1685	20.04089
0.169	10.0708
0.1695	0.70496
0.17	-2.81982
0.1705	-8.05664
0.171	-3.42407
0.1715	-5.94177
0.172	-4.33044
0.1725	-7.65381
0.173	-10.87646
0.1735	-8.96301
0.174	-20.54443
0.1745	-18.53027
0.175	-35.2478
0.1755	-42.09595
0.176	-39.27612
0.1765	-42.39807
0.177	-49.95117
0.1775	-71.20056
0.178	-81.17065
0.1785	-74.72534
0.179	-69.58923
0.1795	-59.82056
0.18	-42.8009
0.1805	-31.4209
0.181	-17.22107
0.1815	-0.80566
0.182	22.45789
0.1825	43.00232
0.183	51.86462
0.1835	64.25171
0.184	70.79773
0.1845	58.20923
0.185	62.03613
0.1855	60.4248
0.186	53.87878
0.1865	36.65771
0.187	19.23523
0.1875	14.19983
0.188	18.32886
0.1885	28.50037
0.189	19.94019
0.1895	24.87488
0.19	18.32886
0.1905	18.32886
0.191	13.59558
0.1915	12.5885
0.192	6.2439
0.1925	10.0708
0.193	11.78284
0.1935	10.47363
0.194	7.45239
0.1945	3.62549
0.195	10.77576
0.1955	8.45947
0.196	13.89771
0.1965	10.97717
0.197	1.3092
0.1975	-9.97009
0.198	-9.46655
0.1985	-18.8324
0.199	-17.72461
0.1995	-29.80957
0.2	-38.57117
0.2005	-60.82764
0.201	-70.59631
0.2015	-79.76074
0.202	-81.17065
0.2025	-64.55383
0.203	-49.54834
0.2035	-13.19275
0.204	26.88904
0.2045	47.63489
0.205	62.33826
0.2055	68.58215
0.206	75.83313
0.2065	67.27295
0.207	48.54126
0.2075	13.39417
0.208	-5.63965
0.2085	-22.45789
0.209	-41.39099
0.2095	-46.62781
0.21	-51.26038
0.2105	-46.32568
0.211	-36.4563
0.2115	-18.42957
0.212	4.33044
0.2125	28.70178
0.213	45.52002
0.2135	37.86621
0.214	27.09045
0.2145	28.50037
0.215	25.68054
0.2155	12.99133
0.216	0.50354
0.2165	2.61841
0.217	1.10779
0.2175	-21.65222
0.218	-42.09595
0.2185	-53.77808
0.219	-62.64038
0.2195	-65.25879
0.22	-52.16675
0.2205	-32.42798
0.221	-2.61841
0.2215	25.07629
0.222	48.54126
0.2225	66.6687
0.223	86.8103
0.2235	106.14624
0.224	120.64819
0.2245	107.75757
0.225	85.5011
0.2255	62.64038
0.226	37.96692
0.2265	19.83948
0.227	10.57434
0.2275	15.71045
0.228	4.22974
0.2285	-42.29736
0.229	-67.07153
0.2295	-73.01331
0.23	-85.09827
0.2305	-87.01172
0.231	-78.65295
0.2315	-52.8717
0.232	-22.55859
0.2325	-6.3446
0.233	5.53894
0.2335	14.19983
0.234	20.44373
0.2345	11.88354
0.235	8.8623
0.2355	-8.7616
0.236	-20.74585
0.2365	-29.60815
0.237	-40.1825
0.2375	-40.48462
0.238	-33.03223
0.2385	-21.24939
0.239	-14.70337
0.2395	-13.19275
0.24	-19.43665
0.2405	-22.35718
0.241	-22.15576
0.2415	-20.24231
0.242	-9.56726
0.2425	0.90637
0.243	4.83398
0.2435	16.21399
0.244	22.35718
0.2445	24.67346
0.245	23.36426
0.2455	25.78125
0.246	23.06213
0.2465	13.89771
0.247	4.53186
0.2475	-3.7262
0.248	-10.57434
0.2485	-11.68213
0.249	-10.17151
0.2495	-10.97717
0.25	-1.2085
0.2505	6.54602
0.251	7.45239
0.2515	13.69629
0.252	23.16284
0.2525	13.19275
0.253	-10.87646
0.2535	-28.29895
0.254	-32.62939
0.2545	-25.37842
0.255	-26.68762
0.2555	-19.03381
0.256	-6.04248
0.2565	-1.71204
0.257	-1.40991
0.2575	7.15027
0.258	16.51611
0.2585	26.3855
0.259	30.71594
0.2595	26.48621
0.26	28.70178
0.2605	46.42639
0.261	56.69861
0.2615	29.40674
0.262	-7.04956
0.2625	-30.41382
0.263	-43.30444
0.2635	-41.59241
0.264	-42.7002
0.2645	-48.74268
0.265	-64.35242
0.2655	-79.15649
0.266	-88.72375
0.2665	-102.72217
0.267	-101.31226
0.2675	-97.28394
0.268	-95.16907
0.2685	-74.2218
0.269	-67.77649
0.2695	-52.8717
0.27	-29.40674
0.2705	-4.02832
0.271	37.66479
0.2715	92.55066
0.272	148.74573
0.2725	172.41211
0.273	192.453
0.2735	193.15796
0.274	184.49707
0.2745	155.59387
0.275	125.98572
0.2755	77.84729
0.276	27.89612
0.2765	-2.81982
0.277	-8.96301
0.2775	-9.97009
0.278	-13.09204
0.2785	-14.19983
0.279	-19.23523
0.2795	-39.07471
0.28	-38.26904
0.2805	-34.03931
0.281	-19.83948
0.2815	-18.73169
0.282	-23.76709
0.2825	-22.6593
0.283	-31.21948
0.2835	-37.46338
0.284	-38.77258
0.2845	-35.85205
