Gianluca_La_Polta_Right_2.c3d  



Time(s):	B_L_bicipite(μV):
0	4.93469
0.0005	-2.81982
0.001	-8.35876
0.0015	-13.59558
0.002	-12.18567
0.0025	-14.50195
0.003	-13.09204
0.0035	-12.5885
0.004	-16.41541
0.0045	-12.78992
0.005	-13.99841
0.0055	-13.89771
0.006	-10.17151
0.0065	-11.17859
0.007	-6.2439
0.0075	-4.93469
0.008	-3.92761
0.0085	6.94885
0.009	16.01257
0.0095	16.61682
0.01	24.57275
0.0105	26.48621
0.011	21.04797
0.0115	22.15576
0.012	25.98267
0.0125	16.91895
0.013	12.48779
0.0135	11.78284
0.014	6.04248
0.0145	9.06372
0.015	4.43115
0.0155	-8.8623
0.016	-13.89771
0.0165	-15.50903
0.017	-20.54443
0.0175	-28.39966
0.018	-25.47913
0.0185	-23.56567
0.019	-29.50745
0.0195	-15.81116
0.02	-2.41699
0.0205	9.26514
0.021	18.8324
0.0215	21.55151
0.022	26.88904
0.0225	21.95435
0.023	18.32886
0.0235	8.45947
0.024	-1.81274
0.0245	-5.13611
0.025	-6.3446
0.0255	-12.68921
0.026	-20.54443
0.0265	-19.63806
0.027	-21.55151
0.0275	-23.26355
0.028	-22.45789
0.0285	-13.29346
0.029	-13.797
0.0295	-2.92053
0.03	-2.71912
0.0305	2.5177
0.031	5.0354
0.0315	8.66089
0.032	13.49487
0.0325	16.41541
0.033	8.8623
0.0335	15.1062
0.034	19.63806
0.0345	20.1416
0.035	16.81824
0.0355	16.81824
0.036	21.85364
0.0365	14.50195
0.037	10.87646
0.0375	8.45947
0.038	11.68213
0.0385	8.96301
0.039	8.66089
0.0395	8.15735
0.04	8.45947
0.0405	6.54602
0.041	6.84814
0.0415	8.05664
0.042	8.8623
0.0425	3.52478
0.043	8.05664
0.0435	7.85522
0.044	6.04248
0.0445	7.45239
0.045	14.19983
0.0455	8.05664
0.046	8.45947
0.0465	9.66797
0.047	7.65381
0.0475	7.25098
0.048	6.54602
0.0485	3.02124
0.049	5.63965
0.0495	8.96301
0.05	6.44531
0.0505	8.96301
0.051	13.29346
0.0515	13.39417
0.052	9.26514
0.0525	4.83398
0.053	6.3446
0.0535	6.2439
0.054	8.56018
0.0545	-0.20142
0.055	9.06372
0.0555	6.74744
0.056	7.15027
0.0565	4.93469
0.057	7.65381
0.0575	9.76868
0.058	2.11487
0.0585	7.75452
0.059	4.22974
0.0595	5.74036
0.06	9.16443
0.0605	7.65381
0.061	5.94177
0.0615	0.30212
0.062	0.60425
0.0625	3.32336
0.063	2.21558
0.0635	4.93469
0.064	8.96301
0.0645	4.83398
0.065	4.63257
0.0655	4.83398
0.066	0.50354
0.0665	-1.40991
0.067	-5.53894
0.0675	31.01807
0.068	48.64197
0.0685	59.71985
0.069	59.61914
0.0695	58.20923
0.07	52.36816
0.0705	42.8009
0.071	37.36267
0.0715	22.45789
0.072	10.67505
0.0725	-8.45947
0.073	-11.98425
0.0735	-24.06921
0.074	-41.59241
0.0745	-47.63489
0.075	-59.1156
0.0755	-61.83472
0.076	-55.2887
0.0765	-49.74976
0.077	-30.31311
0.0775	-17.92603
0.078	-11.48071
0.0785	-2.41699
0.079	3.12195
0.0795	4.63257
0.08	5.84106
0.0805	9.56726
0.081	8.05664
0.0815	11.2793
0.082	10.87646
0.0825	15.71045
0.083	16.3147
0.0835	7.75452
0.084	14.30054
0.0845	11.68213
0.085	14.80408
0.0855	14.09912
0.086	16.41541
0.0865	17.82532
0.087	21.45081
0.0875	18.22815
0.088	21.45081
0.0885	21.24939
0.089	15.81116
0.0895	11.17859
0.09	11.38
0.0905	15.71045
0.091	13.39417
0.0915	8.05664
0.092	6.54602
0.0925	14.30054
0.093	10.67505
0.0935	9.76868
0.094	13.29346
0.0945	12.99133
0.095	13.89771
0.0955	9.26514
0.096	7.25098
0.0965	5.23682
0.097	8.56018
0.0975	9.06372
0.098	6.44531
0.0985	6.74744
0.099	5.23682
0.0995	8.8623
0.1	9.16443
0.1005	7.25098
0.101	6.54602
0.1015	15.40833
0.102	21.85364
0.1025	23.16284
0.103	26.28479
0.1035	28.70178
0.104	25.47913
0.1045	22.45789
0.105	20.24231
0.1055	19.73877
0.106	15.20691
0.1065	11.88354
0.107	4.43115
0.1075	8.15735
0.108	4.02832
0.1085	-1.91345
0.109	-4.63257
0.1095	-0.60425
0.11	5.33752
0.1105	3.32336
0.111	7.25098
0.1115	11.48071
0.112	10.0708
0.1125	11.68213
0.113	15.1062
0.1135	12.48779
0.114	15.50903
0.1145	14.30054
0.115	4.73328
0.1155	4.12903
0.116	-0.10071
0.1165	-1.10779
0.117	-3.92761
0.1175	-7.04956
0.118	-5.94177
0.1185	-0.80566
0.119	-1.10779
0.1195	-3.22266
0.12	-3.62549
0.1205	-10.47363
0.121	-6.2439
0.1215	-0.10071
0.122	-0.20142
0.1225	-0.70496
0.123	3.7262
0.1235	-1.10779
0.124	-1.2085
0.1245	-0.50354
0.125	3.92761
0.1255	7.15027
0.126	7.75452
0.1265	5.53894
0.127	9.26514
0.1275	12.18567
0.128	9.97009
0.1285	12.99133
0.129	12.5885
0.1295	8.7616
0.13	2.31628
0.1305	5.23682
0.131	0.40283
0.1315	6.04248
0.132	1.81274
0.1325	6.94885
0.133	5.23682
0.1335	9.46655
0.134	6.64673
0.1345	5.0354
0.135	5.74036
0.1355	3.52478
0.136	4.22974
0.1365	6.74744
0.137	5.23682
0.1375	3.62549
0.138	4.02832
0.1385	11.68213
0.139	10.57434
0.1395	6.74744
0.14	6.3446
0.1405	6.74744
0.141	6.44531
0.1415	5.23682
0.142	6.54602
0.1425	10.67505
0.143	5.23682
0.1435	9.36584
0.144	11.07788
0.1445	12.48779
0.145	15.60974
0.1455	11.68213
0.146	10.47363
0.1465	5.53894
0.147	8.7616
0.1475	9.16443
0.148	7.35168
0.1485	6.14319
0.149	21.45081
0.1495	32.7301
0.15	39.07471
0.1505	38.47046
0.151	38.36975
0.1515	36.15417
0.152	30.11169
0.1525	27.09045
0.153	21.14868
0.1535	7.65381
0.154	2.81982
0.1545	-4.43115
0.155	-11.98425
0.1555	-17.12036
0.156	-22.55859
0.1565	-27.49329
0.157	-24.47205
0.1575	-24.06921
0.158	-17.01965
0.1585	-15.91187
0.159	-13.59558
0.1595	-12.48779
0.16	-5.94177
0.1605	-2.41699
0.161	-0.50354
0.1615	2.92053
0.162	4.73328
0.1625	8.66089
0.163	10.0708
0.1635	8.8623
0.164	6.74744
0.1645	6.54602
0.165	14.09912
0.1655	11.68213
0.166	11.38
0.1665	5.94177
0.167	5.43823
0.1675	8.25806
0.168	4.73328
0.1685	1.3092
0.169	2.31628
0.1695	4.93469
0.17	10.67505
0.1705	6.64673
0.171	7.5531
0.1715	3.22266
0.172	5.13611
0.1725	0.10071
0.173	5.94177
0.1735	2.21558
0.174	0.10071
0.1745	7.65381
0.175	4.93469
0.1755	5.43823
0.176	5.63965
0.1765	11.58142
0.177	7.5531
0.1775	8.96301
0.178	6.94885
0.1785	6.2439
0.179	2.01416
0.1795	3.7262
0.18	3.62549
0.1805	1.2085
0.181	5.53894
0.1815	3.02124
0.182	7.45239
0.1825	7.45239
0.183	8.7616
0.1835	2.81982
0.184	6.04248
0.1845	7.5531
0.185	9.97009
0.1855	4.83398
0.186	4.22974
0.1865	7.95593
0.187	5.84106
0.1875	10.47363
0.188	3.92761
0.1885	8.05664
0.189	8.56018
0.1895	7.04956
0.19	11.78284
0.1905	8.56018
0.191	10.27222
0.1915	25.177
0.192	27.59399
0.1925	34.74426
0.193	32.83081
0.1935	31.52161
0.194	30.01099
0.1945	27.79541
0.195	25.47913
0.1955	22.15576
0.196	14.80408
0.1965	4.83398
0.197	-7.45239
0.1975	-12.38708
0.198	-26.98975
0.1985	-30.71594
0.199	-32.83081
0.1995	-36.25488
0.2	-36.4563
0.2005	-36.15417
0.201	-32.62939
0.2015	-27.09045
0.202	-17.92603
0.2025	-12.5885
0.203	-3.8269
0.2035	5.43823
0.204	9.26514
0.2045	15.30762
0.205	17.32178
0.2055	18.73169
0.206	23.26355
0.2065	20.84656
0.207	25.57983
0.2075	24.87488
0.208	25.78125
0.2085	23.46497
0.209	15.91187
0.2095	20.44373
0.21	18.63098
0.2105	19.43665
0.211	22.45789
0.2115	13.09204
0.212	15.91187
0.2125	15.20691
