Domenico_Di_Fonza_Right_2.c3d  



Time(s):	A_L_bicipite(μV):
0.1415	-16.41541
0.142	-5.53894
0.1425	-7.04956
0.143	-5.53894
0.1435	-8.7616
0.144	-8.7616
0.1445	-7.85522
0.145	-9.56726
0.1455	-12.08496
0.146	-2.81982
0.1465	-2.41699
0.147	-3.7262
0.1475	1.61133
0.148	5.63965
0.1485	2.11487
0.149	8.05664
0.1495	2.71912
0.15	5.84106
0.1505	2.31628
0.151	2.61841
0.1515	1.51062
0.152	-0.20142
0.1525	2.61841
0.153	8.66089
0.1535	-1.00708
0.154	3.42407
0.1545	4.22974
0.155	1.40991
0.1555	-9.56726
0.156	-14.40125
0.1565	-12.99133
0.157	-3.52478
0.1575	-3.32336
0.158	5.84106
0.1585	6.84814
0.159	8.7616
0.1595	8.05664
0.16	-3.02124
0.1605	-6.74744
0.161	-10.47363
0.1615	-7.25098
0.162	-2.01416
0.1625	4.12903
0.163	9.16443
0.1635	17.22107
0.164	25.27771
0.1645	29.50745
0.165	36.4563
0.1655	32.02515
0.166	26.68762
0.1665	20.74585
0.167	3.12195
0.1675	11.48071
0.168	6.84814
0.1685	4.83398
0.169	12.99133
0.1695	9.26514
0.17	4.43115
0.1705	9.76868
0.171	-1.3092
0.1715	-9.66797
0.172	-11.68213
0.1725	-13.797
0.173	-13.59558
0.1735	-6.84814
0.174	-9.66797
0.1745	-7.25098
0.175	5.63965
0.1755	13.797
0.176	15.60974
0.1765	21.65222
0.177	21.85364
0.1775	25.88196
0.178	21.24939
0.1785	19.03381
0.179	18.53027
0.1795	23.96851
0.18	19.83948
0.1805	14.09912
0.181	16.81824
0.1815	18.12744
0.182	18.32886
0.1825	14.70337
0.183	16.01257
0.1835	15.40833
0.184	10.97717
0.1845	4.02832
0.185	4.63257
0.1855	6.64673
0.186	11.68213
0.1865	4.83398
0.187	10.57434
0.1875	5.94177
0.188	6.3446
0.1885	6.84814
0.189	2.41699
0.1895	4.43115
0.19	10.97717
0.1905	11.2793
0.191	13.99841
0.1915	17.01965
0.192	15.1062
0.1925	11.2793
0.193	19.53735
0.1935	14.90479
0.194	21.65222
0.1945	14.60266
0.195	13.29346
0.1955	14.50195
0.196	1.71204
0.1965	1.10779
0.197	-1.10779
0.1975	-1.51062
0.198	4.12903
0.1985	3.12195
0.199	5.33752
0.1995	2.92053
0.2	-6.74744
0.2005	2.92053
0.201	5.53894
0.2015	1.61133
0.202	-4.02832
0.2025	-10.17151
0.203	-3.62549
0.2035	-5.74036
0.204	-3.62549
0.2045	-0.50354
0.205	7.35168
0.2055	17.22107
0.206	26.18408
0.2065	25.27771
0.207	26.08337
0.2075	18.32886
0.208	12.89062
0.2085	7.04956
0.209	3.52478
0.2095	0.60425
0.21	2.21558
0.2105	4.43115
0.211	2.61841
0.2115	4.83398
0.212	-3.7262
0.2125	0.30212
0.213	-1.40991
0.2135	-4.43115
0.214	-2.81982
0.2145	-4.33044
0.215	2.5177
0.2155	4.83398
0.216	6.14319
0.2165	1.71204
0.217	9.46655
0.2175	9.26514
0.218	15.91187
0.2185	15.40833
0.219	16.21399
0.2195	24.47205
0.22	19.94019
0.2205	18.53027
0.221	19.33594
0.2215	11.48071
0.222	10.97717
0.2225	15.1062
0.223	7.15027
0.2235	1.91345
0.224	-2.41699
0.2245	-15.81116
0.225	-17.01965
0.2255	-27.6947
0.226	-30.41382
0.2265	-36.05347
0.227	-46.62781
0.2275	-38.87329
0.228	-40.38391
0.2285	-32.42798
0.229	-24.06921
0.2295	-21.24939
0.23	-7.04956
0.2305	6.04248
0.231	10.87646
0.2315	11.17859
0.232	7.95593
0.2325	3.42407
0.233	6.64673
0.2335	11.88354
0.234	15.81116
0.2345	24.06921
0.235	30.31311
0.2355	32.02515
0.236	35.14709
0.2365	34.14001
0.237	36.55701
0.2375	31.01807
0.238	26.58691
0.2385	23.56567
0.239	22.86072
0.2395	16.81824
0.24	17.92603
0.2405	20.1416
0.241	19.73877
0.2415	25.98267
0.242	23.56567
0.2425	17.52319
0.243	11.98425
0.2435	1.91345
0.244	3.92761
0.2445	-1.00708
0.245	2.92053
0.2455	-0.90637
0.246	-9.86938
0.2465	-5.33752
0.247	-2.21558
0.2475	-0.30212
0.248	0.10071
0.2485	2.71912
0.249	1.00708
0.2495	-6.3446
0.25	-5.84106
0.2505	-11.58142
0.251	-11.38
0.2515	-11.48071
0.252	-7.45239
0.2525	1.61133
0.253	-5.33752
0.2535	7.15027
0.254	7.5531
0.2545	10.87646
0.255	8.56018
0.2555	8.25806
0.256	11.98425
0.2565	11.38
0.257	10.97717
0.2575	7.65381
0.258	9.86938
0.2585	12.48779
0.259	12.78992
0.2595	18.53027
0.26	20.04089
0.2605	11.78284
0.261	14.19983
0.2615	23.56567
0.262	25.37842
0.2625	23.36426
0.263	19.94019
0.2635	20.74585
0.264	8.8623
0.2645	7.45239
0.265	10.57434
0.2655	15.20691
0.266	11.68213
0.2665	9.97009
0.267	9.86938
0.2675	4.33044
0.268	2.41699
0.2685	3.7262
0.269	-0.50354
0.2695	-3.22266
0.27	-4.83398
0.2705	-5.33752
0.271	-7.85522
0.2715	-6.14319
0.272	-5.13611
0.2725	-3.02124
0.273	2.41699
0.2735	1.51062
0.274	1.81274
0.2745	-1.71204
0.275	1.10779
0.2755	1.81274
0.276	4.93469
0.2765	-0.40283
0.277	6.54602
0.2775	2.81982
0.278	3.62549
0.2785	0.80566
0.279	4.73328
0.2795	2.5177
0.28	7.95593
0.2805	-0.30212
0.281	2.31628
0.2815	-3.32336
0.282	-2.11487
0.2825	2.01416
0.283	-5.63965
0.2835	-1.91345
0.284	-0.90637
0.2845	3.02124
0.285	0.60425
0.2855	4.43115
0.286	8.05664
0.2865	4.02832
0.287	3.7262
0.2875	2.01416
0.288	0.40283
0.2885	-1.71204
0.289	-0.50354
0.2895	6.94885
0.29	10.57434
0.2905	16.21399
0.291	14.80408
0.2915	15.60974
0.292	11.07788
0.2925	8.25806
0.293	2.71912
0.2935	-10.17151
0.294	-21.85364
0.2945	-27.49329
0.295	-27.09045
0.2955	-33.03223
0.296	-28.29895
0.2965	-17.82532
0.297	-15.91187
0.2975	-12.99133
0.298	-9.26514
0.2985	1.40991
0.299	9.26514
0.2995	11.2793
0.3	17.6239
0.3005	20.04089
0.301	24.87488
0.3015	29.10461
0.302	36.25488
0.3025	38.974
0.303	36.95984
0.3035	37.96692
0.304	39.77966
0.3045	46.12427
0.305	44.91577
0.3055	33.23364
0.306	34.64355
0.3065	21.55151
0.307	22.96143
0.3075	12.28638
0.308	5.94177
0.3085	2.31628
0.309	5.43823
0.3095	6.74744
0.31	11.17859
0.3105	9.16443
0.311	13.49487
0.3115	7.25098
0.312	4.22974
0.3125	-2.61841
0.313	-4.53186
0.3135	-6.04248
0.314	3.22266
0.3145	3.32336
0.315	4.43115
0.3155	0.60425
0.316	1.10779
0.3165	6.54602
0.317	1.3092
0.3175	-0.60425
0.318	1.81274
0.3185	-0.60425
0.319	-8.45947
0.3195	-8.96301
0.32	-9.26514
0.3205	-6.04248
0.321	-1.91345
0.3215	-2.31628
0.322	-6.04248
0.3225	2.92053
0.323	2.31628
0.3235	10.47363
0.324	14.09912
0.3245	15.91187
0.325	11.88354
0.3255	8.66089
0.326	13.29346
0.3265	19.94019
0.327	17.01965
0.3275	15.60974
0.328	9.66797
0.3285	11.78284
0.329	3.62549
0.3295	11.2793
0.33	7.85522
0.3305	3.62549
0.331	3.92761
0.3315	1.2085
0.332	2.92053
0.3325	-4.83398
0.333	-2.81982
0.3335	2.81982
0.334	2.92053
0.3345	3.22266
0.335	7.85522
0.3355	7.5531
0.336	0.50354
0.3365	-8.35876
