Daniele_De_Santis_Left_1.c3d  



Time(s):	B_R_bicipite(μV):
0.1655	6.54602
0.166	3.02124
0.1665	7.45239
0.167	9.06372
0.1675	6.04248
0.168	1.40991
0.1685	5.23682
0.169	8.15735
0.1695	4.63257
0.17	6.44531
0.1705	7.15027
0.171	3.22266
0.1715	8.35876
0.172	5.74036
0.1725	0.80566
0.173	-1.00708
0.1735	4.93469
0.174	3.7262
0.1745	5.84106
0.175	4.12903
0.1755	2.21558
0.176	7.35168
0.1765	1.71204
0.177	9.97009
0.1775	7.15027
0.178	4.02832
0.1785	4.53186
0.179	6.64673
0.1795	6.94885
0.18	-0.40283
0.1805	-2.71912
0.181	2.61841
0.1815	4.02832
0.182	-0.30212
0.1825	5.43823
0.183	0.30212
0.1835	7.04956
0.184	3.62549
0.1845	2.61841
0.185	3.42407
0.1855	-1.81274
0.186	-2.01416
0.1865	0.70496
0.187	0.80566
0.1875	1.61133
0.188	3.52478
0.1885	3.12195
0.189	2.41699
0.1895	6.84814
0.19	7.15027
0.1905	3.22266
0.191	5.0354
0.1915	6.94885
0.192	5.53894
0.1925	5.94177
0.193	9.36584
0.1935	9.86938
0.194	4.02832
0.1945	2.81982
0.195	4.22974
0.1955	6.64673
0.196	10.17151
0.1965	10.77576
0.197	1.61133
0.1975	4.43115
0.198	-0.10071
0.1985	0.20142
0.199	0.20142
0.1995	3.02124
0.2	1.2085
0.2005	-0.20142
0.201	2.5177
0.2015	-5.63965
0.202	-0.60425
0.2025	3.22266
0.203	7.15027
0.2035	4.02832
0.204	-0.90637
0.2045	4.63257
0.205	3.42407
0.2055	1.00708
0.206	5.23682
0.2065	4.02832
0.207	6.14319
0.2075	3.32336
0.208	4.33044
0.2085	3.92761
0.209	4.53186
0.2095	4.43115
0.21	9.16443
0.2105	1.40991
0.211	6.54602
0.2115	1.81274
0.212	4.33044
0.2125	5.13611
0.213	2.61841
0.2135	6.54602
0.214	4.53186
0.2145	7.25098
0.215	5.94177
0.2155	4.73328
0.216	5.53894
0.2165	1.3092
0.217	11.38
0.2175	6.04248
0.218	8.25806
0.2185	5.84106
0.219	5.84106
0.2195	8.05664
0.22	9.46655
0.2205	9.16443
0.221	6.54602
0.2215	5.13611
0.222	-1.81274
0.2225	4.73328
0.223	5.63965
0.2235	5.43823
0.224	10.27222
0.2245	3.62549
0.225	2.71912
0.2255	8.05664
0.226	13.69629
0.2265	11.17859
0.227	12.28638
0.2275	9.36584
0.228	10.97717
0.2285	10.37292
0.229	4.63257
0.2295	4.43115
0.23	5.43823
0.2305	2.01416
0.231	2.11487
0.2315	9.16443
0.232	5.74036
0.2325	7.04956
0.233	4.12903
0.2335	9.16443
0.234	7.45239
0.2345	2.61841
0.235	5.94177
0.2355	8.35876
0.236	8.35876
0.2365	6.44531
0.237	6.74744
0.2375	10.27222
0.238	1.3092
0.2385	3.32336
