Antonio_Festa_Left_3.c3d  



Time(s):	C_L_bicipite(μV):
0.1645	8.15735
0.165	3.32336
0.1655	9.06372
0.166	11.17859
0.1665	10.97717
0.167	7.65381
0.1675	5.33752
0.168	6.14319
0.1685	7.15027
0.169	4.22974
0.1695	7.04956
0.17	10.37292
0.1705	10.17151
0.171	5.84106
0.1715	6.64673
0.172	4.12903
0.1725	7.85522
0.173	5.63965
0.1735	6.84814
0.174	9.46655
0.1745	10.87646
0.175	13.49487
0.1755	12.18567
0.176	10.77576
0.1765	9.26514
0.177	10.57434
0.1775	9.66797
0.178	8.7616
0.1785	7.65381
0.179	11.17859
0.1795	14.19983
0.18	4.73328
0.1805	8.25806
0.181	9.16443
0.1815	7.95593
0.182	8.25806
0.1825	12.99133
0.183	14.80408
0.1835	10.87646
0.184	11.68213
0.1845	10.77576
0.185	6.54602
0.1855	5.94177
0.186	7.75452
0.1865	10.27222
0.187	17.42249
0.1875	9.46655
0.188	7.25098
0.1885	12.38708
0.189	10.27222
0.1895	7.35168
0.19	8.56018
0.1905	5.23682
0.191	11.38
0.1915	5.94177
0.192	10.87646
0.1925	11.78284
0.193	14.60266
0.1935	13.797
0.194	11.58142
0.1945	10.37292
0.195	14.09912
0.1955	15.1062
0.196	14.60266
0.1965	9.97009
0.197	8.35876
0.1975	9.46655
0.198	5.0354
0.1985	9.36584
0.199	11.98425
0.1995	7.25098
0.2	6.74744
0.2005	11.88354
0.201	12.68921
0.2015	13.39417
0.202	4.83398
0.2025	8.05664
0.203	3.62549
0.2035	5.23682
0.204	3.22266
0.2045	1.51062
0.205	5.13611
0.2055	1.3092
0.206	7.45239
0.2065	5.84106
0.207	2.5177
0.2075	0.50354
0.208	1.91345
0.2085	2.71912
0.209	1.10779
0.2095	0.80566
0.21	4.43115
0.2105	5.74036
0.211	8.45947
0.2115	8.66089
0.212	4.83398
0.2125	-0.50354
0.213	-1.40991
0.2135	3.92761
0.214	2.31628
0.2145	4.93469
0.215	1.00708
0.2155	1.3092
0.216	10.37292
0.2165	8.7616
0.217	10.37292
0.2175	3.92761
0.218	1.71204
0.2185	4.93469
0.219	4.63257
0.2195	0.90637
0.22	1.2085
0.2205	5.23682
0.221	-2.92053
0.2215	4.63257
0.222	1.10779
0.2225	9.97009
0.223	6.74744
0.2235	12.38708
0.224	7.5531
0.2245	2.92053
0.225	7.15027
0.2255	4.83398
0.226	8.8623
0.2265	2.01416
0.227	9.16443
0.2275	10.87646
0.228	8.15735
0.2285	11.58142
0.229	9.46655
0.2295	7.95593
0.23	4.53186
0.2305	12.99133
0.231	13.797
0.2315	8.7616
0.232	6.94885
0.2325	8.15735
0.233	11.2793
0.2335	11.38
0.234	7.35168
0.2345	6.44531
0.235	10.77576
0.2355	8.05664
0.236	10.77576
0.2365	9.16443
0.237	8.66089
0.2375	11.2793
0.238	6.74744
0.2385	10.97717
0.239	9.06372
0.2395	8.7616
0.24	6.2439
0.2405	7.5531
0.241	11.2793
0.2415	9.76868
0.242	9.97009
0.2425	8.96301
0.243	8.56018
0.2435	16.51611
0.244	5.94177
0.2445	9.16443
0.245	2.31628
0.2455	12.28638
0.246	6.54602
0.2465	6.64673
0.247	6.74744
0.2475	5.94177
0.248	7.45239
0.2485	0.70496
0.249	3.8269
0.2495	7.25098
0.25	4.83398
0.2505	8.56018
0.251	7.35168
0.2515	6.2439
0.252	7.45239
0.2525	4.93469
0.253	8.96301
0.2535	7.95593
0.254	3.42407
0.2545	6.04248
0.255	7.65381
0.2555	4.22974
0.256	2.81982
0.2565	5.84106
0.257	8.7616
0.2575	6.64673
0.258	6.04248
0.2585	5.63965
0.259	7.95593
0.2595	10.97717
0.26	7.85522
0.2605	9.86938
0.261	5.13611
0.2615	2.81982
0.262	-0.70496
0.2625	0.50354
0.263	6.84814
0.2635	4.22974
0.264	4.12903
0.2645	4.53186
0.265	-0.70496
0.2655	0.40283
0.266	4.22974
0.2665	4.02832
0.267	1.51062
0.2675	0.40283
0.268	6.54602
0.2685	10.27222
0.269	7.75452
0.2695	2.41699
0.27	0.30212
0.2705	4.33044
0.271	2.5177
0.2715	7.5531
0.272	7.04956
0.2725	8.7616
0.273	8.96301
0.2735	5.63965
0.274	8.15735
0.2745	7.35168
0.275	6.04248
0.2755	3.92761
0.276	4.43115
0.2765	3.02124
0.277	4.83398
0.2775	4.53186
0.278	7.65381
0.2785	6.84814
0.279	6.84814
0.2795	7.25098
0.28	5.23682
0.2805	9.56726
0.281	11.68213
0.2815	4.12903
0.282	5.53894
0.2825	8.66089
0.283	7.5531
0.2835	9.46655
0.284	8.56018
0.2845	9.97009
0.285	10.37292
0.2855	3.7262
0.286	7.04956
0.2865	2.11487
0.287	2.5177
0.2875	1.61133
0.288	5.43823
0.2885	2.71912
0.289	4.33044
0.2895	9.36584
0.29	6.14319
0.2905	5.74036
0.291	3.8269
0.2915	2.61841
0.292	5.84106
0.2925	7.75452
0.293	5.23682
0.2935	8.05664
0.294	6.04248
0.2945	7.45239
0.295	11.58142
0.2955	10.57434
0.296	9.86938
0.2965	8.8623
0.297	6.04248
0.2975	10.0708
0.298	5.74036
0.2985	11.98425
0.299	8.56018
0.2995	9.36584
0.3	8.35876
0.3005	9.06372
0.301	10.97717
0.3015	10.17151
0.302	13.09204
0.3025	10.97717
0.303	7.65381
0.3035	7.35168
0.304	0.30212
0.3045	7.45239
0.305	10.77576
0.3055	6.74744
0.306	8.66089
0.3065	5.84106
0.307	6.94885
0.3075	9.46655
0.308	10.77576
0.3085	4.22974
0.309	0.90637
0.3095	1.40991
0.31	3.32336
0.3105	8.8623
0.311	5.63965
0.3115	2.31628
0.312	4.63257
0.3125	3.52478
0.313	3.22266
0.3135	9.86938
0.314	-0.10071
0.3145	4.43115
0.315	11.78284
0.3155	9.06372
0.316	13.69629
0.3165	12.5885
0.317	7.5531
0.3175	7.35168
0.318	6.2439
0.3185	1.51062
0.319	1.40991
0.3195	2.11487
0.32	1.61133
0.3205	4.33044
0.321	5.84106
0.3215	1.71204
0.322	10.67505
0.3225	1.81274
0.323	4.22974
0.3235	3.7262
0.324	-0.10071
0.3245	5.0354
0.325	1.61133
0.3255	-1.10779
0.326	3.7262
0.3265	5.23682
0.327	8.45947
0.3275	1.40991
0.328	3.92761
0.3285	3.8269
0.329	3.92761
0.3295	9.56726
0.33	6.74744
0.3305	5.0354
0.331	9.46655
0.3315	5.84106
0.332	1.71204
0.3325	8.25806
0.333	5.63965
0.3335	4.93469
0.334	2.01416
0.3345	3.52478
0.335	3.62549
0.3355	-1.10779
0.336	5.63965
0.3365	1.00708
0.337	2.31628
0.3375	8.05664
0.338	7.85522
0.3385	9.06372
0.339	6.94885
0.3395	1.51062
0.34	4.12903
0.3405	7.25098
0.341	3.42407
0.3415	3.22266
0.342	1.10779
0.3425	6.2439
0.343	7.35168
0.3435	7.75452
0.344	1.51062
0.3445	1.40991
0.345	4.22974
0.3455	6.44531
0.346	5.43823
0.3465	2.01416
0.347	8.66089
0.3475	9.97009
0.348	5.0354
0.3485	8.15735
0.349	6.54602
0.3495	9.36584
0.35	13.39417
0.3505	7.04956
0.351	8.35876
0.3515	8.8623
0.352	7.5531
0.3525	6.84814
0.353	2.31628
0.3535	5.84106
0.354	2.71912
0.3545	3.92761
0.355	7.45239
0.3555	11.38
0.356	6.54602
0.3565	4.83398
0.357	2.21558
0.3575	3.22266
0.358	5.53894
0.3585	2.21558
0.359	2.81982
0.3595	3.22266
0.36	3.22266
0.3605	4.53186
0.361	7.75452
0.3615	7.5531
0.362	6.84814
0.3625	11.68213
0.363	4.93469
0.3635	1.71204
0.364	8.7616
0.3645	7.65381
0.365	4.93469
0.3655	3.8269
0.366	3.52478
0.3665	-1.3092
0.367	2.01416
0.3675	3.42407
0.368	1.61133
0.3685	3.42407
0.369	-2.21558
0.3695	1.71204
0.37	3.92761
0.3705	6.84814
0.371	3.62549
0.3715	3.52478
0.372	1.10779
0.3725	7.85522
0.373	5.13611
0.3735	7.95593
0.374	6.04248
0.3745	4.93469
0.375	7.45239
0.3755	3.22266
0.376	6.3446
0.3765	6.2439
0.377	7.45239
0.3775	5.53894
0.378	7.95593
0.3785	4.12903
0.379	5.33752
0.3795	10.37292
0.38	6.3446
0.3805	1.3092
0.381	1.91345
0.3815	0
0.382	0
0.3825	8.05664
0.383	8.15735
0.3835	9.56726
0.384	5.84106
0.3845	11.78284
0.385	8.05664
0.3855	6.3446
0.386	5.94177
0.3865	10.0708
0.387	3.12195
0.3875	1.00708
0.388	5.0354
0.3885	4.02832
0.389	2.81982
0.3895	10.67505
0.39	6.74744
0.3905	0.90637
0.391	10.27222
0.3915	3.22266
0.392	7.25098
0.3925	15.40833
0.393	6.84814
0.3935	3.02124
0.394	5.53894
0.3945	2.01416
0.395	3.02124
0.3955	3.12195
0.396	1.81274
0.3965	5.23682
0.397	3.52478
0.3975	4.93469
0.398	5.94177
0.3985	6.94885
0.399	6.94885
0.3995	6.44531
0.4	6.94885
0.4005	0.90637
0.401	-0.60425
0.4015	2.01416
0.402	2.5177
0.4025	1.81274
0.403	3.52478
0.4035	2.5177
0.404	4.53186
0.4045	5.84106
0.405	2.92053
0.4055	2.21558
0.406	4.93469
0.4065	10.17151
0.407	7.35168
0.4075	2.01416
0.408	4.83398
0.4085	2.41699
0.409	5.13611
0.4095	10.77576
0.41	4.02832
0.4105	-3.8269
0.411	3.92761
0.4115	5.74036
0.412	9.06372
0.4125	-0.10071
0.413	0.10071
0.4135	-3.12195
0.414	-4.22974
0.4145	-3.32336
0.415	-2.01416
0.4155	1.3092
0.416	1.81274
0.4165	0.60425
0.417	2.11487
0.4175	3.7262
0.418	1.51062
0.4185	6.64673
0.419	-1.40991
0.4195	1.61133
0.42	2.5177
0.4205	2.11487
0.421	2.92053
0.4215	0
0.422	2.31628
0.4225	-1.00708
0.423	-1.71204
0.4235	4.53186
0.424	-2.81982
0.4245	2.71912
0.425	4.12903
0.4255	5.13611
0.426	6.74744
0.4265	0.80566
0.427	2.71912
0.4275	5.84106
0.428	3.02124
0.4285	2.81982
0.429	2.5177
0.4295	3.12195
0.43	0.20142
0.4305	9.16443
0.431	6.74744
0.4315	4.02832
0.432	6.04248
0.4325	5.0354
0.433	7.04956
0.4335	5.94177
0.434	9.26514
0.4345	4.02832
0.435	0.60425
0.4355	5.84106
0.436	6.84814
0.4365	6.14319
0.437	4.73328
0.4375	3.02124
0.438	10.17151
0.4385	6.3446
0.439	3.7262
0.4395	6.2439
0.44	7.04956
0.4405	5.63965
0.441	2.11487
0.4415	4.22974
0.442	3.52478
0.4425	13.59558
0.443	5.63965
0.4435	7.15027
0.444	4.02832
0.4445	6.04248
0.445	7.35168
0.4455	0.50354
0.446	3.92761
0.4465	5.33752
0.447	0.50354
0.4475	5.94177
0.448	2.61841
0.4485	7.25098
0.449	7.65381
0.4495	8.8623
0.45	7.65381
0.4505	9.97009
0.451	8.56018
0.4515	10.47363
0.452	8.35876
0.4525	7.25098
0.453	9.06372
0.4535	3.8269
0.454	9.16443
0.4545	9.86938
0.455	8.05664
0.4555	7.45239
0.456	5.84106
0.4565	2.92053
0.457	5.23682
0.4575	5.84106
0.458	3.32336
0.4585	8.05664
0.459	6.04248
0.4595	7.45239
0.46	1.00708
0.4605	9.76868
0.461	9.46655
0.4615	7.85522
0.462	7.65381
0.4625	7.35168
0.463	7.85522
0.4635	2.41699
0.464	2.92053
0.4645	3.92761
0.465	9.86938
0.4655	8.7616
0.466	8.05664
0.4665	6.54602
0.467	5.23682
0.4675	8.8623
0.468	4.63257
0.4685	5.74036
0.469	5.43823
0.4695	9.36584
0.47	9.46655
0.4705	11.17859
0.471	11.2793
0.4715	6.54602
0.472	9.76868
0.4725	7.5531
0.473	5.0354
0.4735	8.66089
0.474	12.38708
0.4745	10.17151
0.475	8.7616
0.4755	10.87646
0.476	8.15735
0.4765	4.12903
0.477	5.94177
0.4775	12.68921
0.478	10.0708
0.4785	13.19275
0.479	11.98425
0.4795	10.0708
0.48	5.84106
0.4805	10.0708
0.481	5.74036
0.4815	8.96301
0.482	3.62549
0.4825	7.5531
0.483	4.43115
0.4835	3.8269
0.484	4.43115
0.4845	6.74744
0.485	7.45239
0.4855	9.46655
0.486	3.8269
0.4865	7.04956
0.487	8.25806
0.4875	1.71204
0.488	3.42407
0.4885	3.12195
0.489	8.35876
0.4895	1.91345
0.49	8.56018
0.4905	10.17151
0.491	5.33752
0.4915	11.58142
0.492	12.28638
0.4925	9.76868
0.493	9.26514
0.4935	6.64673
0.494	4.12903
0.4945	3.52478
0.495	9.86938
0.4955	9.16443
0.496	6.3446
0.4965	4.02832
0.497	7.85522
0.4975	5.94177
0.498	5.94177
0.4985	6.3446
0.499	4.53186
0.4995	2.31628
0.5	6.84814
0.5005	7.75452
0.501	3.32336
0.5015	7.75452
0.502	6.84814
0.5025	2.5177
0.503	7.04956
0.5035	8.05664
0.504	0.30212
0.5045	-1.10779
0.505	4.43115
0.5055	5.84106
0.506	7.04956
0.5065	7.85522
0.507	7.5531
0.5075	7.35168
0.508	7.5531
0.5085	11.38
0.509	8.05664
0.5095	9.56726
0.51	2.81982
0.5105	3.22266
0.511	3.52478
0.5115	9.66797
0.512	8.66089
0.5125	4.43115
0.513	8.8623
0.5135	3.7262
0.514	6.54602
0.5145	12.89062
0.515	9.06372
0.5155	6.04248
0.516	9.86938
0.5165	8.56018
0.517	9.36584
0.5175	6.44531
0.518	11.17859
0.5185	14.80408
0.519	5.23682
0.5195	8.25806
0.52	5.13611
0.5205	12.48779
0.521	5.84106
0.5215	7.15027
0.522	6.94885
0.5225	7.04956
0.523	5.94177
0.5235	2.5177
0.524	6.14319
0.5245	11.07788
0.525	5.74036
0.5255	4.43115
0.526	2.11487
0.5265	4.12903
0.527	7.85522
0.5275	6.2439
0.528	8.96301
0.5285	8.15735
0.529	7.04956
0.5295	9.16443
0.53	6.3446
0.5305	7.04956
0.531	8.45947
0.5315	3.62549
0.532	5.94177
0.5325	6.04248
0.533	1.00708
0.5335	5.13611
0.534	2.92053
0.5345	9.26514
0.535	11.07788
0.5355	4.83398
0.536	7.75452
0.5365	4.33044
0.537	5.0354
0.5375	4.73328
0.538	4.02832
0.5385	2.11487
0.539	4.22974
0.5395	8.56018
0.54	6.04248
0.5405	3.12195
0.541	5.94177
0.5415	9.16443
0.542	5.13611
0.5425	5.74036
0.543	5.94177
0.5435	9.76868
0.544	13.39417
0.5445	7.95593
0.545	4.53186
0.5455	8.8623
0.546	10.97717
0.5465	8.15735
0.547	4.33044
0.5475	9.26514
0.548	8.56018
0.5485	1.10779
0.549	1.00708
0.5495	4.12903
0.55	-1.40991
0.5505	2.11487
0.551	1.51062
0.5515	2.01416
0.552	5.53894
0.5525	2.61841
0.553	10.97717
0.5535	6.94885
0.554	1.71204
0.5545	4.43115
0.555	0.60425
0.5555	2.71912
0.556	2.41699
0.5565	0
0.557	1.2085
0.5575	5.0354
0.558	9.06372
0.5585	6.04248
0.559	8.56018
0.5595	6.44531
0.56	5.53894
0.5605	13.99841
0.561	6.54602
0.5615	7.04956
0.562	9.76868
0.5625	4.73328
0.563	8.56018
0.5635	5.84106
0.564	8.15735
0.5645	10.77576
0.565	7.75452
0.5655	9.66797
0.566	6.2439
0.5665	11.38
0.567	8.05664
0.5675	-0.60425
0.568	-2.01416
0.5685	-0.90637
0.569	0.40283
0.5695	1.10779
0.57	11.98425
0.5705	6.54602
0.571	7.75452
0.5715	10.17151
0.572	0.60425
0.5725	3.92761
0.573	2.41699
0.5735	6.3446
0.574	1.71204
0.5745	8.8623
0.575	4.53186
0.5755	7.65381
0.576	7.25098
0.5765	6.44531
0.577	4.83398
0.5775	4.12903
0.578	7.15027
0.5785	6.2439
0.579	6.54602
0.5795	8.05664
0.58	3.22266
0.5805	4.73328
0.581	3.22266
0.5815	4.53186
0.582	3.42407
0.5825	5.23682
0.583	-0.60425
0.5835	4.22974
0.584	3.32336
0.5845	2.41699
0.585	2.41699
0.5855	2.11487
0.586	10.47363
0.5865	11.17859
0.587	10.0708
0.5875	6.14319
0.588	4.83398
0.5885	9.06372
0.589	2.92053
0.5895	5.94177
0.59	6.44531
0.5905	6.14319
0.591	7.95593
0.5915	9.76868
0.592	6.14319
0.5925	0.40283
0.593	4.83398
0.5935	4.63257
0.594	8.05664
0.5945	8.05664
0.595	3.42407
0.5955	9.26514
0.596	5.0354
0.5965	5.94177
0.597	3.92761
0.5975	-0.50354
0.598	2.81982
0.5985	4.83398
0.599	3.32336
