Daniele_De_Santis_Right_1.c3d  



Time(s):	C_R_bicipite(μV):
0.1585	-23.06213
0.159	-36.85913
0.1595	-47.43347
0.16	-43.20374
0.1605	-43.40515
0.161	-39.77966
0.1615	-28.80249
0.162	-19.13452
0.1625	-15.1062
0.163	-13.99841
0.1635	-22.25647
0.164	-1.40991
0.1645	23.96851
0.165	39.67896
0.1655	48.23914
0.166	54.68445
0.1665	51.86462
0.167	49.0448
0.1675	57.70569
0.168	61.43188
0.1685	53.57666
0.169	51.05896
0.1695	46.32568
0.17	21.75293
0.1705	-0.70496
0.171	-29.60815
0.1715	-44.11011
0.172	-51.5625
0.1725	-54.98657
0.173	-57.00073
0.1735	-60.72693
0.174	-68.88428
0.1745	-74.82605
0.175	-85.80322
0.1755	-75.32959
0.176	-55.49011
0.1765	-44.21082
0.177	-54.18091
0.1775	-61.02905
0.178	-65.96375
0.1785	-64.35242
0.179	-54.88586
0.1795	-45.3186
0.18	-25.47913
0.1805	-22.25647
0.181	-21.55151
0.1815	-14.70337
0.182	-10.37292
0.1825	-7.45239
0.183	-7.95593
0.1835	-7.45239
0.184	-4.63257
0.1845	-4.73328
0.185	-4.53186
0.1855	-17.92603
0.186	-18.12744
0.1865	-14.09912
0.187	-20.94727
0.1875	-17.52319
0.188	-8.25806
0.1885	-1.10779
0.189	-1.00708
0.1895	7.65381
0.19	19.23523
0.1905	34.03931
0.191	53.67737
0.1915	59.61914
0.192	55.89294
0.1925	43.50586
0.193	37.46338
0.1935	30.11169
0.194	36.65771
0.1945	25.78125
0.195	9.97009
0.1955	-0.90637
0.196	-19.83948
0.1965	-35.44922
0.197	-44.51294
0.1975	-42.49878
0.198	-34.34143
0.1985	-42.09595
0.199	-41.99524
0.1995	-38.47046
0.2	-32.7301
0.2005	-34.94568
0.201	-20.24231
0.2015	-10.47363
0.202	-11.68213
0.2025	-7.95593
0.203	-10.17151
0.2035	-14.70337
0.204	-29.00391
0.2045	-39.57825
0.205	-39.47754
0.2055	-18.53027
0.206	-4.12903
0.2065	-2.31628
0.207	-0.20142
0.2075	-2.01416
0.208	0.90637
0.2085	-2.01416
0.209	-8.15735
0.2095	-0.80566
0.21	0.30212
0.2105	2.61841
0.211	-1.71204
0.2115	-3.52478
0.212	-0.70496
0.2125	7.5531
0.213	3.42407
0.2135	10.47363
0.214	18.22815
0.2145	19.33594
0.215	25.177
0.2155	23.8678
0.216	24.57275
0.2165	31.52161
0.217	41.89453
0.2175	47.93701
0.218	78.55225
0.2185	95.97473
0.219	111.08093
0.2195	107.25403
0.22	99.3988
0.2205	89.63013
0.221	81.7749
0.2215	64.95667
0.222	65.76233
0.2225	55.99365
0.223	36.25488
0.2235	26.08337
0.224	7.45239
0.2245	1.91345
0.225	-0.50354
0.2255	-5.33752
0.226	-4.33044
0.2265	-10.37292
0.227	-9.66797
0.2275	-14.09912
0.228	-20.54443
0.2285	-29.80957
0.229	-32.32727
0.2295	-25.07629
0.23	-30.2124
0.2305	-43.30444
0.231	-50.05188
0.2315	-55.3894
0.232	-55.79224
0.2325	-61.23047
0.233	-67.67578
0.2335	-79.15649
0.234	-70.89844
0.2345	-60.12268
0.235	-46.5271
0.2355	-29.50745
0.236	-20.34302
0.2365	-22.86072
0.237	-16.61682
0.2375	-15.71045
0.238	-9.76868
0.2385	-4.83398
0.239	1.10779
0.2395	1.91345
0.24	1.91345
0.2405	5.43823
0.241	3.52478
0.2415	4.83398
0.242	4.33044
0.2425	3.62549
0.243	1.2085
0.2435	4.63257
0.244	13.69629
0.2445	16.81824
0.245	11.78284
0.2455	16.21399
0.246	14.40125
0.2465	16.11328
0.247	25.98267
0.2475	27.99683
0.248	31.01807
0.2485	29.60815
0.249	28.39966
0.2495	28.80249
0.25	30.51453
0.2505	31.92444
0.251	22.6593
0.2515	21.3501
0.252	22.35718
0.2525	17.12036
0.253	9.16443
0.2535	9.66797
0.254	5.43823
0.2545	-11.17859
0.255	-10.27222
0.2555	-8.7616
0.256	-13.89771
0.2565	-10.0708
0.257	-6.54602
0.2575	-7.25098
0.258	-8.56018
0.2585	-3.62549
0.259	8.8623
0.2595	22.25647
0.26	22.55859
0.2605	25.98267
0.261	25.57983
0.2615	16.81824
0.262	-0.90637
0.2625	-13.99841
0.263	-22.6593
0.2635	-29.30603
0.264	-37.36267
0.2645	-36.85913
0.265	-31.11877
0.2655	-31.01807
0.266	-35.2478
0.2665	-29.70886
0.267	-18.22815
0.2675	-18.32886
0.268	-18.93311
0.2685	-19.33594
0.269	-18.53027
0.2695	-7.5531
0.27	10.67505
0.2705	24.27063
0.271	31.21948
0.2715	32.12585
0.272	34.64355
0.2725	29.60815
0.273	43.50586
0.2735	48.64197
0.274	50.15259
0.2745	39.57825
0.275	25.88196
0.2755	16.71753
0.276	3.22266
0.2765	-13.49487
0.277	-23.46497
0.2775	-33.33435
0.278	-37.36267
0.2785	-33.9386
0.279	-40.48462
0.2795	-32.62939
0.28	-29.70886
0.2805	-12.18567
0.281	-11.38
0.2815	-13.29346
0.282	-12.99133
0.2825	-19.33594
0.283	-22.6593
0.2835	-20.94727
0.284	-15.50903
0.2845	-11.07788
0.285	6.54602
0.2855	3.92761
0.286	13.99841
0.2865	13.19275
0.287	15.60974
0.2875	16.71753
0.288	19.43665
0.2885	25.07629
0.289	23.26355
0.2895	21.65222
0.29	23.66638
0.2905	18.53027
0.291	23.36426
0.2915	28.60107
0.292	59.31702
0.2925	72.50977
0.293	73.51685
0.2935	69.99207
0.294	58.61206
0.2945	50.55542
0.295	34.34143
0.2955	11.48071
0.296	-6.44531
0.2965	-17.92603
0.297	-24.47205
0.2975	-31.72302
0.298	-37.96692
0.2985	-45.3186
0.299	-45.01648
0.2995	-40.98816
0.3	-30.81665
0.3005	-21.65222
0.301	-18.42957
0.3015	-19.83948
0.302	-27.89612
0.3025	-37.96692
0.303	-42.59949
0.3035	-40.08179
0.304	-25.88196
0.3045	-19.83948
0.305	-24.97559
0.3055	-25.68054
0.306	-30.01099
0.3065	-37.26196
0.307	-35.65063
0.3075	-32.02515
0.308	-29.10461
0.3085	-31.92444
0.309	-30.81665
0.3095	-33.73718
0.31	-27.99683
0.3105	-25.27771
0.311	-20.24231
0.3115	-21.85364
0.312	-19.63806
0.3125	-20.74585
0.313	-19.43665
0.3135	-15.00549
0.314	-19.43665
0.3145	-22.05505
0.315	-14.90479
0.3155	-9.56726
0.316	-10.0708
0.3165	-2.11487
0.317	-2.61841
0.3175	1.3092
0.318	7.04956
0.3185	6.64673
0.319	6.64673
0.3195	13.19275
0.32	16.11328
0.3205	9.56726
0.321	13.09204
0.3215	13.09204
0.322	13.09204
0.3225	13.09204
0.323	13.09204
0.3235	13.09204
0.324	13.09204
0.3245	13.09204
0.325	13.09204
0.3255	13.09204
0.326	13.09204
0.3265	13.09204
0.327	13.09204
0.3275	13.09204
0.328	13.09204
0.3285	13.09204
0.329	13.09204
0.3295	13.09204
0.33	13.09204
0.3305	13.09204
0.331	13.09204
0.3315	-14.90479
0.332	-3.7262
0.3325	-10.97717
0.333	-6.04248
0.3335	-3.7262
0.334	-0.50354
0.3345	-0.90637
0.335	4.43115
0.3355	7.75452
0.336	15.1062
0.3365	19.53735
0.337	22.55859
0.3375	22.25647
0.338	23.06213
0.3385	31.01807
0.339	31.72302
0.3395	31.32019
0.34	26.28479
0.3405	20.34302
0.341	19.63806
0.3415	20.74585
0.342	13.69629
0.3425	15.91187
0.343	14.30054
0.3435	9.06372
0.344	10.97717
0.3445	3.32336
0.345	3.92761
0.3455	-0.80566
0.346	6.64673
0.3465	8.35876
0.347	10.17151
0.3475	7.65381
0.348	11.07788
0.3485	6.44531
0.349	6.64673
0.3495	-0.50354
0.35	-0.80566
0.3505	-7.04956
0.351	-8.66089
0.3515	-8.45947
0.352	-9.66797
0.3525	-1.2085
0.353	-2.81982
0.3535	3.02124
0.354	13.09204
0.3545	18.73169
0.355	14.90479
0.3555	13.69629
0.356	18.42957
0.3565	10.87646
0.357	9.06372
0.3575	8.45947
0.358	14.09912
0.3585	18.73169
0.359	18.42957
0.3595	11.07788
0.36	8.45947
0.3605	10.77576
0.361	8.05664
0.3615	2.81982
0.362	7.95593
0.3625	8.15735
0.363	-3.32336
0.3635	2.11487
0.364	-0.20142
0.3645	-4.43115
0.365	-5.53894
0.3655	-12.38708
0.366	-9.46655
0.3665	1.91345
0.367	12.18567
0.3675	15.71045
0.368	22.55859
0.3685	19.43665
0.369	16.3147
0.3695	9.97009
0.37	9.97009
0.3705	18.63098
0.371	12.89062
0.3715	6.74744
0.372	1.3092
0.3725	-2.31628
0.373	-5.43823
0.3735	-1.91345
0.374	-3.02124
0.3745	-4.43115
0.375	-4.93469
0.3755	-14.30054
0.376	-19.03381
0.3765	-13.49487
0.377	1.3092
0.3775	28.09753
0.378	64.151
0.3785	89.93225
0.379	94.46411
0.3795	87.51526
0.38	72.10693
0.3805	43.80798
0.381	20.04089
0.3815	-10.67505
0.382	-46.92993
0.3825	-55.89294
0.383	-63.24463
0.3835	-59.92126
0.384	-60.82764
0.3845	-67.47437
0.385	-69.1864
0.3855	-54.88586
0.386	-45.01648
0.3865	-33.03223
0.387	-33.53577
0.3875	-29.70886
0.388	-41.99524
0.3885	-44.21082
0.389	-41.69312
0.3895	-31.92444
0.39	-12.48779
0.3905	-1.10779
0.391	-6.54602
0.3915	-12.48779
0.392	-17.42249
0.3925	-27.49329
0.393	-31.4209
0.3935	-23.46497
0.394	-16.41541
0.3945	-18.53027
0.395	-19.03381
0.3955	-18.22815
0.396	-14.90479
0.3965	-16.81824
0.397	-17.6239
0.3975	-15.60974
0.398	-17.92603
0.3985	-13.59558
0.399	-16.11328
0.3995	-18.42957
0.4	-17.6239
0.4005	-24.27063
0.401	-27.99683
0.4015	-28.80249
0.402	-29.30603
0.4025	-24.77417
0.403	-21.85364
0.4035	-14.80408
0.404	-8.66089
0.4045	-8.96301
0.405	0.80566
0.4055	-0.40283
0.406	7.95593
0.4065	11.38
0.407	9.66797
0.4075	11.38
0.408	12.38708
0.4085	16.21399
0.409	19.03381
0.4095	13.99841
0.41	12.28638
0.4105	14.90479
0.411	10.57434
0.4115	11.98425
0.412	2.11487
0.4125	5.33752
0.413	6.04248
0.4135	7.95593
0.414	5.53894
0.4145	6.2439
0.415	7.45239
0.4155	4.22974
0.416	2.5177
0.4165	2.71912
0.417	4.63257
0.4175	5.63965
0.418	-0.70496
0.4185	-2.61841
0.419	-2.5177
0.4195	-0.40283
0.42	3.92761
0.4205	0.40283
0.421	-3.02124
0.4215	-1.81274
0.422	0.40283
0.4225	6.94885
0.423	5.94177
0.4235	5.74036
0.424	9.16443
0.4245	4.53186
0.425	6.94885
0.4255	7.15027
0.426	11.2793
0.4265	8.96301
0.427	8.05664
0.4275	1.2085
0.428	1.3092
0.4285	1.61133
0.429	0.10071
0.4295	2.21558
0.43	5.23682
0.4305	8.15735
0.431	3.8269
0.4315	13.49487
0.432	7.75452
0.4325	6.64673
0.433	12.38708
0.4335	15.20691
0.434	16.41541
0.4345	23.46497
0.435	13.69629
0.4355	15.00549
0.436	9.06372
0.4365	7.45239
0.437	11.58142
0.4375	16.61682
0.438	10.57434
0.4385	9.86938
0.439	13.09204
0.4395	14.70337
0.44	12.78992
0.4405	15.91187
0.441	13.19275
0.4415	1.71204
0.442	0.40283
0.4425	-1.61133
0.443	3.92761
0.4435	10.0708
0.444	8.05664
0.4445	1.10779
0.445	-2.5177
0.4455	8.8623
0.446	12.99133
0.4465	26.68762
0.447	30.01099
0.4475	41.99524
0.448	51.46179
0.4485	54.18091
0.449	60.52551
0.4495	69.89136
0.45	82.07703
0.4505	95.06836
0.451	93.35632
0.4515	86.10535
0.452	80.16357
0.4525	62.74109
0.453	46.22498
0.4535	21.45081
0.454	-21.04797
0.4545	-54.38232
0.455	-71.50269
0.4555	-91.14075
0.456	-96.37756
0.4565	-87.01172
0.457	-83.78906
0.4575	-77.948
0.458	-69.58923
0.4585	-75.12817
0.459	-70.79773
0.4595	-66.97083
0.46	-67.67578
0.4605	-69.68994
0.461	-60.02197
0.4615	-59.82056
0.462	-44.21082
0.4625	-32.7301
0.463	-19.73877
0.4635	-10.57434
0.464	-7.85522
0.4645	-2.11487
0.465	2.41699
0.4655	2.01416
0.466	1.2085
0.4665	-0.10071
0.467	-2.5177
0.4675	-4.53186
0.468	-1.3092
0.4685	0.90637
0.469	15.91187
0.4695	39.67896
0.47	41.39099
0.4705	42.59949
0.471	46.72852
0.4715	35.75134
0.472	29.00391
0.4725	34.03931
0.473	22.05505
0.4735	12.5885
0.474	-2.31628
0.4745	-8.66089
0.475	-6.44531
0.4755	-13.49487
