Alex_Venditti_Right_2.c3d  



Time(s):	C_L_bicipite(μV):
0	11.88354
0.0005	9.46655
0.001	13.69629
0.0015	14.80408
0.002	17.42249
0.0025	13.89771
0.003	18.42957
0.0035	21.3501
0.004	19.83948
0.0045	26.3855
0.005	25.07629
0.0055	22.86072
0.006	21.3501
0.0065	21.3501
0.007	19.43665
0.0075	21.14868
0.008	17.92603
0.0085	13.99841
0.009	7.04956
0.0095	7.75452
0.01	8.05664
0.0105	8.96301
0.011	1.61133
0.0115	-0.40283
0.012	3.62549
0.0125	-1.10779
0.013	-0.60425
0.0135	-1.51062
0.014	5.84106
0.0145	1.81274
0.015	-2.81982
0.0155	1.10779
0.016	-5.63965
0.0165	-3.62549
0.017	-2.61841
0.0175	-5.74036
0.018	-10.77576
0.0185	-16.81824
0.019	-32.93152
0.0195	-46.92993
0.02	-49.0448
0.0205	-48.13843
0.021	-41.4917
0.0215	-37.96692
0.022	-33.33435
0.0225	-30.11169
0.023	-25.68054
0.0235	-11.98425
0.024	-6.04248
0.0245	0.50354
0.025	10.0708
0.0255	17.42249
0.026	23.96851
0.0265	24.77417
0.027	26.08337
0.0275	31.82373
0.028	34.94568
0.0285	37.56409
0.029	34.44214
0.0295	35.14709
0.03	36.15417
0.0305	33.13293
0.031	31.62231
0.0315	30.11169
0.032	27.29187
0.0325	25.98267
0.033	20.94727
0.0335	17.01965
0.034	18.42957
0.0345	8.7616
0.035	6.54602
0.0355	13.89771
0.036	8.96301
0.0365	6.94885
0.037	5.74036
0.0375	3.62549
0.038	7.25098
0.0385	0.70496
0.039	2.21558
0.0395	5.43823
0.04	6.2439
0.0405	7.15027
0.041	5.74036
0.0415	7.35168
0.042	9.16443
0.0425	12.5885
0.043	8.56018
0.0435	18.22815
0.044	12.68921
0.0445	12.18567
0.045	10.37292
0.0455	7.5531
0.046	8.56018
0.0465	7.65381
0.047	4.12903
0.0475	4.22974
0.048	-6.3446
0.0485	0.80566
0.049	-5.53894
0.0495	-5.33752
0.05	-4.22974
0.0505	-4.43115
0.051	-1.10779
0.0515	-1.40991
0.052	-4.12903
0.0525	1.71204
0.053	-0.40283
0.0535	-4.22974
0.054	-8.8623
0.0545	-20.94727
0.055	-35.04639
0.0555	-30.01099
0.056	-33.9386
0.0565	-34.84497
0.057	-38.87329
0.0575	-40.48462
0.058	-37.96692
0.0585	-32.83081
0.059	-24.57275
0.0595	-18.42957
0.06	-13.19275
0.0605	-9.26514
0.061	-1.71204
0.0615	5.53894
0.062	9.66797
0.0625	17.12036
0.063	26.78833
0.0635	29.40674
0.064	31.32019
0.0645	31.01807
0.065	32.83081
0.0655	34.74426
0.066	33.9386
0.0665	30.91736
0.067	25.47913
0.0675	22.6593
0.068	22.86072
0.0685	13.99841
0.069	10.97717
0.0695	9.36584
0.07	9.56726
0.0705	6.44531
0.071	-0.20142
0.0715	-4.93469
0.072	-1.81274
0.0725	0.70496
0.073	4.02832
0.0735	-0.70496
0.074	4.02832
0.0745	9.97009
0.075	4.12903
0.0755	8.56018
0.076	-0.20142
0.0765	3.92761
0.077	-0.20142
0.0775	-5.33752
0.078	-9.36584
0.0785	-11.17859
0.079	-12.5885
0.0795	-18.22815
0.08	-12.38708
0.0805	-5.43823
0.081	0.30212
0.0815	2.5177
0.082	13.59558
0.0825	21.75293
0.083	26.88904
0.0835	21.55151
0.084	34.74426
0.0845	39.17542
0.085	40.78674
0.0855	38.57117
0.086	38.77258
0.0865	35.44922
0.087	30.2124
0.0875	27.79541
0.088	25.78125
0.0885	26.48621
0.089	17.72461
0.0895	11.88354
0.09	12.48779
0.0905	7.65381
0.091	4.33044
0.0915	7.85522
0.092	10.87646
0.0925	7.85522
0.093	7.75452
0.0935	2.01416
0.094	2.5177
0.0945	0.30212
0.095	1.71204
0.0955	1.91345
0.096	-0.40283
0.0965	-13.99841
0.097	-23.06213
0.0975	-23.26355
0.098	-29.20532
0.0985	-26.98975
0.099	-22.86072
0.0995	-26.88904
0.1	-20.74585
0.1005	-15.81116
0.101	-12.89062
0.1015	-16.81824
0.102	-14.40125
0.1025	-9.97009
0.103	-10.27222
0.1035	-9.86938
0.104	-10.97717
0.1045	-19.33594
0.105	-22.05505
0.1055	-20.34302
0.106	-16.3147
0.1065	-15.60974
0.107	-11.68213
0.1075	-7.75452
0.108	-5.63965
0.1085	2.01416
0.109	8.15735
0.1095	20.54443
0.11	22.35718
0.1105	28.60107
0.111	35.44922
0.1115	36.4563
0.112	38.77258
0.1125	37.86621
0.113	45.3186
0.1135	46.12427
0.114	41.89453
0.1145	38.26904
0.115	33.23364
0.1155	32.22656
0.116	29.80957
0.1165	27.29187
0.117	30.51453
0.1175	13.59558
0.118	17.12036
0.1185	12.99133
0.119	3.22266
0.1195	8.15735
0.12	5.0354
0.1205	-1.51062
0.121	2.41699
0.1215	2.11487
0.122	3.62549
0.1225	3.8269
0.123	2.31628
0.1235	-2.21558
0.124	-0.40283
0.1245	3.62549
0.125	2.11487
0.1255	2.61841
0.126	2.01416
0.1265	-0.50354
0.127	0.50354
0.1275	8.15735
0.128	10.37292
0.1285	7.45239
0.129	9.46655
0.1295	9.26514
0.13	2.92053
0.1305	7.75452
0.131	11.17859
0.1315	2.92053
0.132	5.43823
0.1325	5.74036
0.133	-6.64673
0.1335	-12.48779
0.134	-12.78992
0.1345	-13.19275
0.135	-12.78992
0.1355	-11.48071
0.136	-12.68921
0.1365	-12.99133
0.137	-11.2793
0.1375	-11.88354
0.138	-15.91187
0.1385	-15.30762
0.139	-18.12744
0.1395	-8.66089
0.14	-16.91895
0.1405	-33.73718
0.141	-34.64355
0.1415	-38.36975
