Gabriele_Carluccio_Right_2.c3d  



Time(s):	C_L_bicipite(μV):
0.1425	20.1416
0.143	21.75293
0.1435	16.61682
0.144	7.35168
0.1445	6.94885
0.145	10.37292
0.1455	11.88354
0.146	14.40125
0.1465	13.49487
0.147	9.36584
0.1475	8.96301
0.148	8.45947
0.1485	9.06372
0.149	12.28638
0.1495	12.48779
0.15	11.17859
0.1505	9.66797
0.151	10.77576
0.1515	13.89771
0.152	5.33752
0.1525	10.0708
0.153	8.05664
0.1535	9.66797
0.154	13.69629
0.1545	3.12195
0.155	3.8269
0.1555	2.81982
0.156	-0.80566
0.1565	4.22974
0.157	0.40283
0.1575	5.13611
0.158	0.50354
0.1585	0.60425
0.159	6.2439
0.1595	7.45239
0.16	2.5177
0.1605	5.84106
0.161	4.93469
0.1615	0.10071
0.162	-1.91345
0.1625	0.60425
0.163	0.20142
0.1635	0.70496
0.164	2.71912
0.1645	2.31628
0.165	-0.30212
0.1655	2.71912
0.166	4.53186
0.1665	5.53894
0.167	2.21558
0.1675	4.33044
0.168	1.2085
0.1685	2.21558
0.169	3.02124
0.1695	-0.10071
0.17	3.8269
0.1705	-0.80566
0.171	5.23682
0.1715	1.91345
0.172	7.75452
0.1725	8.15735
0.173	3.32336
0.1735	2.81982
0.174	0.30212
0.1745	8.15735
0.175	10.47363
0.1755	7.35168
0.176	4.83398
0.1765	5.0354
0.177	9.46655
0.1775	8.05664
0.178	15.81116
0.1785	20.24231
0.179	17.22107
0.1795	18.8324
0.18	16.71753
0.1805	10.97717
0.181	14.30054
0.1815	16.61682
0.182	11.88354
0.1825	12.68921
0.183	16.91895
0.1835	14.50195
0.184	12.89062
0.1845	12.08496
0.185	6.64673
0.1855	7.35168
0.186	13.09204
0.1865	9.36584
0.187	17.32178
0.1875	17.22107
0.188	14.50195
0.1885	21.85364
0.189	25.37842
0.1895	29.40674
0.19	31.4209
0.1905	28.19824
0.191	24.87488
0.1915	28.19824
0.192	33.03223
0.1925	27.6947
0.193	20.64514
0.1935	13.19275
0.194	1.2085
0.1945	-11.68213
0.195	-21.45081
