Antonio_Festa_Right_2.c3d  



Time(s):	B_R_bicipite(μV):
0.164	31.92444
0.1645	16.21399
0.165	13.19275
0.1655	7.85522
0.166	1.3092
0.1665	0.30212
0.167	4.22974
0.1675	6.14319
0.168	11.07788
0.1685	15.91187
0.169	8.96301
0.1695	12.5885
0.17	12.28638
0.1705	12.18567
0.171	10.77576
0.1715	7.25098
0.172	9.46655
0.1725	6.84814
0.173	6.44531
0.1735	6.3446
0.174	9.46655
0.1745	8.15735
0.175	9.76868
0.1755	10.27222
0.176	7.5531
0.1765	0.80566
0.177	3.32336
0.1775	4.43115
0.178	5.0354
0.1785	4.93469
0.179	0.10071
0.1795	1.51062
0.18	2.41699
0.1805	0.20142
0.181	2.11487
0.1815	1.10779
0.182	-1.40991
0.1825	-1.81274
0.183	-2.71912
0.1835	-3.22266
0.184	-6.44531
0.1845	-8.45947
0.185	-10.77576
0.1855	-13.09204
0.186	-9.06372
0.1865	-12.78992
0.187	-21.24939
0.1875	-15.60974
0.188	-13.29346
0.1885	-16.41541
0.189	-10.0708
0.1895	-11.68213
0.19	-4.63257
0.1905	2.11487
0.191	6.54602
0.1915	6.54602
0.192	6.44531
0.1925	11.78284
0.193	9.06372
0.1935	8.66089
0.194	7.75452
0.1945	7.45239
0.195	2.01416
0.1955	-1.91345
0.196	-8.25806
0.1965	-2.5177
0.197	-4.83398
0.1975	-15.00549
0.198	-11.2793
0.1985	-15.40833
0.199	-15.00549
0.1995	-11.17859
0.2	-4.63257
0.2005	-4.63257
0.201	-5.74036
0.2015	1.91345
0.202	8.35876
0.2025	12.68921
0.203	21.65222
0.2035	24.77417
0.204	35.14709
0.2045	28.19824
0.205	27.99683
0.2055	31.01807
0.206	30.71594
0.2065	26.88904
0.207	23.8678
0.2075	15.50903
0.208	13.09204
0.2085	12.5885
0.209	13.09204
0.2095	17.32178
0.21	17.72461
0.2105	8.56018
0.211	8.45947
0.2115	11.07788
0.212	12.89062
0.2125	14.19983
0.213	12.48779
0.2135	9.36584
0.214	3.22266
0.2145	2.92053
0.215	6.64673
0.2155	9.86938
0.216	8.96301
0.2165	3.7262
0.217	7.65381
0.2175	1.00708
0.218	-2.21558
0.2185	0.60425
0.219	2.01416
0.2195	2.61841
0.22	-1.51062
0.2205	-3.42407
0.221	-2.11487
0.2215	-3.8269
0.222	-4.63257
0.2225	-6.44531
0.223	-4.83398
0.2235	-3.42407
0.224	-6.04248
0.2245	-11.38
0.225	-17.01965
0.2255	-10.0708
0.226	-10.27222
0.2265	-8.45947
0.227	-15.91187
0.2275	-17.72461
0.228	-12.5885
0.2285	-15.00549
0.229	-16.21399
0.2295	-14.50195
0.23	-7.15027
0.2305	-6.84814
0.231	-4.93469
0.2315	-6.14319
0.232	-2.21558
0.2325	0.40283
0.233	1.2085
0.2335	8.15735
0.234	9.36584
0.2345	17.22107
0.235	18.73169
0.2355	24.16992
0.236	24.97559
0.2365	28.39966
0.237	32.83081
0.2375	35.34851
0.238	37.7655
0.2385	43.40515
0.239	38.67188
0.2395	33.03223
0.24	25.27771
0.2405	26.48621
0.241	16.61682
0.2415	16.21399
0.242	14.70337
0.2425	12.28638
0.243	7.45239
0.2435	9.76868
0.244	0.10071
0.2445	8.25806
0.245	9.16443
0.2455	0.50354
0.246	-1.61133
0.2465	-3.32336
0.247	-1.81274
0.2475	1.3092
0.248	-0.40283
0.2485	0.40283
0.249	-11.88354
0.2495	-4.83398
0.25	-8.56018
0.2505	-10.37292
0.251	-4.63257
0.2515	-10.77576
0.252	-16.61682
0.2525	-20.1416
0.253	-22.25647
0.2535	-21.14868
0.254	-21.95435
0.2545	-18.22815
0.255	-20.84656
0.2555	-16.71753
0.256	-18.02673
0.2565	-20.84656
0.257	-14.70337
0.2575	-10.47363
0.258	-6.64673
0.2585	-2.31628
0.259	3.42407
0.2595	7.85522
0.26	15.00549
0.2605	22.86072
0.261	24.97559
0.2615	34.44214
0.262	31.92444
0.2625	34.03931
0.263	36.25488
0.2635	32.42798
0.264	32.02515
0.2645	27.09045
0.265	22.76001
0.2655	28.19824
0.266	23.96851
0.2665	19.83948
0.267	15.81116
0.2675	8.96301
0.268	7.35168
0.2685	3.52478
0.269	5.74036
0.2695	9.97009
0.27	10.77576
0.2705	8.05664
0.271	7.25098
0.2715	12.18567
0.272	10.47363
0.2725	8.05664
0.273	11.78284
0.2735	12.99133
0.274	10.77576
0.2745	10.67505
0.275	6.74744
0.2755	6.94885
0.276	4.53186
0.2765	5.33752
0.277	3.8269
0.2775	2.21558
0.278	-0.50354
0.2785	2.31628
0.279	2.81982
0.2795	2.41699
0.28	0.90637
0.2805	-1.91345
0.281	-1.2085
0.2815	3.22266
0.282	-1.3092
0.2825	3.7262
0.283	1.51062
0.2835	-3.32336
0.284	1.71204
0.2845	8.66089
0.285	1.10779
0.2855	4.83398
0.286	5.23682
0.2865	2.21558
0.287	-0.70496
0.2875	0.10071
0.288	1.81274
0.2885	-2.01416
0.289	2.92053
0.2895	6.3446
0.29	8.8623
0.2905	7.45239
0.291	6.3446
0.2915	8.56018
0.292	5.74036
0.2925	9.16443
0.293	7.85522
0.2935	8.7616
0.294	5.43823
0.2945	9.86938
0.295	7.25098
0.2955	8.66089
0.296	10.37292
0.2965	4.83398
0.297	6.2439
0.2975	8.96301
0.298	5.53894
0.2985	5.74036
0.299	-2.71912
0.2995	4.22974
0.3	0.50354
0.3005	0.90637
0.301	-0.80566
