Franco_Uliana_Left_2.c3d  



Time(s):	A_L_bicipite(μV):
0.1445	4.33044
0.145	1.81274
0.1455	3.42407
0.146	3.8269
0.1465	3.62549
0.147	1.51062
0.1475	5.23682
0.148	0.50354
0.1485	0.50354
0.149	1.2085
0.1495	0.10071
0.15	-3.52478
0.1505	0.70496
0.151	1.81274
0.1515	1.51062
0.152	-1.71204
0.1525	4.63257
0.153	1.71204
0.1535	3.62549
0.154	4.22974
0.1545	0.30212
0.155	0.10071
0.1555	8.35876
0.156	3.62549
0.1565	0.70496
0.157	8.66089
0.1575	3.7262
0.158	8.96301
0.1585	7.45239
0.159	6.2439
0.1595	4.53186
0.16	8.56018
0.1605	5.0354
0.161	5.23682
0.1615	-2.01416
0.162	3.7262
0.1625	3.62549
0.163	-0.30212
0.1635	6.2439
0.164	7.04956
0.1645	4.43115
0.165	4.63257
0.1655	11.17859
0.166	6.74744
0.1665	1.71204
0.167	1.3092
0.1675	-2.5177
0.168	-0.30212
0.1685	1.91345
0.169	2.71912
0.1695	3.42407
0.17	5.0354
0.1705	0.90637
0.171	-3.32336
0.1715	1.2085
0.172	3.7262
0.1725	4.83398
0.173	6.04248
0.1735	2.01416
0.174	-1.61133
0.1745	5.13611
0.175	9.97009
0.1755	10.0708
0.176	5.23682
0.1765	7.04956
0.177	13.69629
0.1775	8.96301
0.178	14.30054
0.1785	7.75452
0.179	3.92761
0.1795	5.84106
0.18	9.66797
0.1805	9.16443
0.181	7.04956
0.1815	10.67505
0.182	16.01257
0.1825	8.8623
0.183	7.95593
0.1835	8.35876
0.184	6.64673
0.1845	10.57434
0.185	5.84106
0.1855	3.42407
0.186	2.11487
0.1865	6.3446
0.187	4.22974
0.1875	3.32336
0.188	4.83398
0.1885	1.51062
0.189	0.50354
0.1895	2.61841
0.19	1.51062
0.1905	4.33044
0.191	3.12195
0.1915	3.62549
0.192	5.23682
0.1925	2.41699
0.193	1.81274
0.1935	11.07788
0.194	3.42407
0.1945	-3.02124
0.195	-1.00708
0.1955	-6.54602
0.196	1.71204
0.1965	1.81274
0.197	7.35168
0.1975	4.53186
0.198	2.41699
0.1985	8.25806
0.199	7.04956
0.1995	4.53186
0.2	-4.22974
0.2005	5.23682
0.201	5.33752
0.2015	3.22266
0.202	4.12903
0.2025	5.63965
0.203	8.15735
0.2035	9.86938
0.204	3.62549
0.2045	7.35168
0.205	1.61133
0.2055	1.91345
0.206	6.3446
0.2065	2.41699
0.207	3.32336
0.2075	5.94177
0.208	10.87646
0.2085	4.53186
0.209	4.63257
0.2095	6.94885
0.21	7.45239
0.2105	1.91345
0.211	3.62549
0.2115	4.33044
0.212	5.33752
0.2125	4.33044
0.213	4.93469
0.2135	1.91345
