Antonio_Festa_Right_1.c3d  



Time(s):	B_L_bicipite(μV):
0	4.12903
0.0005	0.60425
0.001	-6.3446
0.0015	2.41699
0.002	1.61133
0.0025	-0.40283
0.003	4.83398
0.0035	1.40991
0.004	3.92761
0.0045	1.81274
0.005	7.35168
0.0055	10.37292
0.006	5.0354
0.0065	1.81274
0.007	7.25098
0.0075	6.14319
0.008	3.92761
0.0085	8.8623
0.009	2.31628
0.0095	0.80566
0.01	-7.95593
0.0105	-0.20142
0.011	0.70496
0.0115	0.70496
0.012	-4.73328
0.0125	-19.13452
0.013	-28.39966
0.0135	-25.68054
0.014	-27.49329
0.0145	-30.31311
0.015	-34.14001
0.0155	-30.41382
0.016	-25.68054
0.0165	-28.39966
0.017	-19.33594
0.0175	-19.33594
0.018	-3.8269
0.0185	1.3092
0.019	6.84814
0.0195	-1.3092
0.02	-58.91418
0.0205	-117.92908
0.021	-192.35229
0.0215	-262.34436
0.022	-301.41907
0.0225	-292.65747
0.023	-248.14453
0.0235	-159.82361
0.024	-61.53259
0.0245	32.93152
0.025	123.87085
0.0255	192.25159
0.026	236.86523
0.0265	256.40259
0.027	243.10913
0.0275	220.44983
0.028	183.48999
0.0285	139.27917
0.029	86.20605
0.0295	8.96301
0.03	-37.36267
0.0305	-60.3241
0.031	-61.12976
0.0315	-33.03223
0.032	0
0.0325	35.14709
0.033	56.39648
0.0335	62.03613
0.034	65.66162
0.0345	78.55225
0.035	75.63171
0.0355	73.81897
0.036	73.91968
0.0365	67.8772
0.037	56.39648
0.0375	47.03064
0.038	44.0094
0.0385	30.2124
0.039	20.44373
0.0395	15.20691
0.04	12.78992
0.0405	14.70337
0.041	8.45947
0.0415	9.16443
0.042	5.33752
0.0425	5.43823
0.043	10.17151
0.0435	8.45947
0.044	13.49487
0.0445	16.11328
0.045	14.60266
0.0455	15.50903
0.046	6.94885
0.0465	14.09912
0.047	12.68921
0.0475	0.20142
0.048	1.71204
0.0485	5.63965
0.049	4.02832
0.0495	5.94177
0.05	5.63965
0.0505	6.54602
0.051	1.00708
0.0515	4.63257
0.052	1.10779
0.0525	2.31628
0.053	-3.02124
0.0535	-0.60425
0.054	-1.61133
0.0545	-14.30054
0.055	-18.53027
0.0555	-31.62231
0.056	-36.4563
0.0565	-42.39807
0.057	-34.84497
0.0575	-34.64355
0.058	-53.17383
0.0585	-67.47437
0.059	-73.81897
0.0595	-73.51685
0.06	-66.06445
0.0605	-61.02905
0.061	-47.03064
0.0615	-27.99683
0.062	-9.16443
0.0625	10.17151
0.063	35.54993
0.0635	49.24622
0.064	66.06445
0.0645	83.78906
0.065	92.34924
0.0655	100.70801
0.066	104.3335
0.0665	94.16199
0.067	74.52393
0.0675	56.49719
0.068	38.16833
0.0685	21.95435
0.069	16.21399
0.0695	-3.7262
0.07	-11.48071
0.0705	-6.84814
0.071	-11.2793
0.0715	-4.93469
0.072	-4.33044
0.0725	5.53894
0.073	4.73328
0.0735	7.04956
0.074	15.60974
0.0745	19.73877
0.075	23.76709
0.0755	16.11328
0.076	5.74036
0.0765	-2.92053
0.077	-3.7262
0.0775	-6.94885
0.078	-11.07788
0.0785	-5.84106
0.079	-19.13452
0.0795	-25.57983
0.08	-27.89612
0.0805	-31.72302
0.081	-26.08337
0.0815	-26.28479
0.082	-15.00549
0.0825	-19.33594
0.083	-12.5885
0.0835	-11.98425
0.084	-1.3092
0.0845	5.74036
0.085	4.63257
0.0855	13.59558
0.086	21.95435
0.0865	29.70886
0.087	43.20374
0.0875	50.15259
0.088	46.02356
0.0885	41.39099
0.089	45.52002
0.0895	41.18958
0.09	35.44922
0.0905	31.32019
0.091	24.87488
0.0915	16.71753
0.092	7.35168
0.0925	4.43115
0.093	8.25806
0.0935	9.97009
0.094	7.25098
0.0945	5.53894
0.095	5.53894
0.0955	5.53894
0.096	5.53894
0.0965	5.53894
0.097	5.53894
0.0975	5.53894
0.098	5.53894
0.0985	5.53894
0.099	5.53894
0.0995	5.53894
