Antonio_Festa_Right_2.c3d  



Time(s):	B_L_bicipite(μV):
0	14.60266
0.0005	10.57434
0.001	-0.50354
0.0015	-3.8269
0.002	-14.60266
0.0025	-19.33594
0.003	-18.8324
0.0035	-23.26355
0.004	-27.29187
0.0045	-30.81665
0.005	-36.55701
0.0055	-38.16833
0.006	-40.98816
0.0065	-38.974
0.007	-42.39807
0.0075	-33.63647
0.008	-24.47205
0.0085	-8.8623
0.009	3.22266
0.0095	14.40125
0.01	13.29346
0.0105	17.6239
0.011	22.6593
0.0115	27.89612
0.012	33.13293
0.0125	32.12585
0.013	30.51453
0.0135	25.98267
0.014	27.19116
0.0145	26.48621
0.015	24.37134
0.0155	18.8324
0.016	20.54443
0.0165	18.73169
0.017	16.11328
0.0175	10.0708
0.018	6.84814
0.0185	2.92053
0.019	4.02832
0.0195	1.2085
0.02	8.8623
0.0205	9.76868
0.021	14.30054
0.0215	10.87646
0.022	13.19275
0.0225	20.24231
0.023	24.57275
0.0235	24.27063
0.024	25.57983
0.0245	19.13452
0.025	21.55151
0.0255	20.04089
0.026	5.94177
0.0265	-8.66089
0.027	-20.24231
0.0275	-25.68054
0.028	-24.97559
0.0285	-24.16992
0.029	-25.177
0.0295	-19.43665
0.03	-11.2793
0.0305	-5.94177
0.031	0.30212
0.0315	10.17151
0.032	13.29346
0.0325	16.71753
0.033	22.15576
0.0335	21.24939
0.034	24.97559
0.0345	35.54993
0.035	43.30444
0.0355	37.7655
0.036	35.85205
0.0365	34.84497
0.037	30.2124
0.0375	25.37842
0.038	12.28638
0.0385	11.98425
0.039	8.05664
0.0395	3.92761
0.04	2.61841
0.0405	2.31628
0.041	7.35168
0.0415	10.17151
0.042	14.90479
0.0425	14.40125
0.043	13.19275
0.0435	11.48071
0.044	14.09912
0.0445	14.30054
0.045	16.81824
0.0455	15.00549
0.046	7.5531
0.0465	12.89062
0.047	7.15027
0.0475	0.40283
0.048	3.52478
0.0485	2.5177
0.049	7.04956
0.0495	3.42407
0.05	7.25098
0.0505	2.92053
