Alessio_Russo_Left_1.c3d  



Time(s):	C_R_bicipite(μV):
0.1575	-6.64673
0.158	-14.09912
0.1585	-12.48779
0.159	-3.42407
0.1595	2.61841
0.16	5.13611
0.1605	8.45947
0.161	6.2439
0.1615	11.38
0.162	9.26514
0.1625	3.22266
0.163	3.42407
0.1635	-1.3092
0.164	2.71912
0.1645	12.99133
0.165	6.84814
0.1655	6.94885
0.166	-3.32336
0.1665	-5.74036
0.167	-1.00708
0.1675	1.61133
0.168	0.70496
0.1685	-2.11487
0.169	-5.53894
0.1695	-4.43115
0.17	-1.71204
0.1705	5.74036
0.171	8.66089
0.1715	3.42407
0.172	6.94885
0.1725	8.45947
0.173	8.35876
0.1735	7.25098
0.174	1.81274
0.1745	-0.20142
0.175	4.73328
0.1755	5.13611
0.176	3.52478
0.1765	11.48071
0.177	6.54602
0.1775	25.07629
0.178	63.24463
0.1785	92.75208
0.179	96.07544
0.1795	86.10535
0.18	69.79065
0.1805	50.75684
0.181	30.31311
0.1815	6.2439
0.182	-11.78284
0.1825	-28.50037
0.183	-34.24072
0.1835	-43.20374
0.184	-50.2533
0.1845	-50.15259
0.185	-43.80798
0.1855	-48.03772
0.186	-46.82922
0.1865	-41.08887
0.187	-32.93152
0.1875	-32.02515
0.188	-28.60107
0.1885	-14.09912
0.189	-9.36584
0.1895	-4.43115
0.19	-10.27222
0.1905	-7.95593
0.191	-11.48071
0.1915	-6.2439
0.192	-3.52478
0.1925	-9.36584
0.193	-6.04248
0.1935	-10.67505
0.194	-17.22107
0.1945	-15.20691
0.195	-15.81116
0.1955	-15.20691
0.196	-10.77576
0.1965	-8.15735
0.197	8.35876
0.1975	10.77576
0.198	6.3446
0.1985	15.30762
0.199	26.3855
0.1995	31.01807
0.2	26.58691
0.2005	21.04797
0.201	22.45789
0.2015	14.70337
0.202	8.15735
0.2025	7.04956
0.203	20.44373
0.2035	33.23364
0.204	40.48462
0.2045	29.91028
0.205	20.24231
0.2055	3.7262
0.206	-16.71753
0.2065	-36.65771
0.207	-37.16125
0.2075	-48.33984
0.208	-54.58374
0.2085	-54.38232
0.209	-47.8363
0.2095	-30.61523
0.21	-25.177
0.2105	-16.21399
0.211	-17.42249
0.2115	-22.05505
0.212	-15.1062
0.2125	-8.15735
0.213	-7.15027
0.2135	-8.35876
0.214	-12.18567
0.2145	-2.21558
0.215	-9.97009
0.2155	-8.45947
0.216	-5.94177
0.2165	-3.52478
0.217	-3.8269
0.2175	0.70496
0.218	3.42407
0.2185	-0.50354
0.219	4.43115
0.2195	12.08496
0.22	9.36584
0.2205	16.71753
0.221	10.87646
0.2215	9.36584
0.222	2.61841
0.2225	2.92053
0.223	3.7262
0.2235	12.89062
0.224	14.80408
0.2245	17.6239
0.225	14.70337
0.2255	18.93311
0.226	12.99133
0.2265	14.80408
0.227	7.35168
0.2275	3.92761
0.228	3.32336
0.2285	5.33752
0.229	2.01416
0.2295	-3.22266
0.23	2.11487
0.2305	4.63257
0.231	11.68213
0.2315	12.28638
0.232	12.89062
0.2325	7.95593
0.233	5.33752
0.2335	-4.22974
0.234	-9.76868
0.2345	-6.3446
0.235	-10.27222
0.2355	-3.7262
0.236	4.73328
0.2365	-2.01416
0.237	-1.71204
0.2375	8.35876
0.238	12.08496
0.2385	10.57434
0.239	7.5531
0.2395	18.63098
0.24	42.90161
0.2405	62.03613
0.241	65.66162
0.2415	49.14551
0.242	31.82373
0.2425	8.96301
0.243	-9.36584
0.2435	-24.57275
0.244	-26.88904
0.2445	-22.6593
0.245	-18.53027
0.2455	-14.50195
0.246	-15.60974
0.2465	-11.07788
0.247	-17.22107
0.2475	-23.96851
0.248	-24.57275
0.2485	-28.19824
0.249	-27.29187
0.2495	-31.01807
0.25	-31.92444
0.2505	-26.48621
0.251	-22.35718
0.2515	-18.53027
0.252	-19.83948
0.2525	-18.02673
0.253	1.91345
0.2535	23.26355
0.254	29.20532
