Alessio_Russo_Right_2.c3d  



Time(s):	B_L_bicipite(μV):
0.1595	-36.15417
0.16	-18.02673
0.1605	-1.81274
0.161	20.1416
0.1615	38.77258
0.162	44.41223
0.1625	36.35559
0.163	44.11011
0.1635	51.86462
0.164	54.78516
0.1645	56.49719
0.165	50.95825
0.1655	45.62073
0.166	47.33276
0.1665	40.98816
0.167	38.36975
0.1675	40.58533
0.168	41.39099
0.1685	44.41223
0.169	54.78516
0.1695	45.11719
0.17	36.85913
0.1705	26.78833
0.171	16.51611
0.1715	15.00549
0.172	3.52478
0.1725	-2.81982
0.173	-5.0354
0.1735	-1.00708
0.174	3.62549
0.1745	-3.92761
0.175	0.40283
0.1755	-2.92053
0.176	-6.84814
0.1765	-6.94885
0.177	-13.797
0.1775	-13.09204
0.178	-16.71753
0.1785	-19.33594
0.179	-20.64514
0.1795	-17.12036
0.18	-17.72461
0.1805	-7.45239
0.181	-1.51062
0.1815	8.8623
0.182	3.42407
0.1825	7.75452
0.183	-12.5885
0.1835	-18.32886
0.184	-27.99683
0.1845	-30.71594
0.185	-28.29895
0.1855	-24.67346
0.186	-19.13452
0.1865	-22.25647
0.187	-15.81116
0.1875	-11.07788
0.188	-3.22266
0.1885	5.43823
0.189	12.28638
0.1895	5.74036
0.19	6.64673
0.1905	13.39417
0.191	12.08496
0.1915	11.68213
0.192	15.71045
0.1925	21.24939
0.193	21.85364
0.1935	23.96851
0.194	28.60107
0.1945	44.11011
0.195	57.60498
0.1955	65.15808
0.196	64.151
0.1965	51.96533
0.197	33.73718
0.1975	26.58691
0.198	12.18567
0.1985	-2.31628
0.199	-16.61682
0.1995	-27.29187
0.2	-30.91736
0.2005	-30.01099
0.201	-26.58691
0.2015	-24.27063
0.202	-28.80249
0.2025	-33.03223
0.203	-37.86621
0.2035	-36.95984
0.204	-45.3186
0.2045	-48.64197
0.205	-47.7356
0.2055	-27.59399
0.206	9.56726
0.2065	17.6239
0.207	36.25488
0.2075	46.12427
0.208	45.2179
0.2085	25.07629
0.209	3.62549
0.2095	-18.73169
0.21	-35.75134
0.2105	-48.33984
0.211	-55.3894
0.2115	-52.8717
0.212	-54.28162
0.2125	-41.69312
0.213	-28.29895
0.2135	-14.80408
0.214	-6.2439
0.2145	1.61133
0.215	2.11487
0.2155	1.81274
0.216	3.22266
0.2165	4.33044
0.217	-0.30212
0.2175	8.05664
0.218	19.13452
0.2185	25.57983
0.219	36.05347
0.2195	51.26038
0.22	55.18799
0.2205	59.21631
0.221	63.54675
0.2215	63.14392
0.222	63.94958
0.2225	63.04321
0.223	58.91418
0.2235	59.71985
0.224	55.59082
0.2245	45.11719
0.225	38.974
0.2255	34.74426
0.226	33.23364
0.2265	30.51453
0.227	28.29895
0.2275	18.53027
0.228	19.94019
0.2285	13.29346
0.229	13.19275
0.2295	-1.81274
0.23	-7.35168
0.2305	-13.39417
0.231	-15.81116
0.2315	-21.04797
0.232	-21.85364
0.2325	-18.32886
0.233	-24.97559
0.2335	-22.6593
0.234	-16.71753
0.2345	-9.26514
0.235	-9.26514
0.2355	-5.63965
0.236	1.81274
0.2365	9.26514
0.237	14.70337
0.2375	23.56567
0.238	40.68604
0.2385	47.03064
0.239	54.98657
0.2395	49.54834
0.24	31.82373
0.2405	15.1062
0.241	1.51062
0.2415	-3.22266
0.242	-6.64673
0.2425	-1.51062
0.243	-5.13611
0.2435	-11.88354
0.244	-16.81824
0.2445	-25.47913
0.245	-23.36426
0.2455	-15.50903
0.246	-11.58142
0.2465	-2.81982
0.247	-0.20142
0.2475	3.62549
0.248	3.42407
0.2485	19.13452
0.249	23.36426
0.2495	23.06213
0.25	21.95435
0.2505	13.59558
0.251	5.33752
0.2515	5.23682
0.252	5.43823
0.2525	8.96301
0.253	12.89062
0.2535	20.24231
0.254	25.27771
0.2545	15.20691
0.255	12.08496
0.2555	5.53894
0.256	0.50354
0.2565	2.5177
0.257	-7.04956
0.2575	-19.94019
0.258	-28.09753
0.2585	-26.48621
0.259	-28.80249
0.2595	-26.78833
0.26	-24.87488
0.2605	-17.01965
0.261	-25.27771
0.2615	-23.16284
0.262	-28.60107
0.2625	-23.66638
0.263	-12.08496
0.2635	-5.74036
0.264	-2.5177
0.2645	8.45947
0.265	16.71753
0.2655	13.89771
0.266	18.12744
0.2665	38.26904
0.267	53.37524
0.2675	66.46729
0.268	59.92126
0.2685	53.37524
0.269	48.64197
0.2695	40.98816
0.27	37.16125
0.2705	28.60107
0.271	30.81665
0.2715	33.73718
0.272	38.36975
0.2725	27.19116
0.273	19.63806
0.2735	25.47913
0.274	24.97559
0.2745	16.91895
0.275	6.3446
0.2755	-0.90637
0.276	-2.21558
0.2765	-19.33594
0.277	-32.83081
0.2775	-26.48621
0.278	-26.28479
0.2785	-17.72461
0.279	-15.60974
0.2795	-19.23523
0.28	-10.87646
0.2805	-8.35876
0.281	-15.1062
0.2815	-22.35718
0.282	-27.99683
0.2825	-25.68054
0.283	-28.50037
0.2835	-24.57275
0.284	-26.98975
0.2845	-18.63098
0.285	-9.06372
0.2855	-0.90637
0.286	8.7616
0.2865	19.43665
0.287	27.59399
0.2875	32.42798
0.288	32.93152
0.2885	29.60815
0.289	34.84497
0.2895	33.03223
0.29	32.22656
0.2905	27.09045
0.291	29.91028
0.2915	26.98975
0.292	27.89612
0.2925	23.8678
0.293	25.07629
0.2935	23.96851
0.294	15.00549
0.2945	10.57434
0.295	0.70496
0.2955	0.50354
0.296	4.63257
0.2965	8.7616
0.297	7.45239
0.2975	1.91345
0.298	8.35876
0.2985	6.94885
0.299	6.3446
0.2995	1.81274
0.3	-2.92053
0.3005	-14.40125
0.301	-23.56567
0.3015	-30.61523
0.302	-32.22656
0.3025	-39.17542
0.303	-43.60657
0.3035	-46.5271
0.304	-26.18408
0.3045	19.53735
0.305	51.15967
0.3055	54.38232
0.306	59.1156
0.3065	46.5271
0.307	28.60107
0.3075	15.40833
0.308	-4.02832
0.3085	-16.01257
0.309	-25.57983
0.3095	-31.4209
0.31	-45.3186
0.3105	-34.44214
0.311	-25.37842
0.3115	-16.3147
0.312	-19.94019
0.3125	-17.52319
0.313	-9.56726
0.3135	-8.35876
0.314	-17.12036
0.3145	-18.42957
0.315	-1.2085
0.3155	14.09912
0.316	30.61523
0.3165	39.98108
0.317	40.38391
0.3175	31.92444
0.318	26.88904
0.3185	19.33594
0.319	11.68213
0.3195	6.64673
0.32	-13.29346
0.3205	-25.68054
0.321	-25.88196
0.3215	-21.45081
0.322	-17.32178
0.3225	-2.21558
0.323	1.2085
0.3235	0.50354
0.324	1.61133
0.3245	2.21558
0.325	2.61841
0.3255	10.17151
0.326	18.02673
0.3265	23.06213
0.327	20.04089
0.3275	14.80408
0.328	18.32886
0.3285	8.66089
0.329	5.63965
0.3295	8.45947
0.33	14.30054
0.3305	20.54443
0.331	25.78125
0.3315	38.36975
0.332	45.11719
0.3325	39.07471
0.333	25.47913
0.3335	14.80408
0.334	13.89771
0.3345	-1.51062
0.335	-20.1416
0.3355	-33.73718
0.336	-23.66638
0.3365	-7.25098
0.337	-4.22974
0.3375	0.50354
0.338	2.81982
0.3385	5.74036
0.339	10.17151
0.3395	9.97009
0.34	6.94885
0.3405	-2.71912
0.341	-2.61841
0.3415	3.22266
0.342	12.78992
0.3425	7.04956
0.343	1.51062
0.3435	11.38
0.344	8.8623
0.3445	15.81116
0.345	36.65771
0.3455	33.23364
0.346	30.61523
0.3465	28.80249
0.347	20.24231
0.3475	22.76001
0.348	14.50195
0.3485	15.30762
0.349	9.06372
0.3495	7.5531
0.35	7.65381
0.3505	13.39417
0.351	13.39417
0.3515	20.94727
0.352	23.36426
0.3525	23.76709
0.353	36.25488
0.3535	39.37683
0.354	39.27612
0.3545	34.94568
0.355	29.50745
0.3555	21.45081
0.356	15.81116
0.3565	8.05664
0.357	8.45947
0.3575	10.77576
0.358	14.50195
0.3585	16.01257
0.359	7.04956
0.3595	-0.20142
0.36	-4.73328
0.3605	-6.64673
0.361	-5.84106
0.3615	-12.38708
0.362	-7.95593
0.3625	-4.73328
0.363	-3.62549
0.3635	3.42407
0.364	7.45239
0.3645	22.05505
0.365	42.49878
0.3655	61.73401
0.366	69.28711
0.3665	70.49561
0.367	59.01489
0.3675	39.57825
0.368	19.83948
0.3685	1.61133
0.369	-12.89062
0.3695	-21.95435
0.37	-25.78125
0.3705	-31.21948
0.371	-38.36975
0.3715	-40.1825
0.372	-41.08887
0.3725	-32.12585
0.373	-34.64355
0.3735	-32.32727
0.374	-30.31311
0.3745	-35.75134
0.375	-27.99683
0.3755	-16.61682
0.376	-4.33044
0.3765	-2.31628
0.377	0.80566
0.3775	4.83398
0.378	6.54602
0.3785	14.90479
0.379	21.3501
0.3795	24.27063
0.38	19.43665
0.3805	19.53735
0.381	13.29346
0.3815	4.02832
0.382	-1.71204
0.3825	-5.63965
0.383	-19.53735
0.3835	-24.87488
0.384	-29.30603
0.3845	-38.36975
0.385	-36.85913
0.3855	-48.74268
0.386	-47.63489
0.3865	-43.40515
0.387	-37.06055
0.3875	-31.62231
0.388	-33.53577
0.3885	-30.71594
0.389	-24.57275
0.3895	-9.66797
0.39	-2.31628
0.3905	8.66089
0.391	9.06372
0.3915	14.80408
0.392	10.67505
0.3925	7.65381
0.393	-2.41699
0.3935	-5.13611
0.394	-7.35168
0.3945	-1.2085
0.395	-4.73328
0.3955	8.96301
0.396	38.16833
0.3965	85.60181
0.397	127.89917
0.3975	137.46643
0.398	112.49084
0.3985	65.05737
0.399	25.37842
0.3995	-10.67505
0.4	-29.30603
0.4005	-34.44214
0.401	-30.91736
0.4015	-29.30603
0.402	-23.56567
0.4025	-14.60266
0.403	-18.42957
0.4035	-12.38708
0.404	-5.84106
0.4045	-5.43823
0.405	4.83398
0.4055	25.177
0.406	32.83081
0.4065	36.95984
0.407	46.92993
0.4075	43.50586
0.408	44.41223
0.4085	34.84497
0.409	28.50037
0.4095	16.51611
0.41	16.61682
0.4105	20.74585
0.411	26.3855
0.4115	29.50745
0.412	14.60266
0.4125	9.56726
0.413	-4.43115
0.4135	-14.70337
0.414	-16.01257
0.4145	-10.47363
0.415	-6.14319
0.4155	6.84814
0.416	16.11328
0.4165	22.05505
0.417	25.68054
0.4175	22.05505
0.418	14.70337
0.4185	14.30054
0.419	2.01416
0.4195	-4.63257
0.42	-3.12195
0.4205	-5.33752
0.421	-6.2439
0.4215	-6.3446
0.422	-5.13611
0.4225	-0.20142
0.423	-1.40991
0.4235	0.90637
0.424	1.51062
0.4245	8.56018
0.425	9.16443
0.4255	5.43823
0.426	8.7616
0.4265	1.3092
0.427	-5.43823
0.4275	-7.5531
0.428	-3.52478
0.4285	2.81982
0.429	14.60266
0.4295	17.01965
0.43	15.1062
0.4305	10.0708
0.431	10.77576
0.4315	12.48779
0.432	10.17151
0.4325	11.2793
0.433	7.35168
0.4335	2.11487
0.434	5.84106
0.4345	9.16443
0.435	11.48071
0.4355	19.53735
0.436	15.81116
0.4365	15.00549
0.437	8.45947
0.4375	4.22974
0.438	0.80566
0.4385	17.72461
0.439	49.14551
0.4395	55.89294
0.44	57.9071
0.4405	48.03772
0.441	42.39807
0.4415	21.65222
0.442	4.02832
0.4425	-19.03381
0.443	-32.32727
0.4435	-47.43347
0.444	-45.41931
0.4445	-38.87329
0.445	-32.22656
0.4455	-26.48621
0.446	-16.51611
0.4465	-16.01257
0.447	-15.1062
0.4475	-18.12744
0.448	-3.52478
0.4485	14.09912
0.449	31.52161
0.4495	30.31311
0.45	26.58691
0.4505	17.52319
0.451	1.91345
0.4515	-3.22266
0.452	9.26514
0.4525	18.02673
0.453	25.88196
0.4535	12.68921
0.454	6.74744
0.4545	-1.40991
0.455	-3.02124
0.4555	-4.22974
0.456	-10.0708
0.4565	-1.91345
0.457	-3.52478
0.4575	-6.54602
0.458	-13.797
0.4585	-15.30762
0.459	-17.6239
0.4595	-12.28638
0.46	-17.22107
0.4605	-9.97009
0.461	-18.22815
0.4615	-25.68054
0.462	-25.37842
0.4625	-17.52319
0.463	-10.17151
0.4635	-5.84106
0.464	3.22266
0.4645	-0.70496
0.465	3.32336
0.4655	6.14319
0.466	14.70337
0.4665	19.94019
0.467	15.30762
0.4675	15.30762
0.468	17.22107
0.4685	28.9032
0.469	40.98816
0.4695	41.29028
0.47	48.84338
0.4705	47.8363
0.471	48.54126
0.4715	41.79382
0.472	30.61523
0.4725	24.77417
0.473	21.95435
0.4735	23.26355
0.474	17.01965
0.4745	6.74744
0.475	0.80566
0.4755	18.93311
0.476	38.77258
0.4765	30.41382
0.477	16.41541
0.4775	-6.14319
0.478	-14.80408
0.4785	-30.11169
0.479	-54.0802
0.4795	-53.97949
0.48	-57.00073
0.4805	-58.81348
0.481	-50.05188
0.4815	-55.79224
0.482	-53.67737
0.4825	-35.54993
0.483	-16.61682
0.4835	-12.5885
0.484	-3.12195
0.4845	-0.10071
0.485	6.14319
0.4855	13.49487
0.486	26.18408
0.4865	28.39966
0.487	27.49329
0.4875	30.51453
0.488	43.10303
0.4885	39.07471
0.489	42.8009
0.4895	41.08887
0.49	37.16125
0.4905	42.59949
0.491	46.5271
0.4915	33.73718
0.492	25.37842
0.4925	17.52319
0.493	6.04248
0.4935	8.7616
0.494	10.97717
0.4945	9.97009
0.495	10.47363
0.4955	10.0708
0.496	3.62549
0.4965	13.797
0.497	20.54443
0.4975	31.32019
0.498	43.80798
0.4985	52.8717
0.499	52.56958
0.4995	46.12427
0.5	34.84497
0.5005	29.00391
0.501	5.0354
0.5015	-7.04956
0.502	-15.30762
0.5025	-24.37134
0.503	-32.12585
0.5035	-44.11011
0.504	-44.91577
0.5045	-37.16125
0.505	-36.95984
0.5055	-34.74426
0.506	-30.41382
0.5065	-31.72302
0.507	-37.16125
0.5075	-40.88745
0.508	-34.64355
0.5085	-29.91028
0.509	-30.11169
0.5095	-18.8324
0.51	-12.89062
0.5105	-17.32178
0.511	-13.19275
0.5115	-10.0708
0.512	-10.57434
0.5125	-8.15735
0.513	8.96301
0.5135	32.7301
0.514	45.41931
0.5145	48.84338
0.515	31.62231
0.5155	28.60107
0.516	33.23364
0.5165	30.41382
0.517	27.49329
0.5175	14.70337
0.518	3.22266
0.5185	0.10071
0.519	-11.68213
0.5195	-20.64514
0.52	-15.20691
0.5205	-5.94177
0.521	6.14319
0.5215	18.42957
0.522	17.42249
0.5225	27.19116
0.523	14.80408
0.5235	12.28638
0.524	7.85522
0.5245	11.98425
0.525	5.84106
0.5255	-5.0354
0.526	-29.10461
0.5265	-42.19666
0.527	-41.69312
0.5275	-44.11011
0.528	-41.89453
0.5285	-33.33435
0.529	-20.54443
0.5295	-18.32886
0.53	-14.70337
0.5305	-9.46655
0.531	3.8269
0.5315	13.59558
0.532	36.35559
0.5325	43.00232
0.533	40.2832
0.5335	38.26904
0.534	41.18958
0.5345	36.15417
0.535	39.57825
0.5355	40.48462
0.536	40.38391
0.5365	42.59949
0.537	38.26904
0.5375	37.36267
0.538	32.83081
0.5385	22.96143
0.539	17.22107
0.5395	13.09204
0.54	8.7616
0.5405	10.87646
0.541	11.78284
0.5415	3.22266
0.542	12.48779
0.5425	11.98425
0.543	5.23682
0.5435	6.3446
0.544	-0.30212
0.5445	6.84814
0.545	1.51062
0.5455	3.12195
0.546	4.02832
0.5465	-1.10779
0.547	6.04248
0.5475	12.28638
0.548	4.12903
0.5485	2.71912
0.549	15.71045
0.5495	19.43665
0.55	16.3147
0.5505	19.03381
0.551	22.45789
0.5515	19.73877
0.552	16.61682
0.5525	12.68921
0.553	1.71204
0.5535	3.32336
0.554	0.10071
0.5545	12.08496
0.555	10.97717
0.5555	14.80408
0.556	14.60266
0.5565	2.92053
0.557	-11.78284
0.5575	-11.2793
0.558	-11.07788
0.5585	-3.32336
0.559	-1.71204
0.5595	1.00708
0.56	1.3092
0.5605	19.33594
0.561	23.36426
0.5615	19.43665
0.562	13.797
0.5625	16.61682
0.563	13.39417
0.5635	8.8623
0.564	6.94885
0.5645	8.15735
0.565	8.45947
0.5655	16.3147
0.566	24.77417
0.5665	30.81665
0.567	22.55859
0.5675	10.67505
0.568	3.42407
0.5685	4.73328
0.569	6.04248
0.5695	1.40991
0.57	-6.3446
0.5705	-7.85522
0.571	-12.5885
0.5715	-16.71753
0.572	-20.94727
0.5725	-16.81824
0.573	-15.91187
0.5735	-19.53735
0.574	-23.66638
0.5745	-14.09912
0.575	-2.81982
0.5755	29.20532
0.576	55.99365
0.5765	68.78357
0.577	72.71118
0.5775	63.54675
0.578	49.14551
0.5785	38.06763
0.579	37.06055
0.5795	40.08179
0.58	34.54285
0.5805	21.24939
0.581	17.92603
0.5815	4.93469
0.582	-18.12744
0.5825	-48.54126
0.583	-63.14392
0.5835	-69.68994
0.584	-61.93542
0.5845	-7.15027
0.585	33.9386
0.5855	51.15967
0.586	53.27454
0.5865	33.63647
0.587	9.16443
0.5875	-12.89062
0.588	-35.54993
0.5885	-49.64905
0.589	-55.69153
0.5895	-62.03613
0.59	-56.79932
0.5905	-39.77966
0.591	-23.8678
0.5915	-1.2085
0.592	12.68921
0.5925	16.01257
0.593	10.27222
0.5935	-1.00708
0.594	-1.51062
0.5945	-1.40991
0.595	10.97717
0.5955	27.09045
0.596	30.91736
0.5965	32.42798
0.597	35.65063
0.5975	44.51294
0.598	42.90161
0.5985	38.26904
0.599	44.81506
0.5995	35.44922
0.6	24.06921
0.6005	10.27222
0.601	-7.04956
0.6015	-10.17151
