Gianluca_La_Polta_Right_2.c3d  



Time(s):	B_L_bicipite(μV):
0.1435	9.86938
0.144	6.94885
0.1445	8.66089
0.145	9.56726
0.1455	11.48071
0.146	2.21558
0.1465	8.8623
0.147	9.06372
0.1475	2.81982
0.148	2.11487
0.1485	1.81274
0.149	4.12903
0.1495	-2.01416
0.15	0
0.1505	4.22974
0.151	3.62549
0.1515	3.8269
0.152	-1.51062
0.1525	4.63257
0.153	3.7262
0.1535	2.21558
0.154	2.5177
0.1545	8.15735
0.155	11.68213
0.1555	9.86938
0.156	5.63965
0.1565	3.8269
0.157	8.66089
0.1575	3.7262
0.158	6.3446
0.1585	8.96301
0.159	2.11487
0.1595	6.04248
0.16	3.32336
0.1605	4.12903
0.161	5.74036
0.1615	4.02832
0.162	5.74036
0.1625	3.32336
0.163	9.06372
0.1635	10.47363
0.164	8.15735
0.1645	6.2439
0.165	6.54602
0.1655	7.85522
0.166	8.66089
0.1665	8.8623
0.167	9.36584
0.1675	6.54602
0.168	9.26514
0.1685	9.86938
0.169	11.38
0.1695	8.66089
0.17	9.56726
0.1705	6.74744
0.171	8.05664
0.1715	8.56018
0.172	4.22974
0.1725	0.10071
0.173	-0.20142
0.1735	1.2085
0.174	1.10779
0.1745	2.5177
0.175	3.32336
0.1755	-0.10071
0.176	4.93469
0.1765	6.04248
0.177	13.39417
0.1775	15.40833
0.178	9.46655
0.1785	5.74036
0.179	7.04956
0.1795	0.50354
0.18	2.81982
0.1805	3.42407
0.181	9.06372
0.1815	9.06372
0.182	5.13611
0.1825	2.71912
0.183	5.23682
0.1835	2.71912
0.184	7.35168
0.1845	2.92053
0.185	2.41699
0.1855	4.53186
0.186	2.11487
0.1865	10.37292
0.187	0.40283
0.1875	6.64673
0.188	2.71912
0.1885	5.33752
0.189	1.61133
0.1895	-1.10779
0.19	1.10779
0.1905	1.10779
0.191	8.35876
0.1915	8.7616
0.192	8.45947
0.1925	7.85522
0.193	3.52478
0.1935	2.5177
0.194	3.42407
0.1945	5.53894
0.195	11.48071
0.1955	10.0708
0.196	2.11487
0.1965	0.90637
0.197	1.81274
0.1975	-0.40283
0.198	4.33044
0.1985	3.22266
0.199	-2.71912
0.1995	2.41699
0.2	4.93469
0.2005	6.2439
