Domenico_Di_Fonza_Left_1.c3d  



Time(s):	C_R_bicipite(μV):
0.1545	-4.43115
0.155	-5.33752
0.1555	-3.52478
0.156	-4.63257
0.1565	-0.20142
0.157	2.21558
0.1575	6.04248
0.158	17.01965
0.1585	13.59558
0.159	11.17859
0.1595	9.86938
0.16	14.60266
0.1605	17.42249
0.161	13.29346
0.1615	3.12195
0.162	-3.22266
0.1625	-7.85522
0.163	-8.8623
0.1635	-14.40125
0.164	-23.56567
0.1645	-32.12585
0.165	-35.34851
0.1655	-44.41223
0.166	-50.65613
0.1665	-47.13135
0.167	-57.9071
0.1675	-59.1156
0.168	-63.44604
0.1685	-68.98499
0.169	-66.16516
0.1695	-57.10144
0.17	-44.81506
0.1705	-28.09753
0.171	-6.3446
0.1715	2.61841
0.172	17.12036
0.1725	27.49329
0.173	37.86621
0.1735	46.72852
0.174	53.17383
0.1745	49.85046
0.175	52.46887
0.1755	51.66321
0.176	43.70728
0.1765	41.59241
0.177	33.23364
0.1775	27.79541
0.178	33.33435
0.1785	26.78833
0.179	26.18408
0.1795	32.52869
0.18	29.30603
0.1805	18.63098
0.181	0.50354
0.1815	-8.15735
0.182	-24.97559
0.1825	-42.49878
0.183	-51.26038
0.1835	-62.64038
0.184	-57.30286
0.1845	-65.46021
0.185	-55.18799
0.1855	-50.85754
0.186	-31.92444
0.1865	-4.63257
0.187	17.52319
0.1875	36.05347
0.188	53.67737
0.1885	69.48853
0.189	71.30127
0.1895	69.89136
0.19	65.46021
0.1905	66.06445
0.191	49.44763
0.1915	40.48462
0.192	23.36426
0.1925	17.72461
0.193	4.22974
0.1935	6.2439
0.194	-6.64673
0.1945	-15.00549
0.195	-25.68054
0.1955	-44.51294
0.196	-54.68445
0.1965	-61.83472
0.197	-64.45312
0.1975	-63.14392
0.198	-58.41064
0.1985	-51.46179
0.199	-47.23206
0.1995	-39.88037
0.2	-25.88196
0.2005	-21.14868
0.201	-5.23682
0.2015	16.61682
0.202	32.52869
0.2025	42.7002
0.203	53.57666
0.2035	65.3595
0.204	69.08569
0.2045	67.37366
0.205	68.78357
0.2055	61.53259
0.206	55.49011
0.2065	47.53418
0.207	43.40515
0.2075	31.32019
0.208	13.89771
0.2085	4.83398
0.209	2.11487
0.2095	7.85522
0.21	5.23682
0.2105	1.2085
0.211	-2.61841
0.2115	-13.49487
0.212	-17.32178
0.2125	-14.50195
0.213	-13.09204
0.2135	-15.1062
0.214	-9.46655
0.2145	-9.46655
0.215	-16.01257
0.2155	-15.91187
0.216	-17.01965
0.2165	-11.17859
0.217	-10.37292
0.2175	-7.45239
0.218	-9.36584
0.2185	-14.40125
0.219	-14.70337
0.2195	-19.03381
0.22	-12.28638
0.2205	-11.78284
0.221	-15.20691
0.2215	-16.61682
0.222	-11.78284
0.2225	-13.99841
0.223	-14.19983
0.2235	-8.8623
0.224	-9.26514
0.2245	-7.5531
0.225	-12.5885
0.2255	-9.76868
0.226	-6.14319
0.2265	-6.3446
0.227	-9.36584
0.2275	-12.48779
0.228	-14.80408
0.2285	-16.51611
0.229	-20.34302
0.2295	-24.87488
0.23	-35.85205
0.2305	-46.02356
0.231	-48.54126
0.2315	-42.09595
0.232	-42.7002
0.2325	-44.61365
0.233	-37.66479
0.2335	-28.19824
0.234	-15.30762
0.2345	-3.62549
0.235	0.10071
0.2355	13.89771
0.236	27.09045
0.2365	43.00232
0.237	48.74268
0.2375	56.19507
0.238	63.44604
0.2385	54.78516
0.239	42.8009
0.2395	33.73718
0.24	25.177
0.2405	7.25098
0.241	2.71912
0.2415	-2.21558
0.242	-1.00708
0.2425	-7.15027
0.243	-12.28638
0.2435	-16.71753
0.244	-29.60815
0.2445	-31.92444
0.245	-29.50745
0.2455	-25.78125
0.246	-16.01257
0.2465	-19.13452
0.247	-20.24231
0.2475	-16.61682
0.248	-13.19275
0.2485	-7.85522
0.249	-6.94885
0.2495	-10.27222
0.25	-15.40833
0.2505	-16.01257
0.251	-19.23523
0.2515	-18.53027
0.252	-13.59558
0.2525	-4.02832
0.253	4.02832
0.2535	7.04956
0.254	-12.5885
0.2545	-28.39966
0.255	-33.63647
0.2555	-27.09045
0.256	-22.25647
0.2565	-19.43665
0.257	-17.52319
0.2575	-10.17151
0.258	3.92761
0.2585	14.50195
0.259	27.29187
0.2595	46.72852
0.26	63.14392
0.2605	75.22888
0.261	77.84729
0.2615	75.32959
0.262	68.28003
0.2625	64.05029
0.263	54.48303
0.2635	48.23914
0.264	32.02515
0.2645	15.81116
0.265	11.38
0.2655	13.49487
0.266	9.86938
0.2665	-1.10779
0.267	-5.33752
0.2675	-14.70337
0.268	-25.37842
0.2685	-28.80249
0.269	-37.16125
0.2695	-43.00232
0.27	-42.7002
0.2705	-47.63489
0.271	-41.4917
0.2715	-43.60657
0.272	-44.11011
0.2725	-34.74426
0.273	-31.01807
0.2735	-17.92603
0.274	-8.7616
0.2745	-1.51062
