Gianluca_La_Polta_Right_1.c3d  



Time(s):	A_L_bicipite(μV):
0.144	-0.30212
0.1445	0.40283
0.145	5.74036
0.1455	5.63965
0.146	-1.71204
0.1465	6.64673
0.147	-2.81982
0.1475	11.07788
0.148	6.2439
0.1485	9.16443
0.149	6.74744
0.1495	6.74744
0.15	-0.30212
0.1505	1.71204
0.151	1.61133
0.1515	4.53186
0.152	4.73328
0.1525	-1.91345
0.153	8.45947
0.1535	4.22974
0.154	14.40125
0.1545	8.8623
0.155	8.8623
0.1555	12.78992
0.156	14.09912
0.1565	9.06372
0.157	12.78992
0.1575	13.59558
0.158	9.76868
0.1585	13.89771
0.159	14.50195
0.1595	9.56726
0.16	7.65381
0.1605	6.3446
0.161	8.15735
0.1615	3.22266
0.162	6.2439
0.1625	6.2439
0.163	10.87646
0.1635	7.25098
0.164	5.84106
0.1645	6.3446
0.165	1.61133
0.1655	4.83398
0.166	4.63257
0.1665	0
0.167	2.71912
0.1675	3.62549
0.168	9.06372
0.1685	2.21558
0.169	4.73328
0.1695	0.20142
0.17	3.92761
0.1705	-1.3092
0.171	3.62549
0.1715	14.30054
0.172	4.73328
0.1725	5.84106
0.173	7.25098
0.1735	3.8269
0.174	0.70496
0.1745	2.21558
0.175	1.71204
0.1755	1.00708
0.176	2.11487
0.1765	5.94177
0.177	8.8623
0.1775	3.02124
0.178	9.46655
0.1785	11.98425
0.179	10.67505
0.1795	14.50195
0.18	10.97717
0.1805	5.33752
0.181	7.25098
0.1815	8.05664
0.182	7.95593
0.1825	4.43115
0.183	3.7262
0.1835	11.98425
0.184	7.04956
0.1845	1.10779
0.185	4.53186
0.1855	0.20142
0.186	-2.61841
0.1865	-11.17859
0.187	-11.07788
0.1875	-12.18567
0.188	-10.37292
0.1885	-11.48071
0.189	-11.78284
0.1895	-5.94177
0.19	2.21558
0.1905	-5.63965
0.191	-0.40283
0.1915	5.0354
0.192	7.04956
0.1925	11.07788
0.193	13.69629
0.1935	18.53027
0.194	14.40125
0.1945	17.6239
0.195	17.52319
0.1955	16.71753
0.196	19.13452
0.1965	13.39417
0.197	9.16443
0.1975	8.05664
0.198	8.96301
0.1985	12.5885
0.199	11.38
0.1995	10.87646
0.2	5.43823
0.2005	3.42407
0.201	5.43823
0.2015	2.61841
0.202	3.02124
0.2025	3.62549
0.203	4.93469
0.2035	2.92053
0.204	3.02124
0.2045	2.31628
0.205	3.92761
0.2055	0
0.206	3.7262
0.2065	-1.91345
0.207	1.71204
0.2075	9.36584
0.208	4.02832
0.2085	2.5177
0.209	0.60425
0.2095	3.12195
0.21	2.5177
0.2105	7.85522
0.211	7.75452
0.2115	9.06372
0.212	6.84814
0.2125	4.53186
0.213	2.81982
0.2135	2.31628
0.214	9.56726
0.2145	6.3446
0.215	10.47363
0.2155	7.75452
0.216	3.02124
0.2165	5.23682
0.217	2.81982
0.2175	4.63257
0.218	0.40283
0.2185	3.52478
0.219	3.22266
0.2195	-5.63965
0.22	-3.62549
0.2205	0.70496
0.221	0.30212
0.2215	-5.94177
0.222	-3.7262
0.2225	-5.23682
0.223	-2.5177
0.2235	-0.10071
0.224	1.40991
0.2245	4.53186
0.225	8.8623
0.2255	4.12903
0.226	0
0.2265	5.63965
0.227	2.31628
0.2275	9.86938
0.228	6.54602
0.2285	8.25806
0.229	14.19983
0.2295	7.75452
0.23	6.54602
0.2305	4.33044
0.231	5.43823
0.2315	5.53894
0.232	3.92761
0.2325	1.00708
0.233	-1.51062
0.2335	2.81982
0.234	-4.22974
0.2345	2.5177
0.235	-1.00708
0.2355	2.31628
0.236	4.33044
0.2365	-0.90637
0.237	-0.30212
0.2375	2.31628
0.238	1.71204
0.2385	1.61133
0.239	1.61133
0.2395	-2.5177
0.24	5.13611
0.2405	3.52478
0.241	5.13611
0.2415	2.5177
0.242	2.81982
0.2425	10.0708
0.243	7.25098
0.2435	7.15027
0.244	5.94177
0.2445	9.56726
0.245	10.67505
0.2455	7.35168
0.246	9.66797
0.2465	6.54602
0.247	6.84814
0.2475	3.52478
0.248	5.23682
0.2485	-0.70496
0.249	2.61841
0.2495	2.81982
0.25	-0.80566
0.2505	5.84106
0.251	4.63257
0.2515	8.56018
0.252	5.23682
0.2525	4.93469
0.253	4.63257
0.2535	6.74744
0.254	9.56726
0.2545	-0.60425
0.255	2.61841
0.2555	0.60425
0.256	5.0354
0.2565	-3.42407
0.257	2.01416
0.2575	-1.3092
0.258	7.45239
0.2585	10.47363
0.259	8.96301
0.2595	10.47363
0.26	5.33752
0.2605	6.74744
0.261	11.17859
0.2615	6.64673
0.262	4.43115
0.2625	8.45947
0.263	8.96301
0.2635	4.73328
0.264	2.71912
0.2645	-1.00708
0.265	1.3092
0.2655	4.02832
0.266	11.2793
0.2665	4.33044
0.267	10.27222
0.2675	7.25098
0.268	12.28638
0.2685	8.96301
0.269	2.31628
0.2695	5.33752
0.27	5.63965
0.2705	1.51062
0.271	-1.2085
0.2715	0.30212
0.272	4.83398
0.2725	5.13611
0.273	8.8623
0.2735	2.71912
0.274	3.42407
0.2745	1.3092
0.275	6.2439
0.2755	9.36584
0.276	12.5885
0.2765	11.2793
0.277	8.45947
0.2775	4.33044
0.278	6.2439
0.2785	1.2085
0.279	5.43823
0.2795	9.76868
0.28	7.15027
0.2805	11.68213
0.281	8.66089
0.2815	8.66089
0.282	8.15735
0.2825	8.15735
0.283	4.53186
0.2835	6.14319
0.284	8.35876
0.2845	4.73328
0.285	9.06372
0.2855	4.22974
0.286	4.93469
0.2865	8.05664
0.287	4.63257
0.2875	8.35876
0.288	8.56018
0.2885	7.15027
0.289	2.31628
0.2895	8.05664
0.29	4.63257
0.2905	2.41699
0.291	7.95593
0.2915	6.3446
0.292	9.36584
0.2925	1.00708
0.293	3.12195
0.2935	1.00708
0.294	1.2085
0.2945	0.50354
0.295	3.12195
0.2955	5.23682
0.296	-3.42407
0.2965	7.15027
0.297	10.27222
0.2975	12.5885
0.298	8.05664
0.2985	8.8623
0.299	6.3446
0.2995	8.35876
0.3	9.66797
0.3005	2.21558
0.301	7.35168
0.3015	4.93469
0.302	5.84106
0.3025	7.45239
0.303	6.04248
0.3035	7.85522
0.304	11.68213
0.3045	10.0708
0.305	5.13611
0.3055	5.33752
0.306	3.02124
0.3065	1.10779
0.307	0.60425
0.3075	5.33752
0.308	7.15027
0.3085	6.04248
0.309	2.61841
0.3095	10.67505
0.31	9.56726
0.3105	4.43115
0.311	5.53894
0.3115	11.2793
0.312	6.74744
0.3125	6.94885
0.313	13.89771
0.3135	7.95593
0.314	14.30054
0.3145	10.17151
0.315	6.64673
0.3155	10.97717
0.316	12.28638
0.3165	10.87646
0.317	5.94177
0.3175	7.25098
0.318	8.96301
0.3185	8.05664
0.319	11.2793
0.3195	7.75452
0.32	12.5885
0.3205	8.66089
0.321	9.36584
0.3215	4.53186
0.322	6.74744
0.3225	5.63965
0.323	4.73328
0.3235	10.47363
0.324	10.77576
0.3245	8.8623
0.325	6.64673
0.3255	11.17859
0.326	5.43823
0.3265	11.78284
0.327	13.09204
0.3275	9.97009
0.328	9.36584
0.3285	7.65381
0.329	10.17151
0.3295	7.04956
0.33	9.56726
0.3305	15.1062
0.331	10.37292
0.3315	13.49487
0.332	9.56726
0.3325	13.39417
0.333	9.56726
0.3335	11.88354
0.334	12.68921
0.3345	10.87646
0.335	8.15735
0.3355	12.99133
0.336	12.28638
0.3365	8.45947
0.337	8.8623
0.3375	7.65381
0.338	12.18567
0.3385	12.18567
0.339	8.56018
0.3395	17.01965
0.34	16.01257
0.3405	14.09912
0.341	15.91187
0.3415	16.3147
0.342	8.96301
0.3425	14.90479
0.343	11.2793
0.3435	13.49487
0.344	12.28638
0.3445	14.19983
0.345	8.45947
0.3455	9.56726
0.346	16.41541
0.3465	6.14319
0.347	16.11328
0.3475	10.17151
0.348	19.33594
0.3485	12.28638
0.349	14.90479
