Domenico_Di_Fonza_Right_1.c3d  



Time(s):	B_R_bicipite(μV):
0.158	16.71753
0.1585	20.84656
0.159	27.79541
0.1595	38.87329
0.16	42.49878
0.1605	47.53418
0.161	47.53418
0.1615	47.53418
0.162	47.53418
0.1625	47.53418
0.163	47.53418
0.1635	47.53418
0.164	47.53418
0.1645	47.53418
0.165	47.53418
0.1655	47.53418
0.166	47.53418
0.1665	47.53418
0.167	47.53418
0.1675	47.53418
0.168	47.53418
0.1685	47.53418
0.169	47.53418
0.1695	47.53418
0.17	47.53418
0.1705	47.53418
0.171	-6.44531
0.1715	-4.63257
0.172	-8.66089
0.1725	-6.74744
0.173	-7.25098
0.1735	-9.26514
0.174	-4.33044
0.1745	-6.64673
0.175	-4.73328
0.1755	-1.61133
0.176	0.40283
0.1765	-0.40283
0.177	-3.42407
0.1775	-10.27222
0.178	-6.84814
0.1785	-8.66089
0.179	-8.7616
0.1795	-11.17859
0.18	-19.13452
0.1805	-22.05505
0.181	-17.92603
0.1815	-29.60815
0.182	-33.43506
0.1825	-32.32727
0.183	-36.15417
0.1835	-28.39966
0.184	-23.36426
0.1845	-24.06921
0.185	-12.99133
0.1855	-12.18567
0.186	-6.2439
0.1865	-4.12903
0.187	4.63257
0.1875	15.71045
0.188	21.55151
0.1885	27.79541
0.189	34.74426
0.1895	39.77966
0.19	45.62073
0.1905	43.60657
0.191	48.64197
0.1915	47.7356
0.192	46.82922
0.1925	44.91577
0.193	41.59241
0.1935	45.11719
0.194	35.54993
0.1945	34.84497
0.195	25.57983
0.1955	20.64514
0.196	16.51611
0.1965	11.98425
0.197	12.5885
0.1975	14.50195
0.198	4.83398
0.1985	-1.40991
0.199	2.61841
0.1995	-2.41699
0.2	-6.04248
0.2005	-1.40991
0.201	0.70496
0.2015	-3.52478
0.202	-5.33752
0.2025	-8.35876
0.203	-6.94885
0.2035	-6.54602
0.204	-4.02832
0.2045	-5.74036
0.205	-5.23682
0.2055	-9.16443
0.206	-8.05664
0.2065	-14.80408
0.207	-9.16443
0.2075	-10.0708
0.208	-10.97717
0.2085	-9.66797
0.209	-1.91345
0.2095	-1.81274
0.21	-11.98425
0.2105	-16.3147
0.211	-23.66638
0.2115	-29.10461
0.212	-33.53577
0.2125	-31.62231
0.213	-31.62231
0.2135	-27.29187
0.214	-20.64514
0.2145	-16.91895
0.215	-13.19275
0.2155	-8.96301
0.216	-3.7262
0.2165	-3.92761
0.217	4.63257
0.2175	11.68213
0.218	26.78833
0.2185	29.00391
0.219	41.08887
0.2195	42.09595
0.22	46.62781
0.2205	48.03772
0.221	52.771
0.2215	44.81506
0.222	40.2832
0.2225	32.12585
0.223	14.70337
0.2235	3.52478
0.224	-10.97717
0.2245	-31.62231
0.225	-42.09595
0.2255	-57.30286
0.226	-71.7041
0.2265	-83.48694
0.227	-94.76624
0.2275	-92.75208
0.228	-83.08411
0.2285	-68.17932
0.229	-49.64905
0.2295	-22.96143
0.23	-1.3092
0.2305	31.4209
0.231	48.33984
0.2315	76.7395
0.232	95.87402
0.2325	114.20288
0.233	129.40979
0.2335	130.21545
0.234	128.10059
0.2345	117.52625
0.235	98.99597
0.2355	74.42322
0.236	54.28162
0.2365	31.21948
0.237	20.94727
0.2375	9.56726
0.238	-7.35168
0.2385	-19.03381
0.239	-29.50745
0.2395	-26.3855
0.24	-23.96851
0.2405	-14.70337
0.241	-16.11328
0.2415	-11.48071
0.242	-9.86938
0.2425	-6.2439
0.243	-7.04956
0.2435	-5.53894
0.244	-2.41699
0.2445	-4.73328
0.245	-10.77576
0.2455	-11.2793
0.246	-15.71045
0.2465	-12.48779
0.247	-14.90479
0.2475	-26.08337
0.248	-21.75293
0.2485	-21.24939
0.249	-26.58691
0.2495	-28.50037
0.25	-27.19116
0.2505	-25.88196
0.251	-29.40674
0.2515	-28.50037
0.252	-30.11169
0.2525	-25.37842
0.253	-20.1416
0.2535	-10.17151
0.254	0.20142
0.2545	2.41699
0.255	11.98425
0.2555	19.63806
0.256	32.22656
0.2565	43.00232
0.257	45.11719
0.2575	51.5625
0.258	48.44055
0.2585	50.354
0.259	56.90002
0.2595	52.8717
0.26	44.81506
0.2605	41.39099
0.261	35.65063
0.2615	36.85913
0.262	23.26355
0.2625	26.08337
0.263	27.39258
0.2635	24.06921
0.264	22.05505
0.2645	22.6593
0.265	22.35718
0.2655	17.82532
0.266	13.09204
0.2665	13.59558
0.267	11.58142
0.2675	1.3092
0.268	-5.13611
0.2685	-15.50903
0.269	-15.20691
0.2695	-17.92603
0.27	-21.14868
0.2705	-17.12036
0.271	-11.38
0.2715	-12.89062
0.272	-9.76868
0.2725	-1.00708
0.273	10.0708
0.2735	18.22815
0.274	18.8324
0.2745	23.66638
0.275	27.59399
0.2755	34.64355
0.276	26.48621
0.2765	23.06213
0.277	15.1062
0.2775	5.43823
0.278	4.22974
0.2785	-0.20142
0.279	-9.86938
0.2795	-15.30762
0.28	-17.22107
0.2805	-13.99841
0.281	-8.25806
0.2815	-14.70337
0.282	-9.86938
0.2825	-4.83398
0.283	0.40283
0.2835	1.10779
0.284	3.42407
0.2845	4.22974
0.285	7.04956
0.2855	9.26514
0.286	9.66797
0.2865	15.60974
0.287	16.71753
0.2875	19.13452
0.288	17.22107
0.2885	21.55151
0.289	21.75293
0.2895	19.23523
0.29	17.32178
0.2905	16.21399
0.291	16.3147
0.2915	10.67505
0.292	5.94177
0.2925	9.26514
0.293	0.10071
0.2935	-0.90637
0.294	-8.96301
0.2945	-7.95593
0.295	-14.40125
0.2955	-10.77576
0.296	-5.74036
0.2965	-6.74744
0.297	1.61133
0.2975	0
0.298	1.81274
0.2985	5.13611
0.299	2.61841
0.2995	1.91345
0.3	-5.43823
0.3005	-17.82532
0.301	-18.02673
0.3015	-24.97559
0.302	-27.19116
0.3025	-25.78125
0.303	-20.44373
0.3035	-17.32178
0.304	-11.07788
0.3045	-6.74744
0.305	-1.61133
0.3055	-4.22974
0.306	-0.40283
0.3065	-1.00708
0.307	-2.61841
0.3075	3.52478
0.308	10.17151
0.3085	12.28638
0.309	18.12744
0.3095	14.60266
0.31	13.19275
0.3105	12.28638
0.311	11.98425
0.3115	13.19275
0.312	19.53735
0.3125	15.00549
0.313	18.12744
0.3135	19.73877
0.314	24.67346
0.3145	23.46497
0.315	21.85364
0.3155	24.27063
0.316	25.47913
0.3165	22.86072
0.317	25.27771
0.3175	22.96143
0.318	24.27063
0.3185	23.36426
0.319	20.84656
0.3195	21.45081
0.32	15.20691
0.3205	16.41541
0.321	16.91895
0.3215	12.89062
0.322	6.74744
0.3225	11.48071
0.323	8.25806
0.3235	6.2439
0.324	2.5177
0.3245	3.02124
0.325	-0.80566
0.3255	-3.22266
0.326	-3.92761
0.3265	-6.44531
0.327	-1.91345
0.3275	-8.8623
0.328	-16.3147
0.3285	-22.86072
0.329	-22.76001
0.3295	-30.41382
0.33	-30.31311
0.3305	-28.60107
0.331	-18.63098
0.3315	-7.95593
0.332	2.71912
0.3325	12.48779
0.333	24.37134
0.3335	30.51453
0.334	41.18958
0.3345	46.5271
0.335	49.54834
0.3355	51.05896
0.336	44.61365
0.3365	44.41223
0.337	45.3186
0.3375	41.99524
0.338	29.30603
0.3385	23.66638
0.339	17.42249
0.3395	5.74036
0.34	-6.04248
0.3405	-12.08496
0.341	-20.34302
0.3415	-19.94019
0.342	-16.51611
0.3425	-6.64673
0.343	-3.02124
0.3435	2.31628
0.344	10.17151
0.3445	17.42249
0.345	23.26355
0.3455	24.16992
0.346	23.36426
0.3465	30.11169
0.347	27.39258
0.3475	23.96851
0.348	13.29346
0.3485	4.02832
0.349	-7.75452
0.3495	-19.53735
0.35	-23.26355
0.3505	-20.74585
0.351	-16.3147
0.3515	-16.81824
0.352	-14.80408
0.3525	-4.22974
0.353	1.61133
0.3535	10.97717
0.354	34.14001
0.3545	44.61365
0.355	56.90002
0.3555	60.4248
0.356	64.55383
0.3565	60.52551
0.357	49.85046
0.3575	43.30444
0.358	33.33435
0.3585	18.22815
0.359	18.12744
0.3595	2.31628
0.36	-0.50354
0.3605	-13.49487
0.361	-23.06213
0.3615	-32.93152
0.362	-40.38391
0.3625	-30.91736
0.363	-27.29187
0.3635	-20.74585
0.364	-21.24939
0.3645	-20.04089
0.365	-11.58142
0.3655	-2.31628
0.366	5.53894
0.3665	9.36584
0.367	12.68921
0.3675	15.81116
0.368	16.01257
0.3685	25.78125
0.369	30.11169
0.3695	38.67188
0.37	37.86621
0.3705	36.05347
0.371	38.67188
0.3715	31.52161
0.372	36.35559
0.3725	31.92444
0.373	28.29895
0.3735	28.80249
0.374	18.53027
0.3745	4.43115
0.375	-6.94885
0.3755	-15.71045
0.376	-20.54443
0.3765	-22.05505
0.377	-21.95435
0.3775	-18.32886
0.378	-15.00549
0.3785	-9.97009
0.379	-10.87646
0.3795	-10.47363
0.38	-11.68213
0.3805	-2.61841
0.381	1.3092
0.3815	1.91345
0.382	4.22974
0.3825	4.73328
0.383	7.04956
0.3835	8.66089
0.384	8.56018
0.3845	14.19983
0.385	14.50195
0.3855	17.92603
0.386	16.51611
0.3865	16.01257
0.387	13.19275
0.3875	19.23523
0.388	8.15735
0.3885	6.64673
0.389	0.10071
0.3895	-1.61133
0.39	-5.84106
0.3905	-16.11328
0.391	-22.15576
0.3915	-29.50745
0.392	-25.98267
0.3925	-25.98267
0.393	-16.21399
0.3935	-13.39417
0.394	-3.92761
0.3945	2.61841
0.395	7.85522
0.3955	11.98425
0.396	17.92603
0.3965	23.46497
0.397	25.68054
0.3975	30.01099
0.398	26.68762
0.3985	25.177
0.399	23.06213
0.3995	16.21399
0.4	13.797
0.4005	11.88354
0.401	5.84106
0.4015	6.3446
0.402	4.33044
0.4025	2.41699
0.403	-3.02124
0.4035	-4.12903
0.404	-9.56726
0.4045	-10.47363
0.405	-13.09204
0.4055	-19.13452
0.406	-20.94727
0.4065	-20.34302
0.407	-28.09753
0.4075	-26.28479
0.408	-23.46497
0.4085	-17.92603
0.409	-19.33594
0.4095	-12.68921
0.41	-4.22974
0.4105	-1.3092
0.411	-1.51062
0.4115	-4.33044
0.412	-1.00708
0.4125	-1.61133
0.413	-7.45239
0.4135	-18.93311
0.414	-28.19824
0.4145	-29.70886
0.415	-37.26196
0.4155	-38.974
0.416	-35.34851
0.4165	-29.91028
0.417	-13.89771
0.4175	11.58142
0.418	28.39966
0.4185	51.26038
0.419	68.78357
0.4195	77.04163
0.42	85.60181
0.4205	91.54358
0.421	92.55066
0.4215	93.65845
0.422	91.14075
0.4225	82.9834
0.423	70.3949
0.4235	50.55542
0.424	32.83081
0.4245	15.91187
0.425	-0.20142
0.4255	-11.2793
0.426	-13.797
0.4265	-14.40125
0.427	-17.12036
0.4275	-18.42957
0.428	-18.22815
0.4285	-18.93311
0.429	-16.41541
0.4295	-11.98425
0.43	-9.76868
0.4305	0.20142
0.431	-0.50354
0.4315	-10.37292
0.432	-16.21399
0.4325	-23.26355
0.433	-28.19824
0.4335	-37.66479
0.434	-43.90869
0.4345	-47.8363
0.435	-51.46179
0.4355	-42.49878
0.436	-26.18408
0.4365	-11.48071
0.437	-1.71204
0.4375	6.74744
0.438	17.52319
0.4385	36.75842
0.439	45.82214
0.4395	59.92126
0.44	69.38782
0.4405	75.83313
0.441	75.83313
0.4415	75.83313
0.442	75.83313
0.4425	75.83313
0.443	75.83313
0.4435	75.83313
0.444	75.83313
0.4445	75.83313
0.445	75.83313
0.4455	75.83313
0.446	75.83313
0.4465	75.83313
0.447	75.83313
0.4475	75.83313
0.448	75.83313
0.4485	75.83313
0.449	75.83313
0.4495	75.83313
0.45	75.83313
0.4505	75.83313
0.451	13.59558
0.4515	8.56018
0.452	11.68213
0.4525	10.37292
0.453	13.59558
0.4535	11.98425
0.454	2.21558
0.4545	4.53186
0.455	1.00708
0.4555	0.10071
0.456	-1.61133
0.4565	-1.61133
0.457	1.2085
0.4575	5.94177
0.458	1.00708
0.4585	-3.52478
0.459	1.3092
0.4595	-3.02124
