Alex_Venditti_Right_2.c3d  



Time(s):	B_L_bicipite(μV):
0.1425	18.22815
0.143	10.67505
0.1435	11.68213
0.144	13.89771
0.1445	5.84106
0.145	7.45239
0.1455	1.2085
0.146	4.33044
0.1465	5.0354
0.147	0.60425
0.1475	3.7262
0.148	-1.81274
0.1485	-4.63257
0.149	-6.2439
0.1495	-2.11487
0.15	3.52478
0.1505	-0.90637
0.151	2.5177
0.1515	4.73328
0.152	6.3446
0.1525	7.04956
0.153	7.35168
0.1535	7.25098
0.154	3.52478
0.1545	1.51062
0.155	4.83398
0.1555	-0.70496
0.156	-2.21558
0.1565	13.09204
0.157	14.70337
0.1575	7.95593
0.158	7.25098
0.1585	5.0354
0.159	-5.84106
0.1595	-7.95593
0.16	-7.25098
0.1605	-9.36584
0.161	-17.52319
0.1615	-20.24231
0.162	-16.01257
0.1625	-15.71045
0.163	-16.91895
0.1635	-16.21399
0.164	-15.40833
0.1645	-17.12036
0.165	-16.71753
0.1655	-18.32886
0.166	-23.76709
0.1665	-16.3147
0.167	-19.94019
0.1675	-10.67505
0.168	-8.25806
0.1685	-6.3446
0.169	-6.84814
0.1695	5.13611
0.17	2.41699
0.1705	12.28638
0.171	21.14868
0.1715	30.31311
0.172	25.07629
0.1725	24.47205
0.173	23.06213
0.1735	21.65222
0.174	18.53027
0.1745	22.15576
0.175	15.20691
0.1755	11.07788
0.176	13.29346
0.1765	13.59558
0.177	17.6239
0.1775	19.53735
0.178	22.6593
0.1785	18.22815
0.179	16.21399
0.1795	17.6239
0.18	13.99841
0.1805	12.78992
0.181	17.12036
0.1815	11.38
0.182	0.30212
0.1825	-3.62549
0.183	-4.43115
0.1835	2.31628
0.184	3.22266
0.1845	4.12903
0.185	8.66089
0.1855	18.53027
0.186	26.78833
0.1865	29.91028
0.187	28.29895
0.1875	29.50745
0.188	22.35718
0.1885	24.57275
0.189	24.87488
0.1895	20.74585
0.19	16.11328
0.1905	13.89771
0.191	6.54602
0.1915	8.56018
0.192	12.5885
0.1925	8.15735
0.193	4.83398
0.1935	2.41699
0.194	5.13611
0.1945	3.92761
0.195	-0.60425
0.1955	3.62549
0.196	5.63965
0.1965	2.41699
0.197	-1.10779
0.1975	0.60425
0.198	-2.92053
0.1985	-6.44531
0.199	0.40283
0.1995	-0.70496
0.2	3.92761
0.2005	3.52478
0.201	10.0708
0.2015	3.7262
0.202	6.74744
0.2025	8.96301
0.203	5.84106
0.2035	5.63965
0.204	5.0354
0.2045	8.05664
0.205	7.45239
0.2055	5.23682
0.206	3.92761
0.2065	5.53894
0.207	9.66797
0.2075	4.53186
0.208	6.74744
0.2085	6.64673
0.209	5.43823
0.2095	3.22266
0.21	2.11487
0.2105	3.02124
0.211	5.53894
0.2115	7.65381
0.212	8.25806
0.2125	1.40991
0.213	-1.61133
0.2135	3.92761
0.214	-3.22266
0.2145	-11.88354
0.215	-14.40125
0.2155	-9.46655
0.216	-10.77576
0.2165	-11.07788
0.217	-7.85522
0.2175	-8.8623
0.218	-3.62549
0.2185	-2.5177
0.219	2.01416
0.2195	2.5177
0.22	9.86938
0.2205	9.36584
0.221	10.97717
0.2215	9.86938
0.222	15.60974
0.2225	12.68921
0.223	10.0708
0.2235	16.3147
0.224	20.34302
0.2245	18.8324
0.225	22.05505
0.2255	21.3501
0.226	23.46497
0.2265	23.56567
0.227	21.85364
0.2275	21.45081
0.228	20.24231
0.2285	14.90479
0.229	9.46655
0.2295	3.8269
0.23	8.96301
0.2305	2.31628
0.231	0.30212
0.2315	-10.47363
0.232	-12.89062
0.2325	-8.96301
0.233	-17.12036
0.2335	-12.28638
0.234	-3.12195
0.2345	-5.53894
0.235	-3.92761
0.2355	-3.12195
0.236	1.40991
0.2365	3.62549
0.237	2.01416
0.2375	1.91345
0.238	2.21558
0.2385	4.33044
0.239	5.94177
0.2395	6.04248
0.24	9.66797
0.2405	11.38
0.241	14.70337
0.2415	13.797
0.242	5.0354
0.2425	5.23682
0.243	12.99133
0.2435	12.5885
0.244	14.50195
0.2445	12.68921
0.245	15.20691
0.2455	13.29346
0.246	14.70337
0.2465	22.96143
0.247	18.63098
0.2475	16.41541
0.248	18.8324
0.2485	18.53027
0.249	12.99133
0.2495	10.17151
0.25	1.71204
0.2505	3.02124
0.251	4.33044
0.2515	2.21558
0.252	6.14319
0.2525	5.63965
0.253	12.48779
0.2535	8.45947
0.254	8.66089
0.2545	5.84106
0.255	5.33752
0.2555	1.91345
0.256	2.41699
0.2565	8.05664
0.257	-0.20142
0.2575	2.21558
0.258	6.44531
0.2585	-0.50354
0.259	2.61841
0.2595	2.5177
0.26	7.04956
0.2605	4.33044
0.261	0.30212
0.2615	-0.90637
0.262	-0.10071
0.2625	-1.51062
0.263	-4.93469
0.2635	-1.00708
0.264	-12.89062
0.2645	-20.44373
0.265	-19.23523
0.2655	-19.63806
0.266	-19.73877
0.2665	-14.70337
0.267	-10.0708
0.2675	-10.0708
0.268	4.43115
0.2685	13.19275
0.269	17.92603
0.2695	20.84656
0.27	18.32886
0.2705	20.24231
0.271	20.34302
0.2715	18.93311
0.272	14.80408
0.2725	10.57434
0.273	14.70337
0.2735	10.37292
0.274	16.71753
0.2745	16.3147
0.275	17.82532
0.2755	5.0354
0.276	7.15027
0.2765	3.32336
0.277	2.61841
0.2775	-5.33752
0.278	0.50354
0.2785	0.60425
0.279	7.25098
0.2795	7.35168
0.28	6.3446
0.2805	9.56726
0.281	9.66797
0.2815	11.2793
0.282	11.07788
0.2825	9.86938
0.283	3.32336
0.2835	7.75452
0.284	5.53894
0.2845	-1.3092
0.285	3.52478
0.2855	1.10779
0.286	-4.63257
0.2865	-3.7262
0.287	0.30212
0.2875	18.53027
0.288	28.70178
0.2885	18.42957
0.289	13.29346
0.2895	5.33752
0.29	-4.93469
0.2905	-20.94727
0.291	-24.37134
0.2915	-29.10461
0.292	-32.42798
0.2925	-26.88904
0.293	-27.39258
0.2935	-19.83948
0.294	-15.40833
0.2945	-18.02673
0.295	-6.2439
0.2955	2.21558
0.296	-1.3092
0.2965	8.96301
0.297	12.08496
0.2975	12.78992
0.298	12.18567
0.2985	12.08496
0.299	13.797
0.2995	16.81824
0.3	14.09912
0.3005	23.46497
0.301	28.50037
0.3015	30.11169
0.302	32.42798
0.3025	32.62939
0.303	33.43506
0.3035	31.21948
0.304	31.92444
0.3045	28.29895
0.305	30.2124
0.3055	20.64514
0.306	18.22815
0.3065	15.00549
0.307	12.89062
0.3075	11.38
0.308	11.38
0.3085	13.59558
0.309	1.51062
0.3095	-1.3092
0.31	-7.04956
0.3105	-10.27222
0.311	-5.84106
0.3115	-11.58142
0.312	-13.59558
0.3125	-17.12036
0.313	-21.65222
0.3135	-17.01965
0.314	-14.80408
0.3145	-14.09912
0.315	-8.05664
0.3155	-3.52478
0.316	-3.92761
0.3165	-0.80566
0.317	-1.61133
0.3175	8.25806
0.318	5.74036
0.3185	3.7262
0.319	1.91345
0.3195	5.63965
0.32	3.7262
0.3205	3.52478
0.321	4.93469
0.3215	-0.50354
0.322	5.43823
0.3225	5.74036
0.323	6.74744
0.3235	7.75452
0.324	9.46655
0.3245	11.48071
0.325	10.37292
0.3255	3.7262
0.326	-3.22266
0.3265	3.52478
0.327	-1.10779
0.3275	-0.40283
0.328	10.87646
0.3285	12.08496
0.329	11.38
0.3295	18.12744
0.33	17.72461
0.3305	18.42957
0.331	18.22815
0.3315	13.797
0.332	16.51611
0.3325	13.69629
0.333	10.37292
0.3335	13.89771
0.334	14.90479
0.3345	12.78992
0.335	5.0354
0.3355	4.22974
0.336	0.60425
0.3365	-1.51062
0.337	1.3092
0.3375	0.90637
0.338	0.90637
0.3385	4.43115
0.339	9.86938
0.3395	2.92053
0.34	7.15027
0.3405	11.2793
0.341	5.43823
0.3415	5.23682
0.342	5.74036
0.3425	8.15735
0.343	6.04248
0.3435	8.66089
0.344	6.74744
0.3445	6.2439
0.345	6.84814
0.3455	8.56018
0.346	7.75452
0.3465	12.08496
0.347	12.28638
0.3475	9.26514
0.348	11.48071
0.3485	9.46655
0.349	7.65381
0.3495	9.06372
0.35	2.5177
0.3505	-2.01416
0.351	-4.53186
0.3515	-11.17859
0.352	-8.45947
0.3525	-5.0354
0.353	2.01416
0.3535	-2.92053
0.354	1.00708
0.3545	0.50354
0.355	9.26514
0.3555	12.08496
0.356	11.88354
0.3565	9.97009
0.357	12.48779
0.3575	4.02832
0.358	1.61133
0.3585	2.81982
0.359	3.92761
0.3595	0.20142
0.36	3.62549
0.3605	7.15027
0.361	4.12903
0.3615	9.26514
0.362	5.84106
0.3625	12.38708
0.363	10.27222
0.3635	6.84814
0.364	7.15027
0.3645	7.85522
0.365	10.47363
0.3655	6.44531
0.366	13.69629
0.3665	15.91187
0.367	11.78284
0.3675	12.48779
0.368	14.70337
0.3685	26.08337
0.369	25.07629
0.3695	21.85364
0.37	19.73877
0.3705	12.18567
0.371	13.39417
0.3715	10.77576
0.372	9.66797
0.3725	10.87646
0.373	6.2439
0.3735	5.74036
0.374	4.12903
0.3745	4.02832
0.375	6.94885
0.3755	6.94885
0.376	-0.70496
0.3765	4.12903
0.377	1.3092
0.3775	1.51062
0.378	-2.92053
0.3785	-2.31628
0.379	0.90637
0.3795	-2.5177
0.38	0.10071
0.3805	2.11487
0.381	0.10071
0.3815	2.31628
0.382	3.52478
0.3825	5.33752
0.383	1.00708
0.3835	5.53894
0.384	3.12195
0.3845	6.44531
0.385	11.48071
0.3855	4.12903
0.386	4.22974
0.3865	7.35168
0.387	6.3446
0.3875	3.92761
0.388	-3.8269
0.3885	2.41699
0.389	-4.93469
0.3895	-0.90637
0.39	-4.43115
0.3905	-5.33752
0.391	2.21558
0.3915	-3.42407
0.392	1.81274
0.3925	6.14319
0.393	7.65381
0.3935	2.21558
0.394	4.93469
0.3945	-2.01416
0.395	-7.65381
0.3955	-12.28638
0.396	-18.63098
0.3965	-10.87646
0.397	-10.17151
0.3975	-13.49487
0.398	-4.83398
0.3985	2.01416
0.399	5.23682
0.3995	13.29346
0.4	20.04089
0.4005	21.3501
0.401	24.27063
0.4015	23.36426
0.402	18.73169
0.4025	18.32886
0.403	18.63098
0.4035	19.33594
0.404	12.78992
0.4045	14.19983
0.405	9.66797
0.4055	10.87646
0.406	9.36584
0.4065	7.04956
0.407	9.06372
0.4075	4.22974
0.408	12.68921
0.4085	12.48779
0.409	15.20691
0.4095	16.91895
0.41	16.01257
0.4105	14.09912
0.411	15.71045
0.4115	13.09204
0.412	14.09912
0.4125	12.08496
0.413	6.64673
0.4135	4.02832
0.414	5.43823
0.4145	1.81274
0.415	4.73328
0.4155	-1.40991
0.416	-3.8269
0.4165	0.30212
0.417	-3.52478
0.4175	-1.61133
0.418	-0.50354
0.4185	6.44531
0.419	9.06372
0.4195	7.5531
0.42	9.36584
0.4205	8.66089
0.421	15.40833
0.4215	9.97009
0.422	7.5531
0.4225	12.68921
0.423	15.60974
0.4235	11.38
0.424	8.7616
0.4245	13.797
0.425	13.19275
0.4255	11.88354
0.426	8.66089
0.4265	10.97717
0.427	5.94177
0.4275	5.33752
0.428	6.84814
0.4285	1.51062
0.429	2.61841
0.4295	1.00708
0.43	4.02832
0.4305	6.74744
0.431	9.56726
0.4315	4.43115
0.432	1.00708
0.4325	-5.74036
0.433	-5.13611
0.4335	-7.5531
0.434	-5.43823
0.4345	-6.74744
0.435	-5.94177
0.4355	-1.00708
0.436	4.43115
0.4365	1.10779
0.437	1.00708
0.4375	5.53894
0.438	4.43115
0.4385	2.81982
0.439	-3.12195
0.4395	-0.40283
0.44	-7.95593
0.4405	-3.42407
0.441	-10.97717
0.4415	-12.38708
0.442	-17.82532
0.4425	-5.43823
0.443	-5.84106
0.4435	-4.33044
0.444	-5.13611
0.4445	-2.11487
0.445	-1.3092
0.4455	-0.20142
0.446	3.92761
0.4465	12.89062
0.447	15.50903
0.4475	12.99133
0.448	12.18567
0.4485	15.60974
0.449	11.88354
0.4495	12.99133
0.45	8.05664
0.4505	8.15735
0.451	7.04956
0.4515	8.35876
0.452	4.43115
0.4525	0
0.453	-6.64673
0.4535	-4.83398
0.454	-2.21558
0.4545	1.81274
0.455	5.84106
0.4555	5.63965
0.456	6.94885
0.4565	7.04956
0.457	9.16443
0.4575	7.85522
0.458	8.96301
0.4585	9.46655
0.459	4.83398
0.4595	7.95593
0.46	3.32336
0.4605	4.53186
0.461	7.15027
0.4615	3.12195
0.462	3.02124
0.4625	-0.90637
0.463	-4.22974
0.4635	-8.66089
0.464	-1.3092
0.4645	0.90637
0.465	-7.5531
0.4655	-9.97009
0.466	-14.60266
0.4665	-19.43665
0.467	-19.03381
0.4675	-18.02673
0.468	-16.41541
0.4685	-13.59558
0.469	-9.97009
0.4695	-2.81982
0.47	6.84814
0.4705	13.39417
0.471	16.61682
0.4715	21.24939
0.472	23.46497
0.4725	23.36426
0.473	19.94019
0.4735	26.08337
0.474	25.27771
0.4745	27.29187
0.475	24.37134
0.4755	23.26355
0.476	20.64514
0.4765	16.61682
0.477	17.12036
0.4775	12.28638
0.478	15.40833
0.4785	23.16284
0.479	21.85364
0.4795	19.23523
0.48	15.60974
0.4805	12.18567
0.481	11.17859
0.4815	11.78284
0.482	7.95593
0.4825	2.21558
0.483	2.61841
0.4835	4.63257
0.484	10.17151
0.4845	9.36584
0.485	5.53894
0.4855	6.2439
0.486	4.83398
0.4865	1.91345
0.487	9.76868
0.4875	5.43823
0.488	7.25098
0.4885	12.68921
0.489	8.45947
0.4895	6.44531
0.49	10.27222
0.4905	6.94885
0.491	10.97717
0.4915	7.75452
0.492	8.56018
0.4925	8.45947
0.493	10.47363
0.4935	7.15027
0.494	7.15027
0.4945	9.06372
0.495	9.26514
0.4955	8.05664
0.496	8.8623
0.4965	13.89771
0.497	6.54602
0.4975	6.14319
0.498	9.36584
0.4985	4.73328
0.499	12.38708
0.4995	7.65381
0.5	10.87646
0.5005	6.3446
0.501	9.36584
0.5015	4.63257
0.502	-2.61841
0.5025	-1.00708
0.503	-1.71204
0.5035	-3.92761
0.504	-6.04248
0.5045	-15.00549
0.505	-16.61682
0.5055	-10.97717
0.506	-5.74036
0.5065	-13.49487
0.507	-7.75452
0.5075	-11.2793
0.508	-5.0354
0.5085	-11.38
0.509	-8.25806
0.5095	-9.76868
0.51	-6.14319
0.5105	-1.61133
0.511	-0.50354
0.5115	-7.45239
0.512	-9.46655
0.5125	-9.76868
0.513	-5.13611
0.5135	0.20142
0.514	3.7262
0.5145	7.45239
0.515	16.61682
0.5155	23.26355
0.516	22.6593
0.5165	17.82532
0.517	13.797
0.5175	16.91895
0.518	15.30762
0.5185	10.97717
0.519	11.78284
0.5195	6.14319
0.52	3.32336
0.5205	5.43823
