Marco_Margarita_Left_1.c3d  



Time(s):	A_R_bicipite(μV):
0.165	-0.70496
0.1655	1.2085
0.166	-0.10071
0.1665	7.5531
0.167	4.63257
0.1675	4.83398
0.168	4.22974
0.1685	2.11487
0.169	-3.42407
0.1695	0
0.17	-1.3092
0.1705	-2.11487
0.171	4.02832
0.1715	4.43115
0.172	6.14319
0.1725	8.56018
0.173	8.25806
0.1735	6.2439
0.174	2.71912
0.1745	6.94885
0.175	4.93469
0.1755	9.26514
0.176	10.47363
0.1765	7.35168
0.177	3.92761
0.1775	3.52478
0.178	2.11487
0.1785	6.3446
0.179	1.40991
0.1795	5.0354
0.18	4.22974
0.1805	7.35168
0.181	6.84814
0.1815	5.43823
0.182	7.65381
0.1825	9.06372
0.183	6.94885
0.1835	4.33044
0.184	0.10071
0.1845	1.3092
0.185	-1.2085
0.1855	3.42407
0.186	-0.50354
0.1865	-1.10779
0.187	1.40991
0.1875	-4.22974
0.188	-0.70496
0.1885	1.3092
0.189	5.23682
0.1895	10.67505
0.19	6.94885
0.1905	8.25806
0.191	7.95593
0.1915	3.52478
0.192	6.74744
0.1925	7.65381
0.193	9.06372
0.1935	4.93469
0.194	9.97009
0.1945	13.49487
0.195	8.8623
0.1955	4.22974
0.196	2.81982
0.1965	4.83398
0.197	2.5177
0.1975	3.7262
0.198	6.3446
0.1985	3.8269
0.199	5.84106
0.1995	5.84106
0.2	2.92053
0.2005	4.93469
0.201	-0.30212
0.2015	-2.31628
0.202	-2.01416
0.2025	-1.71204
0.203	0.10071
0.2035	0.70496
0.204	5.43823
0.2045	5.63965
0.205	6.44531
0.2055	8.05664
0.206	9.76868
0.2065	13.89771
0.207	13.49487
0.2075	12.38708
0.208	11.48071
0.2085	15.71045
0.209	20.54443
0.2095	13.99841
0.21	16.71753
0.2105	22.05505
0.211	16.11328
0.2115	11.17859
0.212	10.37292
0.2125	10.57434
0.213	12.78992
0.2135	8.8623
0.214	3.02124
0.2145	7.25098
0.215	7.04956
0.2155	4.73328
0.216	5.63965
0.2165	9.16443
0.217	8.66089
0.2175	13.09204
0.218	8.7616
0.2185	5.84106
0.219	2.41699
0.2195	1.40991
0.22	-3.42407
0.2205	0.90637
0.221	6.14319
0.2215	0.70496
0.222	0.40283
0.2225	2.31628
0.223	-0.60425
0.2235	1.51062
0.224	2.01416
0.2245	-3.52478
0.225	-6.64673
0.2255	-3.02124
0.226	-3.92761
0.2265	-7.25098
0.227	2.11487
0.2275	0.50354
0.228	8.66089
0.2285	10.87646
0.229	2.01416
