Franco_Uliana_Left_2.c3d  



Time(s):	A_R_bicipite(μV):
0.1585	8.7616
0.159	7.65381
0.1595	8.8623
0.16	12.48779
0.1605	17.6239
0.161	19.73877
0.1615	15.50903
0.162	14.40125
0.1625	12.08496
0.163	2.81982
0.1635	-5.53894
0.164	-5.94177
0.1645	-10.67505
0.165	-11.78284
0.1655	-12.38708
0.166	-11.48071
0.1665	-11.88354
0.167	-6.84814
0.1675	-13.29346
0.168	-4.22974
0.1685	0.60425
0.169	-4.73328
0.1695	-7.04956
0.17	-5.0354
0.1705	2.81982
0.171	4.43115
0.1715	4.93469
0.172	6.2439
0.1725	9.36584
0.173	8.7616
0.1735	6.14319
0.174	5.0354
0.1745	2.21558
0.175	1.51062
0.1755	-1.40991
0.176	-2.31628
0.1765	5.13611
0.177	17.12036
0.1775	29.40674
0.178	22.05505
0.1785	19.63806
0.179	17.01965
0.1795	17.22107
0.18	6.44531
0.1805	1.51062
0.181	1.40991
0.1815	-2.11487
0.182	-6.44531
0.1825	-6.44531
0.183	-5.0354
0.1835	-10.47363
0.184	-9.46655
0.1845	-3.52478
0.185	-1.00708
0.1855	-0.90637
0.186	-1.51062
0.1865	-3.62549
0.187	1.91345
0.1875	5.94177
0.188	4.93469
0.1885	11.2793
0.189	7.95593
0.1895	7.75452
0.19	9.86938
0.1905	12.78992
0.191	19.33594
0.1915	9.56726
0.192	9.06372
0.1925	10.87646
0.193	11.98425
0.1935	6.84814
0.194	14.40125
0.1945	3.52478
0.195	4.22974
0.1955	7.25098
0.196	4.02832
0.1965	-1.00708
0.197	5.43823
0.1975	6.54602
0.198	6.84814
0.1985	2.31628
0.199	5.43823
0.1995	5.43823
0.2	9.86938
0.2005	8.96301
0.201	7.95593
0.2015	7.5531
0.202	8.05664
0.2025	6.54602
0.203	6.04248
0.2035	9.36584
0.204	12.68921
0.2045	13.99841
0.205	5.13611
0.2055	9.86938
0.206	3.8269
0.2065	5.63965
0.207	13.19275
0.2075	11.2793
0.208	14.19983
0.2085	6.84814
0.209	11.07788
0.2095	8.96301
0.21	9.26514
0.2105	5.33752
0.211	0.10071
0.2115	2.41699
0.212	2.81982
0.2125	6.2439
0.213	4.22974
0.2135	5.33752
0.214	4.43115
0.2145	2.21558
0.215	5.63965
0.2155	3.62549
0.216	8.05664
0.2165	6.44531
0.217	5.53894
0.2175	4.33044
0.218	8.66089
0.2185	13.09204
0.219	9.97009
0.2195	10.17151
0.22	6.04248
0.2205	0.30212
0.221	3.32336
0.2215	5.53894
0.222	7.45239
0.2225	11.88354
0.223	10.17151
0.2235	8.56018
0.224	2.11487
0.2245	2.71912
0.225	-5.0354
0.2255	-6.44531
0.226	-5.84106
0.2265	-1.51062
0.227	-1.61133
0.2275	-1.51062
0.228	-4.02832
0.2285	-1.61133
0.229	-7.65381
0.2295	-8.05664
0.23	-2.92053
0.2305	-0.90637
0.231	1.40991
0.2315	0.80566
0.232	0.90637
0.2325	-1.00708
0.233	0.40283
0.2335	2.81982
0.234	1.3092
0.2345	1.81274
0.235	2.5177
0.2355	4.73328
0.236	12.18567
0.2365	13.39417
0.237	19.13452
0.2375	20.94727
0.238	25.98267
0.2385	26.3855
0.239	30.31311
0.2395	25.27771
0.24	16.21399
0.2405	12.99133
0.241	8.05664
0.2415	5.53894
0.242	7.75452
0.2425	8.25806
0.243	10.37292
0.2435	9.86938
0.244	13.59558
0.2445	18.32886
0.245	13.69629
0.2455	4.22974
0.246	11.68213
0.2465	12.18567
0.247	7.04956
0.2475	10.37292
0.248	-1.40991
0.2485	0
0.249	2.5177
0.2495	3.22266
0.25	-2.41699
0.2505	-1.3092
0.251	3.22266
0.2515	1.81274
0.252	-0.60425
0.2525	-0.10071
0.253	-10.87646
0.2535	-3.7262
0.254	-7.35168
0.2545	-3.92761
0.255	2.61841
0.2555	-6.44531
0.256	-4.53186
0.2565	-0.90637
0.257	3.8269
0.2575	1.10779
0.258	-3.52478
0.2585	1.00708
0.259	-2.5177
0.2595	1.3092
0.26	-1.3092
0.2605	-3.92761
0.261	-1.51062
0.2615	-4.83398
0.262	-0.60425
0.2625	-0.60425
0.263	4.22974
0.2635	5.63965
0.264	8.35876
0.2645	8.66089
0.265	1.61133
0.2655	2.71912
0.266	-1.10779
0.2665	-9.76868
0.267	-1.00708
0.2675	-2.81982
0.268	0.40283
0.2685	-1.3092
0.269	1.91345
0.2695	4.93469
0.27	4.12903
0.2705	2.01416
0.271	-3.02124
0.2715	-5.53894
0.272	-4.33044
0.2725	0
0.273	-5.63965
0.2735	1.51062
0.274	3.32336
0.2745	1.71204
0.275	0.60425
0.2755	-3.12195
0.276	4.63257
0.2765	11.38
0.277	17.01965
0.2775	24.67346
0.278	29.80957
0.2785	32.12585
0.279	31.72302
0.2795	32.42798
0.28	40.88745
0.2805	42.8009
0.281	43.90869
0.2815	36.75842
0.282	31.4209
0.2825	23.8678
0.283	15.30762
0.2835	6.04248
0.284	-8.35876
0.2845	-18.32886
0.285	-25.47913
0.2855	-30.31311
0.286	-26.28479
0.2865	-35.95276
0.287	-34.14001
0.2875	-28.29895
0.288	-27.39258
0.2885	-24.57275
0.289	-16.41541
0.2895	-17.82532
0.29	-8.25806
0.2905	-4.93469
0.291	-1.61133
0.2915	2.21558
0.292	6.84814
0.2925	8.8623
0.293	13.29346
0.2935	11.38
0.294	9.97009
0.2945	11.38
0.295	10.67505
0.2955	12.08496
0.296	7.65381
0.2965	7.35168
0.297	5.0354
0.2975	4.12903
0.298	6.3446
0.2985	0.30212
0.299	4.93469
0.2995	10.67505
0.3	7.04956
0.3005	6.14319
0.301	7.95593
0.3015	4.63257
0.302	5.74036
0.3025	7.25098
0.303	0.30212
0.3035	0.60425
0.304	-5.63965
0.3045	-3.7262
0.305	-0.60425
0.3055	-0.60425
0.306	4.12903
0.3065	3.22266
0.307	-0.20142
0.3075	4.83398
0.308	-0.20142
0.3085	10.17151
0.309	2.21558
0.3095	5.84106
0.31	3.8269
0.3105	7.45239
0.311	8.96301
0.3115	2.01416
0.312	4.43115
