Gabriele_Carluccio_Right_2.c3d  



Time(s):	C_R_bicipite(μV):
0.161	1.10779
0.1615	4.83398
0.162	-3.22266
0.1625	-3.22266
0.163	-3.62549
0.1635	-4.73328
0.164	9.86938
0.1645	4.73328
0.165	5.84106
0.1655	4.73328
0.166	6.74744
0.1665	4.93469
0.167	12.89062
0.1675	5.94177
0.168	8.25806
0.1685	10.17151
0.169	12.18567
0.1695	16.81824
0.17	13.797
0.1705	12.28638
0.171	11.68213
0.1715	10.47363
0.172	10.27222
0.1725	10.77576
0.173	2.5177
0.1735	12.08496
0.174	13.69629
0.1745	10.97717
0.175	9.46655
0.1755	6.74744
0.176	9.36584
0.1765	-0.70496
0.177	6.54602
0.1775	-1.51062
0.178	-0.60425
0.1785	1.81274
0.179	0.50354
0.1795	-1.00708
0.18	2.11487
0.1805	1.71204
0.181	-3.42407
0.1815	-5.0354
0.182	0.30212
0.1825	3.32336
0.183	0.70496
0.1835	2.71912
0.184	3.32336
0.1845	0.50354
0.185	-6.14319
0.1855	-2.21558
0.186	-7.35168
0.1865	-0.40283
0.187	-2.01416
0.1875	0.90637
0.188	-1.3092
0.1885	-7.45239
0.189	-2.71912
0.1895	-4.02832
0.19	-5.33752
0.1905	1.71204
0.191	2.41699
0.1915	-0.30212
0.192	-1.40991
0.1925	-1.3092
0.193	4.73328
0.1935	10.17151
0.194	4.93469
0.1945	5.84106
0.195	6.74744
0.1955	-1.81274
0.196	-2.5177
0.1965	-3.62549
0.197	-1.91345
0.1975	-6.84814
0.198	-4.83398
0.1985	-2.41699
0.199	-1.61133
0.1995	3.8269
0.2	4.33044
0.2005	2.31628
0.201	9.06372
0.2015	9.97009
0.202	11.07788
0.2025	13.09204
0.203	11.2793
0.2035	12.38708
0.204	17.52319
0.2045	20.94727
0.205	21.55151
0.2055	25.07629
0.206	20.1416
0.2065	27.49329
0.207	35.14709
0.2075	39.07471
0.208	36.55701
0.2085	43.50586
0.209	49.44763
0.2095	55.3894
0.21	55.79224
0.2105	59.31702
0.211	63.24463
0.2115	58.10852
0.212	52.16675
0.2125	37.36267
0.213	29.40674
0.2135	16.21399
0.214	-3.62549
0.2145	-19.83948
0.215	-29.40674
0.2155	-46.5271
0.216	-66.16516
0.2165	-73.81897
0.217	-87.21313
0.2175	-91.14075
0.218	-95.06836
0.2185	-95.67261
0.219	-94.46411
0.2195	-84.69543
0.22	-76.43738
0.2205	-64.151
0.221	-43.10303
0.2215	-35.44922
0.222	-27.79541
0.2225	-23.26355
0.223	-15.91187
0.2235	-13.59558
0.224	-0.80566
0.2245	0.60425
0.225	6.54602
0.2255	6.04248
0.226	8.05664
0.2265	3.02124
0.227	1.3092
0.2275	3.7262
0.228	2.92053
0.2285	7.35168
0.229	10.47363
0.2295	-1.40991
0.23	8.25806
0.2305	11.88354
0.231	6.94885
0.2315	4.43115
0.232	3.7262
0.2325	7.5531
0.233	0.30212
0.2335	3.92761
0.234	-0.80566
0.2345	-1.71204
0.235	0.40283
0.2355	-0.40283
0.236	8.8623
0.2365	2.5177
0.237	1.71204
0.2375	3.52478
0.238	2.11487
0.2385	2.21558
0.239	2.31628
0.2395	5.74036
0.24	1.91345
0.2405	7.04956
0.241	7.75452
0.2415	10.27222
0.242	9.16443
0.2425	6.2439
0.243	10.77576
0.2435	3.42407
0.244	6.84814
0.2445	6.44531
0.245	3.7262
0.2455	5.43823
0.246	2.31628
0.2465	6.94885
0.247	7.25098
0.2475	5.43823
0.248	2.71912
0.2485	2.81982
0.249	-0.50354
0.2495	1.61133
0.25	-0.40283
0.2505	1.51062
0.251	-1.10779
0.2515	-4.73328
0.252	-4.33044
0.2525	3.8269
0.253	3.32336
0.2535	2.61841
0.254	-0.80566
0.2545	0.90637
0.255	6.74744
0.2555	8.56018
0.256	-1.00708
0.2565	2.01416
0.257	4.33044
0.2575	-1.81274
0.258	-2.31628
0.2585	0.80566
0.259	-1.51062
0.2595	3.42407
0.26	6.04248
0.2605	1.51062
0.261	5.23682
0.2615	-0.50354
0.262	-2.41699
0.2625	-0.80566
0.263	1.2085
0.2635	1.10779
0.264	0.30212
0.2645	-1.10779
0.265	-3.62549
0.2655	-1.61133
0.266	-2.5177
0.2665	2.01416
0.267	4.43115
0.2675	2.31628
0.268	3.62549
0.2685	2.61841
0.269	3.02124
0.2695	0.80566
0.27	3.62549
0.2705	-0.20142
0.271	4.53186
0.2715	4.53186
0.272	12.28638
0.2725	7.04956
0.273	2.41699
0.2735	0.20142
0.274	0.40283
0.2745	-1.00708
0.275	-1.91345
0.2755	-1.3092
0.276	-3.32336
0.2765	-0.20142
0.277	1.40991
0.2775	4.43115
0.278	0.20142
0.2785	1.3092
0.279	-4.02832
0.2795	-2.5177
0.28	-7.85522
0.2805	-6.14319
0.281	-5.23682
0.2815	-3.12195
0.282	-4.73328
0.2825	-0.40283
0.283	0.20142
0.2835	0.20142
0.284	2.41699
0.2845	3.32336
0.285	0.50354
0.2855	-5.94177
0.286	-3.22266
0.2865	-2.41699
0.287	-6.74744
0.2875	-7.15027
0.288	-3.62549
0.2885	-0.90637
0.289	0.90637
0.2895	3.52478
0.29	3.22266
0.2905	2.31628
0.291	1.10779
0.2915	-3.52478
0.292	-2.92053
0.2925	-8.15735
0.293	-2.92053
0.2935	-2.81982
0.294	-2.31628
0.2945	-3.92761
0.295	-3.32336
0.2955	-2.92053
0.296	1.10779
0.2965	0.40283
0.297	-3.62549
0.2975	2.01416
0.298	-5.63965
0.2985	-3.42407
0.299	-3.32336
0.2995	-2.11487
0.3	0.80566
0.3005	-0.30212
0.301	-1.40991
0.3015	-1.00708
0.302	-3.42407
0.3025	-6.44531
0.303	-5.33752
0.3035	-11.07788
0.304	-4.73328
0.3045	-5.23682
0.305	-7.5531
0.3055	-4.43115
0.306	-2.5177
0.3065	-3.8269
0.307	-1.61133
0.3075	-7.15027
0.308	2.21558
0.3085	4.43115
0.309	-1.71204
0.3095	1.81274
0.31	-6.84814
0.3105	-3.52478
0.311	-2.92053
0.3115	-5.13611
0.312	-5.23682
0.3125	-7.35168
0.313	-8.7616
0.3135	-11.98425
0.314	-8.35876
0.3145	-6.2439
0.315	-0.10071
0.3155	2.5177
0.316	-5.53894
0.3165	-8.8623
0.317	-4.73328
0.3175	-7.5531
0.318	-6.44531
0.3185	-5.43823
0.319	-7.35168
0.3195	-5.94177
0.32	-9.56726
0.3205	-6.2439
0.321	-11.07788
0.3215	-6.54602
0.322	3.12195
0.3225	0.50354
0.323	-1.00708
0.3235	1.71204
0.324	1.40991
0.3245	-0.70496
0.325	1.91345
0.3255	0.90637
0.326	0.10071
0.3265	-4.93469
0.327	-3.8269
0.3275	-5.43823
0.328	-8.25806
0.3285	-9.46655
0.329	-3.92761
0.3295	-1.3092
0.33	-6.3446
0.3305	-3.12195
0.331	-5.84106
0.3315	0.10071
0.332	2.31628
0.3325	4.63257
0.333	6.14319
0.3335	4.12903
0.334	1.51062
0.3345	3.02124
0.335	-0.20142
0.3355	4.73328
0.336	5.23682
0.3365	1.3092
0.337	2.81982
0.3375	-0.40283
0.338	-3.62549
0.3385	-3.22266
0.339	-1.81274
0.3395	-2.81982
0.34	-4.93469
0.3405	-9.36584
0.341	-1.61133
0.3415	-5.23682
0.342	-3.92761
0.3425	-3.7262
0.343	0.20142
0.3435	-0.90637
0.344	2.71912
0.3445	5.13611
0.345	2.21558
0.3455	6.44531
0.346	10.37292
0.3465	12.5885
0.347	4.43115
0.3475	0.60425
0.348	1.40991
0.3485	8.25806
0.349	4.63257
0.3495	3.8269
0.35	10.77576
0.3505	1.3092
0.351	-2.01416
0.3515	1.51062
0.352	0.80566
0.3525	-0.60425
0.353	-0.30212
0.3535	-4.43115
0.354	-4.53186
0.3545	-7.04956
0.355	-4.93469
0.3555	-9.97009
0.356	-3.7262
0.3565	-4.12903
0.357	-5.53894
0.3575	-1.00708
0.358	-0.50354
0.3585	-2.92053
0.359	0.70496
0.3595	-2.71912
0.36	-0.20142
0.3605	1.3092
0.361	5.13611
0.3615	2.61841
