Niccolo_Morelli_Right_1.c3d  



Time(s):	Emg_4(μV):
0.158	39.77966
0.1585	31.72302
0.159	32.22656
0.1595	24.47205
0.16	23.66638
0.1605	14.30054
0.161	12.5885
0.1615	4.83398
0.162	4.43115
0.1625	3.32336
0.163	9.66797
0.1635	17.52319
0.164	22.76001
0.1645	21.55151
0.165	27.19116
0.1655	25.177
0.166	29.70886
0.1665	33.43506
0.167	27.29187
0.1675	32.02515
0.168	29.10461
0.1685	26.68762
0.169	20.74585
0.1695	21.24939
0.17	12.89062
0.1705	11.38
0.171	9.06372
0.1715	5.53894
0.172	-3.92761
0.1725	-14.09912
0.173	-28.39966
0.1735	-29.20532
0.174	-35.54993
0.1745	-33.73718
0.175	-27.59399
0.1755	-27.6947
0.176	-19.63806
0.1765	-16.11328
0.177	-2.5177
0.1775	-0.50354
0.178	-2.61841
0.1785	1.40991
0.179	4.43115
0.1795	6.84814
0.18	4.22974
0.1805	4.02832
0.181	6.44531
0.1815	-1.3092
0.182	-1.40991
0.1825	-3.62549
0.183	-8.56018
0.1835	-5.53894
0.184	-4.63257
0.1845	-4.73328
0.185	-2.21558
0.1855	6.14319
0.186	10.87646
0.1865	15.30762
0.187	22.35718
0.1875	30.91736
0.188	31.62231
0.1885	40.08179
0.189	41.29028
0.1895	41.08887
0.19	41.08887
0.1905	38.67188
0.191	30.2124
0.1915	24.37134
0.192	25.177
0.1925	26.28479
0.193	25.07629
0.1935	17.6239
0.194	15.50903
0.1945	10.67505
0.195	10.27222
0.1955	9.46655
0.196	16.61682
0.1965	23.06213
0.197	30.01099
0.1975	29.80957
0.198	37.16125
0.1985	32.62939
0.199	31.72302
0.1995	30.2124
0.2	33.43506
0.2005	30.2124
0.201	24.57275
0.2015	23.8678
0.202	26.3855
0.2025	19.94019
0.203	16.41541
0.2035	9.36584
0.204	4.22974
0.2045	0
0.205	-9.76868
0.2055	-11.48071
0.206	-12.99133
0.2065	-11.88354
0.207	-7.04956
0.2075	-1.40991
0.208	-7.5531
0.2085	-6.44531
0.209	-2.01416
0.2095	0.30212
0.21	6.74744
0.2105	9.36584
0.211	6.84814
0.2115	2.11487
0.212	-5.53894
0.2125	-19.43665
0.213	-37.26196
0.2135	-65.3595
0.214	-87.71667
0.2145	-101.71509
0.215	-103.42712
0.2155	-103.02429
0.216	-92.95349
0.2165	-82.37915
0.217	-67.37366
0.2175	-57.10144
0.218	-33.63647
0.2185	-15.71045
0.219	5.23682
0.2195	29.80957
0.22	48.23914
0.2205	70.09277
0.221	88.22021
0.2215	91.8457
0.222	105.94482
0.2225	108.56323
0.223	118.33191
0.2235	110.17456
0.224	108.96606
0.2245	108.1604
0.225	105.54199
0.2255	97.18323
0.226	90.93933
0.2265	84.39331
0.227	77.948
0.2275	69.48853
0.228	60.82764
0.2285	51.66321
0.229	43.70728
0.2295	42.59949
0.23	30.31311
0.2305	18.63098
0.231	10.87646
0.2315	4.12903
0.232	1.71204
0.2325	2.11487
0.233	-4.73328
0.2335	-3.52478
0.234	-2.31628
0.2345	-6.74744
0.235	-17.92603
0.2355	-19.33594
0.236	-19.03381
0.2365	-23.46497
0.237	-22.55859
0.2375	-29.00391
0.238	-26.78833
0.2385	-23.26355
0.239	-28.80249
0.2395	-25.78125
0.24	-31.62231
0.2405	-33.63647
0.241	-31.11877
0.2415	-26.48621
0.242	-20.64514
0.2425	-19.33594
0.243	-17.52319
0.2435	-19.23523
0.244	-9.36584
0.2445	-6.04248
0.245	-8.35876
0.2455	-2.5177
0.246	-3.52478
0.2465	1.3092
0.247	6.3446
0.2475	12.48779
0.248	8.66089
0.2485	4.12903
0.249	6.04248
0.2495	1.40991
0.25	3.22266
0.2505	-4.93469
0.251	-4.53186
0.2515	-6.84814
0.252	-10.47363
0.2525	-13.797
0.253	-9.26514
0.2535	-7.04956
0.254	-6.3446
0.2545	1.91345
0.255	-0.20142
0.2555	3.92761
0.256	5.13611
0.2565	2.01416
0.257	-6.64673
0.2575	-15.1062
0.258	-9.56726
0.2585	-9.86938
0.259	-16.51611
0.2595	-17.92603
0.26	-14.90479
0.2605	-10.57434
0.261	-1.10779
0.2615	-3.8269
0.262	-3.32336
0.2625	7.45239
0.263	15.00549
0.2635	20.84656
0.264	20.64514
0.2645	25.68054
0.265	34.34143
0.2655	35.85205
0.266	38.974
0.2665	40.08179
0.267	42.39807
0.2675	35.75134
0.268	36.25488
0.2685	25.68054
0.269	18.73169
0.2695	11.48071
0.27	8.8623
0.2705	12.5885
0.271	6.04248
0.2715	3.62549
0.272	10.97717
0.2725	9.97009
0.273	14.50195
0.2735	13.39417
0.274	9.56726
0.2745	10.37292
0.275	2.31628
0.2755	0.40283
0.276	1.3092
0.2765	1.2085
0.277	3.8269
0.2775	1.3092
0.278	-3.7262
0.2785	-9.16443
0.279	-10.27222
0.2795	-13.797
0.28	-18.12744
0.2805	-14.60266
0.281	-8.7616
0.2815	-5.0354
0.282	-4.12903
0.2825	4.53186
0.283	7.45239
0.2835	8.8623
0.284	8.35876
0.2845	12.78992
0.285	10.87646
0.2855	13.99841
0.286	5.0354
0.2865	7.04956
0.287	5.0354
0.2875	12.68921
0.288	10.17151
0.2885	7.25098
0.289	0.90637
0.2895	-6.84814
0.29	2.5177
0.2905	12.68921
0.291	14.30054
0.2915	15.71045
0.292	21.85364
0.2925	24.77417
0.293	31.21948
0.2935	33.9386
0.294	37.16125
0.2945	44.41223
0.295	49.95117
0.2955	50.45471
0.296	47.53418
0.2965	44.81506
0.297	47.63489
0.2975	45.11719
0.298	43.70728
0.2985	35.2478
0.299	39.37683
0.2995	36.15417
0.3	31.11877
