Leonardo_Garofalo_Right_3.c3d  



Time(s):	A_R_bicipite(μV):
0	-12.78992
0.0005	11.17859
0.001	27.79541
0.0015	39.98108
0.002	52.26746
0.0025	55.2887
0.003	48.03772
0.0035	39.67896
0.004	35.75134
0.0045	30.11169
0.005	26.98975
0.0055	27.39258
0.006	32.02515
0.0065	37.46338
0.007	39.17542
0.0075	28.50037
0.008	18.63098
0.0085	21.04797
0.009	19.94019
0.0095	12.78992
0.01	3.12195
0.0105	1.10779
0.011	0.90637
0.0115	0.90637
0.012	0.20142
0.0125	7.04956
0.013	16.51611
0.0135	12.78992
0.014	9.16443
0.0145	13.797
0.015	20.24231
0.0155	27.19116
0.016	23.36426
0.0165	24.57275
0.017	16.71753
0.0175	11.48071
0.018	1.40991
0.0185	-4.12903
0.019	-13.99841
0.0195	-18.12744
0.02	-21.95435
0.0205	-20.44373
0.021	-11.88354
0.0215	6.2439
0.022	3.52478
0.0225	10.57434
0.023	11.68213
0.0235	4.02832
0.024	8.15735
0.0245	9.97009
0.025	11.58142
0.0255	15.40833
0.026	23.8678
0.0265	25.177
0.027	31.62231
0.0275	28.9032
0.028	32.52869
0.0285	27.79541
0.029	23.56567
0.0295	16.41541
0.03	2.41699
0.0305	0
0.031	-10.37292
0.0315	-12.28638
0.032	-16.81824
0.0325	-11.98425
0.033	-8.15735
0.0335	-8.96301
0.034	-11.88354
0.0345	-9.97009
0.035	-5.33752
0.0355	0.30212
0.036	1.81274
0.0365	4.83398
0.037	6.04248
0.0375	6.84814
0.038	1.00708
0.0385	5.43823
0.039	7.04956
0.0395	8.66089
0.04	6.44531
0.0405	14.40125
0.041	16.91895
0.0415	23.06213
0.042	23.96851
0.0425	26.3855
0.043	23.56567
0.0435	20.34302
0.044	13.29346
0.0445	10.37292
0.045	13.39417
0.0455	7.45239
0.046	1.71204
0.0465	-11.07788
0.047	-22.15576
0.0475	-18.73169
0.048	-20.1416
0.0485	-15.1062
0.049	-4.93469
0.0495	-1.71204
0.05	-4.22974
0.0505	-8.35876
0.051	-9.46655
0.0515	-10.17151
0.052	-3.32336
0.0525	5.84106
0.053	5.0354
0.0535	11.88354
0.054	12.5885
0.0545	7.85522
0.055	8.05664
0.0555	2.31628
0.056	5.23682
0.0565	3.7262
0.057	6.74744
0.0575	14.60266
0.058	23.26355
0.0585	26.88904
0.059	25.27771
0.0595	26.78833
0.06	28.60107
0.0605	26.48621
0.061	31.4209
0.0615	38.67188
0.062	34.34143
0.0625	24.37134
0.063	17.82532
0.0635	20.64514
0.064	25.57983
0.0645	16.21399
0.065	11.78284
0.0655	11.78284
0.066	3.92761
0.0665	-10.47363
0.067	-21.14868
0.0675	-26.48621
0.068	-16.41541
0.0685	-7.5531
0.069	-1.61133
0.0695	4.43115
0.07	9.86938
0.0705	10.57434
0.071	5.94177
0.0715	6.44531
0.072	8.05664
0.0725	13.69629
0.073	9.26514
0.0735	13.09204
0.074	2.31628
0.0745	3.62549
0.075	4.93469
0.0755	-1.61133
0.076	-1.10779
0.0765	-0.40283
0.077	5.74036
0.0775	2.81982
0.078	6.2439
0.0785	9.36584
0.079	3.8269
0.0795	0.40283
0.08	3.42407
0.0805	2.71912
0.081	7.35168
0.0815	8.56018
0.082	2.92053
0.0825	-1.61133
0.083	7.5531
0.0835	3.7262
0.084	4.93469
0.0845	-1.00708
0.085	-3.12195
0.0855	-2.92053
0.086	-1.81274
0.0865	-0.60425
0.087	-1.51062
0.0875	-2.11487
0.088	-3.8269
0.0885	-8.7616
0.089	-4.73328
0.0895	-7.35168
0.09	1.10779
0.0905	-0.90637
0.091	2.5177
0.0915	0.10071
0.092	1.51062
0.0925	-2.61841
0.093	-3.62549
0.0935	-3.22266
0.094	-2.5177
0.0945	-5.43823
0.095	2.61841
0.0955	-4.22974
0.096	2.5177
0.0965	2.11487
0.097	0.60425
0.0975	2.41699
0.098	0.20142
0.0985	3.02124
0.099	-9.56726
0.0995	-1.10779
0.1	-1.61133
0.1005	-3.92761
0.101	-5.0354
0.1015	-7.75452
0.102	-7.35168
0.1025	-9.46655
0.103	-10.27222
0.1035	-7.75452
0.104	-5.84106
0.1045	-5.23682
0.105	-8.8623
0.1055	-6.84814
0.106	-2.81982
0.1065	-4.83398
0.107	-1.00708
0.1075	-4.12903
0.108	-2.92053
0.1085	-1.3092
0.109	5.13611
0.1095	4.73328
0.11	12.28638
0.1105	7.95593
0.111	8.15735
0.1115	2.5177
0.112	0.70496
0.1125	5.84106
0.113	3.92761
0.1135	2.21558
0.114	-1.91345
0.1145	-6.74744
0.115	-4.73328
0.1155	-0.20142
0.116	2.21558
0.1165	-0.70496
0.117	4.43115
0.1175	1.10779
0.118	-2.31628
0.1185	-4.83398
0.119	-2.21558
0.1195	-1.71204
0.12	-2.01416
0.1205	-3.12195
0.121	1.40991
0.1215	2.41699
0.122	2.5177
0.1225	4.02832
0.123	3.52478
0.1235	3.42407
0.124	4.22974
0.1245	9.56726
0.125	8.7616
0.1255	4.83398
0.126	1.3092
0.1265	3.02124
0.127	6.94885
0.1275	3.92761
0.128	2.31628
0.1285	6.84814
0.129	-0.60425
0.1295	-1.61133
0.13	-3.42407
0.1305	-1.91345
0.131	2.92053
0.1315	1.3092
0.132	0.80566
0.1325	-0.80566
0.133	3.7262
0.1335	6.54602
0.134	7.95593
0.1345	8.25806
0.135	20.04089
0.1355	21.14868
0.136	20.74585
0.1365	22.35718
0.137	22.05505
0.1375	20.04089
0.138	15.50903
0.1385	17.01965
0.139	22.55859
0.1395	26.58691
0.14	24.16992
0.1405	17.6239
0.141	23.8678
0.1415	22.6593
0.142	14.90479
0.1425	13.69629
0.143	12.48779
0.1435	15.71045
0.144	19.23523
0.1445	22.15576
0.145	20.24231
0.1455	13.59558
0.146	16.21399
0.1465	13.69629
0.147	7.45239
0.1475	14.09912
0.148	8.66089
0.1485	8.7616
0.149	6.14319
0.1495	4.83398
0.15	4.12903
0.1505	8.45947
0.151	7.25098
0.1515	14.50195
0.152	23.76709
0.1525	18.93311
0.153	14.90479
0.1535	17.42249
0.154	16.21399
0.1545	17.01965
0.155	17.12036
0.1555	17.82532
0.156	11.07788
0.1565	19.43665
0.157	17.01965
0.1575	15.60974
0.158	20.24231
0.1585	17.92603
0.159	17.12036
0.1595	19.23523
0.16	17.6239
0.1605	18.73169
0.161	17.32178
0.1615	18.8324
0.162	20.04089
0.1625	19.33594
0.163	14.19983
0.1635	13.29346
0.164	12.5885
0.1645	10.87646
0.165	5.94177
0.1655	6.14319
0.166	4.33044
0.1665	2.41699
0.167	2.92053
0.1675	-2.11487
0.168	1.3092
0.1685	5.63965
0.169	-3.42407
