Leonardo_Garofalo_Right_1.c3d  



Time(s):	A_R_bicipite(μV):
0	5.63965
0.0005	9.36584
0.001	12.08496
0.0015	17.92603
0.002	19.63806
0.0025	17.32178
0.003	19.23523
0.0035	10.17151
0.004	7.04956
0.0045	8.45947
0.005	9.97009
0.0055	7.35168
0.006	7.45239
0.0065	6.2439
0.007	5.94177
0.0075	8.05664
0.008	13.49487
0.0085	14.60266
0.009	12.28638
0.0095	4.93469
0.01	2.81982
0.0105	-2.5177
0.011	-10.0708
0.0115	-14.50195
0.012	-23.46497
0.0125	-30.2124
0.013	-38.26904
0.0135	-31.92444
0.014	-33.63647
0.0145	-23.46497
0.015	-20.1416
0.0155	-12.68921
0.016	-9.16443
0.0165	-0.80566
0.017	-1.00708
0.0175	-2.31628
0.018	7.5531
0.0185	8.25806
0.019	8.8623
0.0195	15.40833
0.02	16.81824
0.0205	12.68921
0.021	12.28638
0.0215	8.96301
0.022	11.38
0.0225	7.25098
0.023	5.13611
0.0235	8.45947
0.024	8.96301
0.0245	12.38708
0.025	18.12744
0.0255	20.64514
0.026	22.25647
0.0265	25.57983
0.027	25.27771
0.0275	20.74585
0.028	24.16992
0.0285	18.73169
0.029	11.17859
0.0295	14.80408
0.03	16.51611
0.0305	10.57434
0.031	12.48779
0.0315	13.69629
0.032	12.68921
0.0325	-0.60425
0.033	-1.61133
0.0335	-1.00708
0.034	3.92761
0.0345	5.63965
0.035	5.84106
0.0355	6.94885
0.036	4.63257
0.0365	6.54602
0.037	-0.80566
0.0375	-1.81274
0.038	-0.60425
0.0385	0.90637
0.039	-1.40991
0.0395	-12.78992
0.04	-14.09912
0.0405	-12.08496
0.041	-9.56726
0.0415	-10.47363
0.042	0.50354
0.0425	-5.13611
0.043	0.10071
0.0435	-5.0354
0.044	1.91345
0.0445	6.2439
0.045	4.73328
0.0455	2.31628
0.046	-2.41699
0.0465	9.06372
0.047	20.54443
0.0475	21.24939
0.048	22.25647
0.0485	14.70337
0.049	22.05505
0.0495	12.18567
0.05	5.0354
0.0505	-1.00708
0.051	-9.56726
0.0515	-9.56726
0.052	-12.48779
0.0525	-11.48071
0.053	-8.56018
0.0535	-6.84814
0.054	-8.15735
0.0545	-3.52478
0.055	-5.53894
0.0555	-3.22266
0.056	-2.92053
0.0565	-2.01416
0.057	4.02832
0.0575	9.76868
0.058	13.89771
0.0585	12.28638
0.059	14.19983
0.0595	9.46655
0.06	7.04956
0.0605	2.41699
0.061	9.66797
0.0615	10.37292
0.062	13.29346
0.0625	14.19983
0.063	15.40833
0.0635	18.63098
0.064	21.14868
0.0645	17.22107
0.065	15.91187
0.0655	15.50903
0.066	14.70337
0.0665	18.12744
0.067	10.17151
0.0675	12.08496
0.068	7.45239
0.0685	7.45239
0.069	3.32336
0.0695	-3.32336
0.07	-3.52478
0.0705	-2.01416
0.071	1.71204
0.0715	-2.11487
0.072	1.81274
0.0725	-4.43115
0.073	-7.75452
0.0735	-6.44531
0.074	4.22974
0.0745	9.06372
0.075	5.63965
0.0755	1.61133
0.076	0.40283
0.0765	3.32336
0.077	9.56726
0.0775	4.83398
0.078	4.93469
0.0785	2.5177
0.079	6.54602
0.0795	2.81982
0.08	8.7616
0.0805	6.04248
0.081	3.62549
0.0815	5.84106
0.082	4.53186
0.0825	5.84106
0.083	9.56726
0.0835	4.83398
0.084	11.17859
0.0845	5.13611
0.085	7.95593
0.0855	8.66089
0.086	6.14319
0.0865	14.09912
0.087	13.89771
0.0875	9.66797
0.088	9.97009
0.0885	10.37292
0.089	8.8623
0.0895	10.37292
0.09	16.11328
0.0905	13.797
0.091	11.38
0.0915	9.76868
0.092	9.56726
0.0925	6.3446
0.093	-1.10779
0.0935	6.54602
0.094	8.8623
0.0945	5.23682
0.095	2.11487
0.0955	9.76868
0.096	5.13611
0.0965	11.17859
0.097	8.45947
0.0975	14.60266
0.098	7.5531
0.0985	7.85522
0.099	4.22974
0.0995	4.43115
0.1	10.67505
0.1005	13.19275
0.101	8.66089
0.1015	13.29346
0.102	7.5531
0.1025	12.08496
0.103	9.26514
0.1035	10.17151
0.104	7.65381
0.1045	11.17859
0.105	13.89771
0.1055	16.91895
0.106	19.13452
0.1065	18.73169
0.107	14.90479
0.1075	12.18567
0.108	15.60974
0.1085	22.25647
0.109	24.87488
0.1095	27.79541
0.11	27.19116
0.1105	26.98975
0.111	25.37842
0.1115	24.37134
0.112	16.81824
0.1125	17.92603
0.113	20.34302
0.1135	10.77576
0.114	8.35876
0.1145	-5.94177
0.115	-1.00708
0.1155	-0.70496
0.116	3.32336
0.1165	-5.0354
0.117	-9.36584
0.1175	-13.29346
0.118	-8.45947
0.1185	-6.84814
0.119	-13.69629
0.1195	-15.30762
0.12	-4.93469
0.1205	-9.16443
0.121	-16.01257
0.1215	-14.19983
0.122	-17.92603
0.1225	-19.03381
0.123	-20.1416
0.1235	-11.38
0.124	-5.94177
0.1245	-6.54602
0.125	-2.41699
0.1255	-3.52478
0.126	2.61841
0.1265	10.27222
0.127	2.11487
