Leonardo_Garofalo_Right_4.c3d  



Time(s):	A_R_bicipite(μV):
0.1585	-1.3092
0.159	-0.80566
0.1595	1.40991
0.16	2.61841
0.1605	2.5177
0.161	4.83398
0.1615	6.84814
0.162	1.81274
0.1625	6.2439
0.163	2.01416
0.1635	2.71912
0.164	4.33044
0.1645	4.22974
0.165	4.33044
0.1655	-0.40283
0.166	1.3092
0.1665	4.02832
0.167	9.06372
0.1675	2.21558
0.168	3.22266
0.1685	6.14319
0.169	9.46655
0.1695	5.63965
0.17	8.35876
0.1705	4.73328
0.171	7.35168
0.1715	7.75452
0.172	5.0354
0.1725	8.66089
0.173	13.89771
0.1735	15.20691
0.174	16.11328
0.1745	17.42249
0.175	13.09204
0.1755	12.18567
0.176	11.68213
0.1765	8.25806
0.177	9.26514
0.1775	11.68213
0.178	10.27222
0.1785	5.74036
0.179	2.61841
0.1795	6.2439
0.18	5.63965
0.1805	0.40283
0.181	2.11487
0.1815	-1.91345
0.182	-3.8269
0.1825	-5.74036
0.183	-0.50354
0.1835	-7.65381
0.184	-6.04248
0.1845	-10.17151
0.185	2.21558
0.1855	3.52478
0.186	1.51062
0.1865	-3.02124
0.187	-6.54602
0.1875	-2.61841
0.188	-4.43115
0.1885	-4.63257
0.189	-5.94177
0.1895	-1.00708
0.19	2.01416
0.1905	-2.01416
0.191	-1.71204
0.1915	3.32336
0.192	0.60425
0.1925	0.70496
0.193	-3.22266
0.1935	-5.43823
0.194	-3.32336
0.1945	-5.74036
0.195	-2.01416
0.1955	-2.11487
0.196	2.92053
0.1965	4.22974
0.197	6.3446
0.1975	7.04956
0.198	4.63257
0.1985	4.83398
0.199	1.91345
0.1995	3.22266
0.2	0.90637
0.2005	3.02124
0.201	6.44531
0.2015	10.17151
0.202	3.92761
0.2025	10.87646
0.203	8.56018
0.2035	9.76868
0.204	8.25806
0.2045	12.28638
0.205	5.63965
0.2055	4.63257
0.206	12.48779
0.2065	16.21399
0.207	14.40125
0.2075	8.45947
0.208	1.3092
0.2085	0.20142
0.209	-0.30212
0.2095	-0.30212
0.21	-6.2439
0.2105	-6.94885
0.211	-3.52478
0.2115	-11.07788
0.212	-11.38
0.2125	-12.78992
0.213	-8.15735
0.2135	-4.53186
0.214	-0.20142
0.2145	-2.31628
0.215	-2.21558
0.2155	-2.31628
0.216	-2.21558
0.2165	0.60425
0.217	-5.43823
0.2175	-3.02124
0.218	-0.20142
0.2185	1.61133
0.219	-0.10071
0.2195	-4.22974
0.22	-3.92761
0.2205	0
0.221	-3.02124
0.2215	-3.32336
0.222	-5.13611
0.2225	-3.02124
0.223	-2.71912
0.2235	-1.3092
0.224	-4.53186
0.2245	-3.7262
0.225	-2.61841
0.2255	4.43115
0.226	2.31628
0.2265	6.04248
0.227	3.92761
0.2275	3.12195
0.228	5.0354
0.2285	8.56018
0.229	13.49487
0.2295	6.14319
0.23	9.76868
0.2305	9.97009
0.231	4.83398
0.2315	10.87646
0.232	7.35168
0.2325	9.97009
0.233	12.08496
0.2335	7.5531
0.234	11.78284
0.2345	8.66089
0.235	10.27222
0.2355	5.0354
0.236	4.73328
0.2365	6.84814
0.237	3.02124
0.2375	7.65381
0.238	7.5531
0.2385	1.91345
0.239	3.62549
0.2395	6.84814
0.24	6.54602
0.2405	0
0.241	8.05664
0.2415	3.32336
0.242	2.31628
0.2425	1.2085
0.243	2.71912
0.2435	2.92053
0.244	-3.8269
0.2445	5.53894
0.245	0.10071
0.2455	-5.23682
0.246	-7.65381
0.2465	-8.15735
0.247	-12.08496
0.2475	-7.65381
0.248	-5.43823
0.2485	0.80566
0.249	-1.3092
0.2495	-4.53186
0.25	-1.00708
0.2505	1.3092
0.251	2.41699
0.2515	-0.60425
0.252	2.5177
0.2525	3.42407
0.253	6.74744
0.2535	5.84106
0.254	3.42407
0.2545	5.94177
0.255	8.56018
0.2555	9.46655
0.256	11.38
0.2565	9.86938
0.257	9.56726
0.2575	15.81116
0.258	11.2793
0.2585	8.96301
0.259	7.85522
0.2595	10.0708
0.26	2.41699
0.2605	10.57434
0.261	7.35168
0.2615	7.15027
0.262	11.68213
0.2625	10.57434
0.263	9.36584
0.2635	9.76868
0.264	13.89771
0.2645	15.91187
0.265	11.07788
0.2655	11.38
0.266	15.40833
0.2665	13.797
0.267	9.46655
0.2675	7.45239
0.268	8.15735
0.2685	-1.3092
0.269	-1.2085
0.2695	-2.61841
0.27	-2.71912
0.2705	-0.50354
0.271	3.92761
0.2715	10.37292
0.272	11.68213
0.2725	10.67505
0.273	13.39417
0.2735	11.17859
0.274	13.29346
0.2745	9.66797
0.275	11.2793
0.2755	7.15027
0.276	6.44531
0.2765	9.36584
0.277	8.25806
0.2775	5.53894
0.278	9.76868
0.2785	10.0708
0.279	13.59558
0.2795	14.50195
0.28	9.97009
0.2805	8.8623
0.281	15.30762
0.2815	11.07788
0.282	13.69629
0.2825	13.59558
