Cristian_Larivera_Left_3.c3d  



Time(s):	B_L_bicipite(μV):
0.1615	8.96301
0.162	8.66089
0.1625	8.7616
0.163	5.84106
0.1635	2.5177
0.164	3.12195
0.1645	-3.32336
0.165	-11.17859
0.1655	-7.85522
0.166	-7.25098
0.1665	-1.61133
0.167	0.60425
0.1675	1.10779
0.168	4.22974
0.1685	8.45947
0.169	7.35168
0.1695	8.05664
0.17	6.44531
0.1705	10.47363
0.171	9.46655
0.1715	5.43823
0.172	0.40283
0.1725	-0.70496
0.173	-6.54602
0.1735	-2.71912
0.174	-3.42407
0.1745	-1.81274
0.175	-1.61133
0.1755	9.26514
0.176	2.81982
0.1765	8.66089
0.177	10.67505
0.1775	8.45947
0.178	5.53894
0.1785	17.6239
0.179	15.81116
0.1795	11.58142
0.18	6.64673
0.1805	1.51062
0.181	5.43823
0.1815	3.92761
0.182	9.46655
0.1825	7.04956
0.183	10.47363
0.1835	6.3446
0.184	7.65381
0.1845	6.64673
0.185	2.11487
0.1855	4.63257
0.186	1.91345
0.1865	0.40283
0.187	2.41699
0.1875	-2.61841
0.188	-7.35168
0.1885	-2.5177
0.189	-0.20142
0.1895	1.51062
0.19	1.40991
0.1905	6.74744
0.191	9.26514
0.1915	13.59558
0.192	14.90479
0.1925	19.03381
0.193	20.64514
0.1935	13.99841
0.194	10.0708
0.1945	15.00549
0.195	16.01257
0.1955	5.33752
0.196	5.84106
0.1965	-4.53186
0.197	-8.8623
0.1975	-11.48071
0.198	-9.46655
0.1985	-9.16443
0.199	-4.93469
0.1995	-0.50354
0.2	2.41699
0.2005	1.3092
0.201	6.54602
0.2015	12.18567
0.202	15.60974
0.2025	12.99133
0.203	11.98425
0.2035	7.04956
0.204	6.04248
0.2045	6.64673
0.205	3.42407
0.2055	-4.83398
0.206	-9.26514
0.2065	-11.58142
0.207	-17.12036
0.2075	-14.19983
0.208	-5.0354
0.2085	1.2085
0.209	1.81274
0.2095	3.42407
0.21	8.66089
0.2105	11.68213
0.211	12.38708
0.2115	14.70337
0.212	17.82532
0.2125	14.50195
0.213	3.42407
0.2135	2.61841
0.214	0.80566
0.2145	0.40283
0.215	1.2085
0.2155	-2.92053
0.216	3.8269
0.2165	11.78284
0.217	8.7616
0.2175	16.51611
0.218	14.40125
0.2185	8.96301
0.219	12.78992
0.2195	10.87646
0.22	6.74744
0.2205	7.04956
0.221	7.15027
0.2215	5.84106
0.222	5.74036
0.2225	4.12903
0.223	-3.92761
0.2235	-0.70496
0.224	-2.81982
0.2245	3.7262
0.225	10.27222
0.2255	11.48071
0.226	17.82532
0.2265	12.18567
0.227	18.8324
0.2275	14.60266
0.228	13.89771
0.2285	2.81982
0.229	0.70496
0.2295	-6.44531
0.23	-4.33044
0.2305	-8.7616
0.231	-3.42407
0.2315	0.60425
0.232	1.3092
0.2325	6.3446
0.233	5.63965
0.2335	3.52478
0.234	11.07788
0.2345	6.2439
0.235	3.02124
0.2355	0.50354
0.236	0.80566
0.2365	0.40283
0.237	2.41699
0.2375	12.28638
0.238	11.58142
0.2385	8.05664
0.239	5.33752
0.2395	7.95593
