Alessio_Russo_Left_1.c3d  



Time(s):	C_L_bicipite(μV):
0.159	83.28552
0.1595	33.43506
0.16	-7.04956
0.1605	-42.29736
0.161	-79.76074
0.1615	-102.11792
0.162	-123.87085
0.1625	-124.4751
0.163	-120.54749
0.1635	-105.94482
0.164	-100.70801
0.1645	-78.75366
0.165	-70.59631
0.1655	-64.85596
0.166	-40.88745
0.1665	-24.47205
0.167	-14.09912
0.1675	-7.75452
0.168	-1.00708
0.1685	12.48779
0.169	18.22815
0.1695	23.8678
0.17	35.04639
0.1705	47.93701
0.171	51.26038
0.1715	55.08728
0.172	60.92834
0.1725	54.58374
0.173	55.99365
0.1735	58.10852
0.174	58.41064
0.1745	47.53418
0.175	51.76392
0.1755	82.47986
0.176	90.03296
0.1765	67.77649
0.177	44.61365
0.1775	14.70337
0.178	0.10071
0.1785	-18.93311
0.179	-17.82532
0.1795	-5.94177
0.18	0.10071
0.1805	-26.98975
0.181	-53.77808
0.1815	-70.29419
0.182	-70.09277
0.1825	-75.32959
0.183	-79.66003
0.1835	-85.40039
0.184	-80.26428
0.1845	-74.72534
0.185	-66.87012
0.1855	-54.38232
0.186	-37.46338
0.1865	-17.12036
0.187	7.15027
0.1875	31.52161
0.188	59.31702
0.1885	69.89136
0.189	74.92676
0.1895	70.09277
0.19	61.73401
0.1905	51.76392
0.191	48.03772
0.1915	42.8009
0.192	39.17542
0.1925	38.47046
0.193	41.99524
0.1935	43.10303
0.194	38.87329
0.1945	38.16833
0.195	27.79541
0.1955	22.45789
0.196	34.44214
0.1965	31.62231
0.197	34.34143
0.1975	36.05347
0.198	32.83081
0.1985	20.04089
0.199	13.59558
0.1995	19.73877
0.2	22.86072
0.2005	23.16284
0.201	12.78992
0.2015	3.42407
0.202	-8.7616
0.2025	-11.78284
0.203	-12.78992
0.2035	-20.1416
0.204	-24.37134
0.2045	-27.09045
0.205	-20.94727
0.2055	-19.23523
0.206	-22.55859
0.2065	-27.49329
0.207	-30.61523
0.2075	-23.46497
0.208	-17.52319
0.2085	-9.66797
0.209	-2.01416
0.2095	-3.52478
0.21	-6.74744
0.2105	-6.3446
0.211	-7.75452
0.2115	-7.04956
0.212	-4.63257
0.2125	3.42407
0.213	4.02832
0.2135	0.10071
0.214	2.31628
0.2145	0.30212
0.215	-4.33044
0.2155	-4.53186
0.216	1.40991
0.2165	8.15735
0.217	7.04956
0.2175	5.0354
0.218	13.49487
0.2185	18.12744
0.219	15.20691
0.2195	20.64514
0.22	33.23364
0.2205	56.79932
0.221	58.71277
0.2215	53.57666
0.222	33.73718
0.2225	15.91187
0.223	0.60425
0.2235	-15.30762
0.224	-34.03931
0.2245	-50.354
0.225	-54.68445
0.2255	-56.39648
0.226	-54.88586
0.2265	-48.03772
0.227	-40.68604
0.2275	-29.30603
0.228	-14.30054
0.2285	-1.40991
0.229	8.25806
0.2295	14.80408
0.23	24.27063
0.2305	70.09277
0.231	130.71899
0.2315	147.1344
0.232	150.75989
0.2325	127.29492
0.233	102.62146
0.2335	65.46021
0.234	23.8678
0.2345	-13.09204
0.235	-42.7002
0.2355	-63.54675
0.236	-56.39648
0.2365	-41.39099
0.237	-24.06921
0.2375	-22.15576
0.238	-22.35718
0.2385	-26.98975
0.239	-37.66479
0.2395	-34.84497
0.24	-16.71753
0.2405	-17.42249
0.241	-16.51611
0.2415	-25.177
0.242	-29.70886
0.2425	-28.50037
0.243	-20.84656
0.2435	-17.12036
0.244	-4.43115
0.2445	1.40991
0.245	-1.00708
0.2455	-0.80566
0.246	3.92761
0.2465	13.29346
0.247	17.12036
0.2475	17.12036
0.248	19.63806
0.2485	23.16284
0.249	29.60815
0.2495	27.99683
0.25	77.54517
0.2505	114.90784
0.251	119.94324
0.2515	120.95032
0.252	138.97705
0.2525	133.23669
0.253	91.94641
0.2535	48.44055
0.254	5.23682
0.2545	-36.75842
0.255	-79.05579
0.2555	-107.95898
0.256	-133.74023
0.2565	-143.71033
0.257	-131.92749
0.2575	-111.58447
0.258	-88.32092
0.2585	-57.50427
0.259	-28.19824
0.2595	-3.42407
0.26	8.56018
0.2605	13.99841
0.261	24.27063
0.2615	31.4209
0.262	49.44763
0.2625	49.24622
0.263	48.84338
0.2635	40.78674
0.264	39.17542
0.2645	22.76001
0.265	16.21399
0.2655	14.80408
0.266	14.90479
0.2665	17.52319
0.267	18.53027
0.2675	25.88196
0.268	25.37842
0.2685	36.35559
0.269	39.77966
0.2695	47.8363
0.27	52.06604
0.2705	84.39331
0.271	110.57739
0.2715	104.93774
0.272	89.52942
0.2725	60.72693
0.273	30.11169
0.2735	16.3147
0.274	-7.75452
0.2745	-27.19116
0.275	-41.39099
0.2755	-54.38232
0.276	-63.64746
0.2765	-67.97791
0.277	-54.98657
0.2775	-48.84338
0.278	-41.79382
0.2785	-38.974
0.279	-22.05505
0.2795	-14.50195
0.28	-7.85522
0.2805	-11.38
0.281	-15.40833
0.2815	-17.72461
0.282	-16.51611
0.2825	-12.48779
0.283	-7.65381
0.2835	-0.20142
0.284	9.76868
0.2845	21.45081
0.285	37.36267
