Marco_Margarita_Right_2.c3d  



Time(s):	B_L_bicipite(μV):
0.166	5.84106
0.1665	7.95593
0.167	8.05664
0.1675	6.84814
0.168	2.61841
0.1685	9.26514
0.169	12.89062
0.1695	8.05664
0.17	7.65381
0.1705	6.54602
0.171	9.36584
0.1715	8.56018
0.172	4.73328
0.1725	10.17151
0.173	5.0354
0.1735	8.96301
0.174	1.61133
0.1745	6.3446
0.175	4.43115
0.1755	3.12195
0.176	4.12903
0.1765	-0.60425
0.177	3.02124
0.1775	4.43115
0.178	2.81982
0.1785	7.35168
0.179	2.61841
0.1795	-2.11487
0.18	4.12903
0.1805	6.64673
0.181	2.11487
0.1815	0.70496
0.182	2.41699
0.1825	4.22974
0.183	1.91345
0.1835	6.14319
0.184	12.08496
0.1845	9.36584
0.185	9.46655
0.1855	11.07788
0.186	4.22974
0.1865	4.73328
0.187	12.48779
0.1875	6.74744
0.188	4.83398
0.1885	10.67505
0.189	5.23682
0.1895	5.13611
0.19	3.32336
0.1905	7.25098
0.191	4.53186
0.1915	2.21558
0.192	6.14319
0.1925	5.13611
0.193	7.15027
0.1935	9.56726
0.194	6.2439
0.1945	8.45947
0.195	3.12195
0.1955	6.84814
0.196	3.12195
0.1965	10.47363
0.197	9.86938
0.1975	5.13611
0.198	9.86938
0.1985	7.15027
0.199	7.04956
0.1995	6.44531
0.2	5.63965
0.2005	5.84106
0.201	8.96301
0.2015	4.93469
0.202	6.44531
0.2025	7.04956
0.203	5.23682
0.2035	4.73328
0.204	5.0354
0.2045	5.63965
0.205	3.42407
0.2055	-2.21558
0.206	1.61133
0.2065	8.25806
0.207	5.63965
0.2075	3.32336
0.208	5.74036
0.2085	0.90637
0.209	3.92761
0.2095	3.42407
0.21	6.44531
0.2105	8.15735
0.211	8.56018
0.2115	6.3446
0.212	4.53186
0.2125	3.22266
0.213	7.85522
0.2135	6.04248
0.214	10.87646
0.2145	1.61133
0.215	3.22266
0.2155	2.5177
0.216	7.5531
0.2165	10.97717
0.217	11.68213
0.2175	10.57434
0.218	5.84106
0.2185	6.44531
0.219	13.39417
0.2195	4.02832
0.22	5.43823
0.2205	3.52478
0.221	3.12195
0.2215	5.43823
0.222	-1.40991
0.2225	4.93469
0.223	4.22974
0.2235	-1.10779
0.224	2.41699
0.2245	3.92761
0.225	1.81274
0.2255	3.8269
0.226	5.13611
0.2265	6.2439
0.227	13.29346
0.2275	3.62549
0.228	11.17859
0.2285	4.83398
0.229	3.8269
0.2295	4.33044
0.23	3.02124
0.2305	2.61841
0.231	6.04248
0.2315	4.53186
0.232	8.35876
0.2325	4.43115
0.233	2.61841
0.2335	7.65381
0.234	5.84106
0.2345	5.53894
0.235	6.3446
0.2355	1.61133
0.236	8.45947
0.2365	3.62549
0.237	3.12195
0.2375	4.93469
0.238	1.71204
0.2385	8.96301
0.239	6.94885
0.2395	7.85522
0.24	8.7616
0.2405	9.97009
0.241	9.76868
0.2415	6.94885
0.242	6.94885
0.2425	4.63257
0.243	2.41699
0.2435	8.7616
0.244	8.15735
0.2445	9.46655
0.245	1.71204
0.2455	4.33044
0.246	2.92053
0.2465	4.53186
0.247	6.14319
0.2475	5.63965
0.248	2.61841
0.2485	6.64673
0.249	3.02124
0.2495	7.85522
0.25	2.01416
0.2505	4.93469
0.251	6.2439
0.2515	4.93469
0.252	10.97717
0.2525	-0.80566
0.253	4.22974
0.2535	8.45947
0.254	6.74744
0.2545	3.52478
0.255	6.94885
0.2555	3.92761
0.256	4.43115
0.2565	4.43115
0.257	6.64673
0.2575	4.83398
0.258	0.10071
0.2585	6.14319
0.259	3.22266
0.2595	7.45239
0.26	6.3446
0.2605	6.94885
0.261	2.71912
0.2615	5.13611
0.262	4.12903
0.2625	8.35876
0.263	4.12903
0.2635	4.83398
0.264	11.2793
0.2645	7.15027
0.265	5.74036
0.2655	4.22974
0.266	6.64673
0.2665	2.01416
0.267	3.42407
0.2675	3.92761
0.268	2.5177
0.2685	2.5177
0.269	7.85522
0.2695	7.95593
0.27	8.96301
0.2705	6.54602
0.271	6.94885
0.2715	3.52478
0.272	2.92053
0.2725	6.84814
0.273	3.42407
0.2735	3.02124
0.274	3.92761
0.2745	2.5177
0.275	3.7262
0.2755	2.21558
0.276	4.22974
0.2765	7.85522
0.277	3.32336
0.2775	4.12903
0.278	4.83398
0.2785	4.33044
0.279	9.06372
0.2795	1.61133
0.28	6.3446
0.2805	9.46655
0.281	5.84106
0.2815	6.04248
0.282	3.8269
0.2825	-1.00708
0.283	-0.90637
0.2835	-4.02832
0.284	4.22974
0.2845	1.3092
0.285	3.02124
0.2855	7.04956
0.286	0
0.2865	3.7262
0.287	2.41699
0.2875	1.51062
0.288	0.50354
0.2885	7.45239
0.289	6.94885
0.2895	4.43115
0.29	5.13611
0.2905	9.76868
0.291	8.96301
0.2915	6.64673
0.292	2.71912
0.2925	2.81982
0.293	3.62549
0.2935	2.41699
0.294	5.53894
0.2945	8.15735
0.295	2.92053
0.2955	8.25806
0.296	1.2085
0.2965	3.7262
0.297	7.75452
0.2975	7.45239
0.298	7.35168
0.2985	6.44531
0.299	7.15027
0.2995	9.76868
0.3	8.7616
0.3005	4.33044
0.301	11.88354
0.3015	8.56018
0.302	6.54602
0.3025	6.44531
0.303	3.62549
0.3035	9.26514
0.304	7.45239
0.3045	6.64673
0.305	8.35876
0.3055	7.5531
0.306	10.47363
0.3065	7.95593
0.307	4.12903
0.3075	6.04248
0.308	6.74744
0.3085	3.62549
0.309	10.27222
0.3095	0.40283
0.31	5.43823
0.3105	5.43823
0.311	12.38708
0.3115	5.0354
0.312	1.81274
0.3125	6.64673
