Alessio_Russo_Left_2.c3d  



Time(s):	A_L_bicipite(μV):
0.1595	-47.63489
0.16	-51.86462
0.1605	-36.75842
0.161	-29.50745
0.1615	-29.80957
0.162	-30.41382
0.1625	-36.95984
0.163	-41.99524
0.1635	-55.89294
0.164	-67.57507
0.1645	-68.17932
0.165	-60.62622
0.1655	-54.0802
0.166	-46.22498
0.1665	-44.31152
0.167	-42.19666
0.1675	-26.28479
0.168	-17.6239
0.1685	-14.60266
0.169	-3.92761
0.1695	16.41541
0.17	19.53735
0.1705	38.16833
0.171	87.21313
0.1715	144.81812
0.172	173.21777
0.1725	170.19653
0.173	149.85352
0.1735	127.89917
0.174	102.52075
0.1745	76.94092
0.175	46.82922
0.1755	25.88196
0.176	1.51062
0.1765	-8.35876
0.177	-1.2085
0.1775	15.20691
0.178	21.95435
0.1785	18.53027
0.179	13.89771
0.1795	9.36584
0.18	-5.43823
0.1805	-13.59558
0.181	-32.12585
0.1815	-57.00073
0.182	-74.02039
0.1825	-92.85278
0.183	-100.20447
0.1835	-104.63562
0.184	-106.75049
0.1845	-93.96057
0.185	-76.63879
0.1855	-60.72693
0.186	-52.97241
0.1865	-50.2533
0.187	-40.78674
0.1875	-32.7301
0.188	-24.27063
0.1885	-22.45789
0.189	-7.04956
0.1895	9.26514
0.19	12.48779
0.1905	14.80408
0.191	11.88354
0.1915	2.92053
0.192	-6.64673
0.1925	-9.76868
0.193	-17.32178
0.1935	-22.55859
0.194	-21.14868
0.1945	-19.63806
0.195	-15.81116
0.1955	-20.24231
0.196	-14.70337
0.1965	-4.43115
0.197	-3.02124
0.1975	6.74744
0.198	12.48779
0.1985	18.02673
0.199	20.74585
0.1995	16.11328
0.2	17.82532
0.2005	17.52319
0.201	20.84656
0.2015	22.35718
0.202	18.02673
0.2025	30.51453
0.203	34.24072
0.2035	45.62073
0.204	46.12427
0.2045	45.72144
0.205	42.39807
0.2055	53.07312
0.206	93.85986
0.2065	123.97156
0.207	127.19421
0.2075	116.51917
0.208	102.52075
0.2085	79.45862
0.209	48.84338
0.2095	17.22107
0.21	-6.2439
0.2105	-12.28638
0.211	-26.3855
0.2115	-32.83081
0.212	-33.13293
0.2125	-35.2478
0.213	-37.16125
0.2135	-49.74976
0.214	-49.54834
0.2145	-31.11877
0.215	-16.41541
0.2155	-14.60266
0.216	-11.98425
0.2165	-3.62549
0.217	2.71912
0.2175	3.92761
0.218	7.85522
0.2185	13.29346
0.219	23.06213
0.2195	23.8678
0.22	20.24231
0.2205	12.89062
0.221	5.43823
0.2215	1.10779
0.222	-7.04956
0.2225	-11.2793
0.223	-11.17859
0.2235	-15.81116
0.224	-19.94019
0.2245	-1.91345
0.225	22.76001
0.2255	43.30444
0.226	52.56958
0.2265	49.44763
0.227	42.7002
0.2275	40.58533
0.228	32.42798
0.2285	26.78833
0.229	15.71045
0.2295	3.7262
0.23	-8.56018
0.2305	-22.96143
0.231	-27.59399
0.2315	-25.07629
0.232	-25.47913
0.2325	-28.60107
0.233	-10.17151
0.2335	5.74036
0.234	10.27222
0.2345	20.44373
0.235	22.15576
0.2355	19.23523
0.236	9.97009
0.2365	4.33044
0.237	1.10779
0.2375	21.3501
0.238	41.29028
0.2385	44.21082
0.239	38.77258
0.2395	13.99841
0.24	-4.53186
0.2405	-28.29895
0.241	-43.50586
0.2415	-57.70569
0.242	-69.08569
0.2425	-78.85437
0.243	-88.11951
0.2435	-82.27844
0.244	-69.38782
0.2445	-52.36816
0.245	-29.80957
0.2455	-21.24939
0.246	-8.35876
0.2465	14.30054
0.247	43.10303
0.2475	47.53418
0.248	46.72852
0.2485	36.35559
0.249	31.32019
0.2495	28.39966
0.25	25.68054
0.2505	22.15576
0.251	35.14709
0.2515	57.20215
0.252	83.78906
0.2525	97.38464
0.253	98.59314
0.2535	86.50818
0.254	66.16516
0.2545	49.44763
0.255	31.32019
0.2555	10.97717
0.256	-4.93469
0.2565	-16.21399
0.257	-35.2478
0.2575	-43.00232
0.258	-52.67029
0.2585	-59.51843
0.259	-54.18091
0.2595	-11.68213
0.26	18.63098
0.2605	42.19666
0.261	61.73401
0.2615	69.38782
0.262	68.58215
0.2625	51.5625
0.263	28.19824
0.2635	12.78992
0.264	-12.89062
0.2645	-29.91028
0.265	-43.10303
0.2655	-43.60657
0.266	4.33044
0.2665	48.74268
0.267	55.99365
0.2675	43.30444
0.268	28.29895
0.2685	8.15735
0.269	-16.41541
0.2695	-37.96692
0.27	-34.14001
0.2705	-22.86072
0.271	-25.68054
0.2715	-34.64355
0.272	-52.8717
0.2725	-67.67578
0.273	-74.12109
0.2735	-71.90552
0.274	-68.17932
0.2745	-72.9126
0.275	-67.17224
0.2755	-59.92126
0.276	-35.44922
0.2765	28.29895
0.277	78.04871
0.2775	105.94482
0.278	103.125
0.2785	91.745
0.279	73.71826
0.2795	49.85046
0.28	26.78833
0.2805	4.22974
0.281	-4.53186
0.2815	-18.63098
0.282	-28.09753
0.2825	-35.65063
0.283	-38.06763
0.2835	-35.75134
0.284	-40.38391
0.2845	-31.82373
0.285	-21.24939
0.2855	4.02832
0.286	44.61365
0.2865	67.07153
0.287	66.97083
0.2875	65.3595
0.288	54.48303
0.2885	53.57666
0.289	37.46338
0.2895	23.96851
0.29	4.73328
0.2905	-10.97717
0.291	-23.76709
0.2915	-35.54993
0.292	-37.66479
0.2925	-33.9386
0.293	-20.84656
0.2935	-18.42957
0.294	-15.20691
0.2945	-13.69629
0.295	-18.22815
0.2955	-24.06921
0.296	-15.81116
0.2965	-12.5885
0.297	-6.74744
0.2975	-2.71912
0.298	0
0.2985	4.22974
0.299	9.66797
0.2995	3.8269
0.3	8.15735
0.3005	11.98425
0.301	21.24939
0.3015	24.37134
0.302	17.92603
0.3025	13.59558
0.303	16.51611
0.3035	46.12427
0.304	71.7041
0.3045	89.12659
0.305	78.25012
0.3055	61.33118
0.306	40.2832
0.3065	11.38
0.307	-16.81824
0.3075	-29.40674
0.308	-46.02356
0.3085	-54.48303
0.309	-57.50427
0.3095	-48.84338
0.31	-33.63647
0.3105	-23.06213
0.311	-15.50903
0.3115	-10.57434
0.312	-3.22266
0.3125	3.7262
0.313	7.15027
0.3135	5.43823
0.314	31.62231
0.3145	44.51294
0.315	51.46179
0.3155	76.03455
0.316	128.50342
0.3165	158.21228
0.317	180.36804
0.3175	179.66309
0.318	152.97546
0.3185	122.96448
0.319	112.59155
0.3195	83.08411
0.32	36.05347
0.3205	-3.7262
0.321	-50.45471
0.3215	-93.45703
0.322	-130.01404
0.3225	-151.86768
0.323	-159.32007
0.3235	-158.11157
0.324	-152.67334
0.3245	-143.10608
0.325	-137.86926
0.3255	-122.36023
0.326	-104.4342
0.3265	-84.39331
0.327	-60.62622
0.3275	-39.57825
0.328	-27.39258
0.3285	-16.01257
0.329	-1.00708
0.3295	10.87646
0.33	5.33752
0.3305	7.35168
0.331	14.70337
0.3315	20.44373
0.332	21.3501
0.3325	30.31311
0.333	29.00391
0.3335	24.27063
0.334	21.75293
0.3345	16.21399
0.335	17.6239
0.3355	15.50903
0.336	3.42407
0.3365	2.11487
0.337	3.7262
0.3375	7.5531
0.338	16.91895
0.3385	19.53735
0.339	19.23523
0.3395	6.54602
0.34	2.21558
0.3405	-6.94885
0.341	-8.66089
0.3415	-5.53894
0.342	2.31628
0.3425	7.25098
0.343	4.43115
0.3435	-0.90637
0.344	-3.92761
0.3445	-2.31628
0.345	8.8623
0.3455	14.50195
0.346	15.81116
0.3465	18.42957
0.347	22.45789
0.3475	26.08337
0.348	27.79541
0.3485	41.29028
0.349	55.59082
0.3495	64.65454
0.35	79.35791
0.3505	88.62305
0.351	98.79456
0.3515	90.23438
0.352	83.88977
0.3525	74.62463
0.353	59.21631
0.3535	40.58533
0.354	26.48621
0.3545	16.91895
