Antonio_Festa_Left_2.c3d  



Time(s):	B_R_bicipite(μV):
0.159	-0.30212
0.1595	17.92603
0.16	25.27771
0.1605	23.8678
0.161	16.11328
0.1615	9.76868
0.162	34.84497
0.1625	99.70093
0.163	157.91016
0.1635	174.62769
0.164	155.896
0.1645	116.72058
0.165	68.28003
0.1655	19.94019
0.166	-19.03381
0.1665	-50.65613
0.167	-76.7395
0.1675	-88.72375
0.168	-95.16907
0.1685	-84.99756
0.169	-75.32959
0.1695	-70.49561
0.17	-63.44604
0.1705	-59.82056
0.171	-40.78674
0.1715	-22.76001
0.172	-0.80566
0.1725	24.87488
0.173	53.27454
0.1735	58.00781
0.174	44.21082
0.1745	23.96851
0.175	-6.44531
0.1755	-30.61523
0.176	-59.31702
0.1765	-79.86145
0.177	-93.55774
0.1775	-94.76624
0.178	-82.27844
0.1785	-63.94958
0.179	-41.18958
0.1795	-20.24231
0.18	-9.36584
0.1805	3.62549
0.181	23.66638
0.1815	43.80798
0.182	53.77808
0.1825	67.17224
0.183	73.01331
0.1835	68.28003
0.184	51.15967
0.1845	34.24072
0.185	28.39966
0.1855	20.04089
0.186	14.70337
0.1865	13.89771
0.187	11.98425
0.1875	9.56726
0.188	10.77576
0.1885	7.65381
0.189	6.64673
0.1895	8.66089
0.19	8.96301
0.1905	9.06372
0.191	16.91895
0.1915	9.86938
0.192	-5.94177
0.1925	-34.03931
0.193	-43.80798
0.1935	-36.05347
0.194	-24.47205
0.1945	-20.54443
0.195	-21.14868
0.1955	-17.22107
0.196	-26.3855
0.1965	-21.45081
0.197	-14.40125
0.1975	-7.45239
0.198	12.38708
0.1985	22.76001
0.199	27.79541
0.1995	34.64355
0.2	33.83789
0.2005	33.03223
0.201	41.18958
0.2015	38.57117
0.202	33.53577
0.2025	34.14001
0.203	39.98108
0.2035	45.41931
0.204	40.1825
0.2045	20.74585
0.205	13.39417
0.2055	4.22974
0.206	4.33044
0.2065	13.69629
0.207	18.93311
0.2075	18.8324
0.208	16.71753
0.2085	14.80408
0.209	14.40125
0.2095	25.88196
0.21	61.53259
0.2105	111.8866
0.211	133.74023
0.2115	126.89209
0.212	100.30518
0.2125	77.14233
0.213	51.66321
0.2135	14.70337
0.214	-12.5885
0.2145	-36.75842
0.215	-58.51135
0.2155	-69.28711
0.216	-72.81189
0.2165	-69.99207
0.217	-54.38232
0.2175	-35.34851
0.218	-14.60266
0.2185	-9.46655
0.219	-4.43115
0.2195	-7.35168
0.22	-4.02832
0.2205	5.23682
0.221	-0.70496
0.2215	-4.93469
0.222	-7.95593
0.2225	-7.5531
0.223	8.56018
0.2235	29.30603
0.224	41.69312
0.2245	42.59949
0.225	44.41223
0.2255	39.67896
0.226	30.11169
0.2265	19.43665
0.227	14.70337
0.2275	10.67505
0.228	11.17859
0.2285	-5.33752
0.229	-11.17859
0.2295	-21.3501
0.23	-30.2124
0.2305	-39.07471
0.231	-42.29736
0.2315	-43.00232
0.232	-38.974
0.2325	-31.32019
0.233	-15.91187
0.2335	-2.21558
0.234	6.14319
0.2345	9.06372
0.235	11.58142
0.2355	5.53894
0.236	7.04956
0.2365	5.13611
0.237	1.91345
0.2375	-4.93469
0.238	3.12195
0.2385	9.46655
0.239	3.02124
0.2395	-5.33752
0.24	-13.09204
0.2405	-15.20691
0.241	-15.1062
0.2415	-17.52319
0.242	-8.25806
0.2425	-7.85522
0.243	-12.48779
0.2435	-15.91187
0.244	-5.84106
0.2445	-2.21558
0.245	-3.22266
0.2455	-1.71204
0.246	2.31628
0.2465	14.40125
0.247	34.94568
0.2475	87.51526
0.248	135.55298
0.2485	155.59387
0.249	154.38538
0.2495	128.20129
0.25	106.34766
0.2505	91.34216
0.251	67.07153
0.2515	31.62231
0.252	-14.90479
0.2525	-39.77966
0.253	-48.23914
0.2535	-61.53259
0.254	-68.78357
0.2545	-73.31543
0.255	-73.91968
0.2555	-45.92285
0.256	14.40125
0.2565	54.78516
0.257	67.57507
0.2575	62.43896
0.258	47.7356
0.2585	3.8269
0.259	-13.29346
0.2595	-39.67896
0.26	-50.95825
0.2605	-59.71985
0.261	-65.86304
0.2615	-83.28552
0.262	-81.27136
0.2625	-73.51685
0.263	-73.91968
0.2635	-70.49561
0.264	-69.68994
0.2645	-69.58923
0.265	-69.28711
0.2655	-63.14392
0.266	-48.84338
0.2665	-34.03931
0.267	-16.01257
0.2675	-11.78284
0.268	-15.00549
0.2685	-13.797
0.269	-5.43823
0.2695	0.80566
0.27	-2.5177
0.2705	8.05664
0.271	11.38
0.2715	15.20691
0.272	17.72461
0.2725	16.81824
0.273	1.81274
0.2735	3.42407
0.274	1.61133
0.2745	0.70496
0.275	-8.15735
0.2755	-13.29346
0.276	-19.33594
0.2765	-27.49329
0.277	-23.56567
0.2775	-21.3501
0.278	-18.53027
0.2785	-17.6239
0.279	-21.65222
0.2795	-37.86621
0.28	-39.57825
0.2805	-41.08887
0.281	-31.21948
0.2815	-24.77417
0.282	-11.38
0.2825	5.43823
0.283	21.75293
0.2835	28.80249
0.284	32.83081
0.2845	24.67346
0.285	24.97559
0.2855	34.64355
0.286	38.67188
0.2865	54.78516
0.287	66.56799
0.2875	76.13525
0.288	74.2218
0.2885	73.61755
0.289	75.53101
0.2895	72.50977
0.29	63.34534
0.2905	51.86462
0.291	41.69312
0.2915	34.84497
0.292	30.81665
0.2925	25.68054
0.293	29.91028
0.2935	31.52161
0.294	29.30603
0.2945	30.91736
0.295	26.48621
0.2955	27.39258
0.296	25.07629
0.2965	20.1416
0.297	14.90479
0.2975	11.88354
0.298	9.26514
0.2985	5.74036
0.299	5.63965
0.2995	-4.22974
0.3	-12.38708
0.3005	-19.73877
0.301	-31.32019
0.3015	-42.29736
0.302	-64.45312
0.3025	-70.19348
0.303	-70.09277
0.3035	-65.05737
0.304	-58.71277
0.3045	-50.45471
0.305	-37.26196
0.3055	-32.93152
0.306	-16.61682
0.3065	-14.70337
0.307	1.00708
0.3075	10.47363
0.308	17.82532
0.3085	20.74585
0.309	26.58691
0.3095	41.79382
0.31	48.74268
0.3105	50.75684
0.311	45.11719
0.3115	45.52002
0.312	44.21082
0.3125	35.95276
0.313	29.50745
0.3135	15.40833
0.314	10.17151
0.3145	11.68213
0.315	8.8623
0.3155	9.76868
0.316	8.05664
0.3165	5.63965
0.317	1.2085
0.3175	3.7262
0.318	1.71204
0.3185	-3.92761
0.319	-6.44531
0.3195	-3.8269
0.32	1.3092
0.3205	-3.32336
0.321	-3.42407
0.3215	-0.20142
0.322	-5.63965
0.3225	-3.52478
0.323	-3.32336
0.3235	-4.53186
0.324	-5.0354
0.3245	-2.71912
0.325	-1.40991
0.3255	5.84106
0.326	5.0354
