Francesco_Luisi_Right_3.c3d  



Time(s):	C_R_bicipite(μV):
0.1575	-3.7262
0.158	-0.50354
0.1585	1.51062
0.159	2.31628
0.1595	1.71204
0.16	2.31628
0.1605	-0.50354
0.161	1.61133
0.1615	-0.80566
0.162	0.70496
0.1625	3.8269
0.163	-0.80566
0.1635	1.51062
0.164	-1.71204
0.1645	0.30212
0.165	-1.2085
0.1655	-3.02124
0.166	-1.3092
0.1665	2.01416
0.167	-1.2085
0.1675	-3.42407
0.168	-3.8269
0.1685	-4.53186
0.169	3.62549
0.1695	-0.10071
0.17	-1.3092
0.1705	2.01416
0.171	-0.30212
0.1715	-4.73328
0.172	-5.33752
0.1725	-3.92761
0.173	0.30212
0.1735	-5.84106
0.174	-3.32336
0.1745	1.61133
0.175	-4.93469
0.1755	-1.2085
0.176	-1.10779
0.1765	-1.91345
0.177	4.33044
0.1775	0.60425
0.178	2.11487
0.1785	3.22266
0.179	-2.41699
0.1795	-1.10779
0.18	-4.53186
0.1805	-2.92053
0.181	-5.74036
0.1815	0.20142
0.182	-0.90637
0.1825	-2.92053
0.183	-1.81274
0.1835	-3.7262
0.184	0.60425
0.1845	2.41699
0.185	-0.70496
0.1855	-5.53894
0.186	-9.06372
0.1865	1.51062
0.187	-2.92053
0.1875	-2.71912
0.188	-5.33752
0.1885	-4.02832
0.189	-6.14319
0.1895	-3.32336
0.19	0.10071
0.1905	-0.10071
0.191	-3.92761
0.1915	-4.63257
0.192	-7.15027
0.1925	-3.8269
0.193	-0.70496
0.1935	1.3092
0.194	2.41699
0.1945	8.35876
0.195	0.40283
0.1955	1.81274
0.196	2.11487
0.1965	-1.61133
0.197	-2.01416
0.1975	-1.2085
0.198	2.41699
0.1985	5.33752
0.199	7.35168
0.1995	2.11487
0.2	5.84106
0.2005	0.90637
0.201	1.91345
0.2015	5.84106
0.202	-2.21558
0.2025	6.2439
0.203	3.7262
0.2035	-0.30212
0.204	-0.50354
0.2045	-1.81274
0.205	2.31628
0.2055	1.71204
0.206	1.71204
0.2065	-5.94177
0.207	3.32336
0.2075	-2.01416
0.208	-1.40991
0.2085	1.91345
0.209	-1.3092
0.2095	-4.63257
0.21	-0.30212
0.2105	-1.40991
0.211	4.22974
0.2115	-2.01416
0.212	3.42407
0.2125	0
0.213	1.2085
0.2135	1.71204
0.214	4.53186
0.2145	3.42407
0.215	2.41699
0.2155	-4.22974
0.216	-2.61841
0.2165	-3.62549
0.217	-2.5177
0.2175	0.40283
0.218	-1.51062
0.2185	2.01416
0.219	-3.92761
0.2195	-4.53186
0.22	2.61841
0.2205	2.61841
0.221	2.21558
0.2215	-0.30212
0.222	-1.61133
0.2225	5.94177
0.223	4.02832
0.2235	-1.81274
0.224	-2.01416
0.2245	6.2439
0.225	3.22266
0.2255	4.83398
0.226	2.61841
0.2265	-5.23682
0.227	-4.43115
0.2275	-2.01416
0.228	-0.10071
0.2285	0.30212
0.229	2.92053
0.2295	-4.43115
0.23	-0.70496
0.2305	-1.81274
0.231	-3.62549
0.2315	-0.40283
0.232	-0.50354
0.2325	-2.81982
0.233	-3.92761
0.2335	-2.41699
0.234	-1.91345
0.2345	-0.10071
0.235	0
0.2355	1.2085
0.236	2.01416
0.2365	1.81274
0.237	1.40991
0.2375	0
0.238	0.50354
0.2385	-1.71204
0.239	0
0.2395	-3.42407
0.24	-3.62549
0.2405	-1.10779
0.241	-2.01416
0.2415	-1.81274
0.242	1.3092
0.2425	-3.62549
0.243	5.84106
0.2435	1.40991
0.244	-4.02832
0.2445	-3.22266
0.245	-0.60425
0.2455	-2.81982
0.246	4.83398
0.2465	-4.22974
0.247	0.10071
0.2475	-0.20142
0.248	2.92053
0.2485	1.71204
0.249	-0.20142
0.2495	3.7262
0.25	-3.92761
0.2505	-0.90637
0.251	-6.44531
0.2515	-1.91345
0.252	-1.3092
0.2525	-5.13611
0.253	1.91345
0.2535	-3.52478
0.254	-4.33044
0.2545	-1.61133
0.255	-1.71204
0.2555	-1.40991
0.256	-3.7262
0.2565	-0.50354
0.257	-1.81274
0.2575	-1.2085
0.258	-0.50354
0.2585	2.41699
0.259	-3.42407
0.2595	-4.43115
0.26	-1.40991
0.2605	-3.32336
0.261	-4.12903
0.2615	3.62549
0.262	0.40283
0.2625	1.10779
0.263	-2.11487
0.2635	-0.30212
0.264	2.61841
0.2645	-1.71204
0.265	0.20142
0.2655	-5.63965
0.266	-4.12903
0.2665	-6.04248
0.267	1.40991
0.2675	-5.13611
0.268	-7.95593
0.2685	-7.35168
0.269	-7.65381
0.2695	1.3092
0.27	-5.74036
0.2705	-8.15735
0.271	-4.63257
0.2715	-5.13611
0.272	-3.32336
0.2725	-1.40991
0.273	-8.7616
0.2735	-4.73328
0.274	-2.01416
0.2745	-2.41699
0.275	-3.7262
0.2755	-2.41699
0.276	-3.92761
0.2765	-9.97009
0.277	-6.04248
0.2775	-7.85522
0.278	0.80566
0.2785	2.31628
0.279	-4.43115
0.2795	-0.40283
0.28	-0.80566
0.2805	-1.51062
0.281	-3.22266
0.2815	-4.73328
0.282	-1.2085
0.2825	2.01416
0.283	-3.42407
0.2835	0.50354
0.284	-2.61841
0.2845	-1.00708
0.285	-1.00708
0.2855	1.61133
0.286	0.80566
0.2865	0
0.287	2.81982
0.2875	2.5177
0.288	1.81274
0.2885	-0.20142
0.289	4.12903
0.2895	-0.50354
0.29	-2.92053
0.2905	-4.63257
0.291	-3.62549
0.2915	-1.71204
0.292	3.62549
0.2925	2.11487
0.293	1.71204
0.2935	1.10779
0.294	-2.01416
0.2945	4.02832
0.295	0.30212
0.2955	1.3092
0.296	-3.8269
0.2965	-1.40991
0.297	-0.50354
0.2975	-1.51062
0.298	-2.01416
0.2985	0.20142
0.299	0.60425
0.2995	-2.92053
0.3	-2.61841
0.3005	0.30212
0.301	2.71912
0.3015	6.74744
0.302	3.52478
0.3025	3.8269
0.303	0.50354
0.3035	3.7262
0.304	4.63257
0.3045	7.65381
0.305	3.02124
0.3055	5.74036
0.306	5.43823
0.3065	14.70337
0.307	4.02832
0.3075	6.2439
