Francesco_Luisi_Right_1.c3d  



Time(s):	C_R_bicipite(μV):
0	-5.74036
0.0005	-3.8269
0.001	-4.63257
0.0015	-2.71912
0.002	-4.73328
0.0025	-3.12195
0.003	-2.71912
0.0035	-6.3446
0.004	-1.10779
0.0045	-0.80566
0.005	-6.3446
0.0055	-1.81274
0.006	-0.70496
0.0065	-6.3446
0.007	-1.91345
0.0075	-6.54602
0.008	-0.50354
0.0085	-3.62549
0.009	-7.95593
0.0095	-5.33752
0.01	-0.70496
0.0105	0
0.011	1.00708
0.0115	-0.20142
0.012	-2.11487
0.0125	-0.30212
0.013	6.84814
0.0135	-0.20142
0.014	2.21558
0.0145	4.02832
0.015	5.33752
0.0155	8.56018
0.016	4.33044
0.0165	4.53186
0.017	4.22974
0.0175	6.74744
0.018	5.63965
0.0185	4.43115
0.019	2.31628
0.0195	7.45239
0.02	1.81274
0.0205	6.94885
0.021	4.43115
0.0215	2.31628
0.022	6.3446
0.0225	4.63257
0.023	7.75452
0.0235	4.63257
0.024	1.61133
0.0245	1.91345
0.025	4.63257
0.0255	-6.14319
0.026	-1.2085
0.0265	-2.11487
0.027	-1.40991
0.0275	0.20142
0.028	-4.02832
0.0285	0.90637
0.029	0.10071
0.0295	2.31628
0.03	1.40991
0.0305	3.52478
0.031	-2.11487
0.0315	-3.7262
0.032	-3.32336
0.0325	-1.10779
0.033	-4.83398
0.0335	-2.41699
0.034	4.12903
0.0345	-0.60425
0.035	1.51062
0.0355	-1.2085
0.036	-1.2085
0.0365	0.40283
0.037	-5.13611
0.0375	-0.10071
0.038	-0.50354
0.0385	-0.90637
0.039	-4.73328
0.0395	-2.21558
0.04	-1.10779
0.0405	-7.35168
0.041	-5.23682
0.0415	-3.02124
0.042	-11.17859
0.0425	0.30212
0.043	-0.30212
0.0435	-3.42407
0.044	-4.43115
0.0445	-11.68213
0.045	-8.7616
0.0455	-10.27222
0.046	-6.94885
0.0465	-8.05664
0.047	-6.64673
0.0475	-9.36584
0.048	-8.35876
0.0485	-5.63965
0.049	-5.63965
0.0495	-8.25806
0.05	-3.12195
0.0505	1.2085
0.051	-1.00708
0.0515	-3.32336
0.052	-4.33044
0.0525	2.5177
0.053	-0.90637
0.0535	-4.53186
0.054	4.33044
0.0545	10.47363
0.055	5.33752
0.0555	6.74744
0.056	6.94885
0.0565	2.31628
0.057	4.73328
0.0575	0.60425
0.058	9.97009
0.0585	4.33044
0.059	7.95593
0.0595	5.13611
0.06	7.04956
0.0605	6.54602
0.061	6.64673
0.0615	8.15735
0.062	5.0354
0.0625	4.43115
0.063	6.14319
0.0635	2.5177
0.064	-0.30212
0.0645	0.80566
0.065	-2.21558
0.0655	-2.21558
0.066	-0.70496
0.0665	-0.80566
0.067	-0.60425
0.0675	-1.71204
0.068	-2.61841
0.0685	-7.04956
0.069	-2.01416
0.0695	-2.01416
0.07	-0.80566
0.0705	-2.01416
0.071	-3.62549
0.0715	-2.92053
0.072	-3.7262
0.0725	-4.73328
0.073	1.51062
0.0735	0.40283
0.074	-0.30212
0.0745	1.10779
0.075	-1.61133
0.0755	-2.11487
0.076	-4.33044
0.0765	1.71204
0.077	-4.53186
0.0775	1.10779
0.078	1.61133
0.0785	4.93469
0.079	5.94177
0.0795	-0.20142
0.08	-0.70496
0.0805	-1.2085
0.081	7.35168
0.0815	1.3092
0.082	0.70496
0.0825	-1.10779
0.083	-2.92053
0.0835	-0.10071
0.084	-6.64673
0.0845	-2.01416
0.085	-5.43823
0.0855	-2.92053
0.086	-1.61133
0.0865	-8.56018
0.087	-8.45947
0.0875	-1.91345
0.088	-3.02124
0.0885	-2.81982
0.089	-2.21558
0.0895	-1.81274
0.09	-6.94885
0.0905	-9.86938
0.091	-11.68213
0.0915	-7.65381
0.092	-10.47363
0.0925	-1.81274
0.093	-6.74744
0.0935	-5.13611
0.094	2.11487
0.0945	0.20142
0.095	2.01416
0.0955	2.61841
0.096	-1.51062
0.0965	-4.02832
0.097	0.80566
0.0975	1.00708
0.098	2.41699
0.0985	6.04248
0.099	-1.71204
0.0995	4.43115
0.1	-2.5177
0.1005	2.41699
0.101	1.51062
0.1015	0.20142
0.102	1.51062
0.1025	2.41699
0.103	1.61133
0.1035	5.74036
0.104	4.53186
0.1045	0.10071
0.105	-2.41699
0.1055	2.61841
0.106	-1.3092
0.1065	5.74036
0.107	2.41699
0.1075	0.30212
0.108	-1.40991
0.1085	-6.04248
0.109	-3.92761
0.1095	-9.16443
0.11	-3.52478
0.1105	-4.73328
0.111	-1.3092
0.1115	0.10071
0.112	-2.61841
0.1125	0.10071
0.113	0
0.1135	-2.11487
0.114	-8.25806
0.1145	-6.84814
0.115	-4.22974
0.1155	0.80566
0.116	0.90637
0.1165	6.2439
0.117	-2.81982
0.1175	-3.8269
0.118	-6.3446
0.1185	-7.65381
0.119	-2.11487
0.1195	1.10779
0.12	-3.7262
0.1205	4.63257
0.121	3.02124
0.1215	-2.31628
0.122	-0.20142
0.1225	-1.00708
0.123	0.40283
0.1235	-0.10071
0.124	-7.35168
0.1245	-2.5177
0.125	-1.40991
0.1255	-5.63965
0.126	-7.85522
0.1265	-4.12903
0.127	-1.51062
0.1275	-9.46655
0.128	-13.39417
0.1285	-6.84814
0.129	-5.33752
0.1295	-4.73328
0.13	-6.14319
0.1305	-10.37292
0.131	-13.19275
0.1315	-8.05664
0.132	-0.20142
0.1325	-2.5177
0.133	-4.53186
0.1335	-2.5177
0.134	-5.94177
0.1345	-3.8269
0.135	-4.63257
0.1355	-7.45239
0.136	-11.17859
0.1365	-10.87646
0.137	-6.3446
0.1375	-10.67505
0.138	-9.26514
0.1385	-3.12195
0.139	-2.11487
0.1395	-0.30212
0.14	-4.83398
0.1405	2.71912
0.141	2.5177
0.1415	1.61133
0.142	-1.61133
0.1425	-2.61841
0.143	0.70496
0.1435	3.52478
0.144	5.84106
0.1445	5.33752
0.145	6.04248
0.1455	2.81982
0.146	6.94885
0.1465	7.5531
0.147	5.63965
0.1475	3.8269
0.148	11.98425
0.1485	10.0708
0.149	7.65381
0.1495	6.64673
0.15	9.36584
0.1505	9.36584
0.151	10.0708
0.1515	6.54602
0.152	5.43823
0.1525	2.81982
0.153	3.22266
0.1535	8.45947
0.154	5.23682
0.1545	8.35876
0.155	4.93469
0.1555	0.80566
0.156	6.94885
0.1565	-2.31628
0.157	-2.61841
0.1575	4.33044
0.158	4.83398
0.1585	-2.41699
0.159	1.10779
0.1595	2.81982
0.16	0
0.1605	-0.80566
0.161	-4.02832
0.1615	-4.53186
0.162	-1.3092
0.1625	3.02124
0.163	-0.10071
0.1635	1.40991
0.164	2.11487
0.1645	2.5177
0.165	0.60425
0.1655	-0.30212
0.166	-2.01416
0.1665	-3.7262
0.167	-0.10071
0.1675	0.70496
0.168	3.92761
0.1685	-0.30212
0.169	0.30212
0.1695	-6.3446
0.17	1.00708
0.1705	-2.41699
0.171	-2.81982
0.1715	0.40283
0.172	1.40991
0.1725	-5.63965
0.173	-2.5177
0.1735	-5.84106
0.174	-3.8269
0.1745	0.80566
0.175	-3.52478
0.1755	-2.41699
0.176	-4.63257
0.1765	-1.51062
0.177	-8.56018
0.1775	-3.52478
0.178	-2.41699
0.1785	1.71204
0.179	-3.52478
0.1795	-3.52478
0.18	-2.41699
0.1805	0.60425
0.181	1.00708
0.1815	-5.13611
0.182	0.80566
0.1825	-2.71912
0.183	2.92053
0.1835	-0.40283
0.184	-1.40991
0.1845	1.3092
0.185	-7.25098
0.1855	4.83398
0.186	-0.30212
0.1865	-2.81982
0.187	-2.81982
0.1875	-1.10779
0.188	-2.41699
0.1885	-4.12903
0.189	-6.04248
0.1895	-7.5531
0.19	-3.32336
0.1905	-1.51062
0.191	-5.84106
0.1915	-2.61841
0.192	-2.71912
0.1925	-6.74744
0.193	-2.11487
0.1935	-1.40991
0.194	-1.51062
0.1945	-3.22266
0.195	-0.30212
0.1955	-0.30212
0.196	-1.51062
0.1965	-2.41699
0.197	-4.43115
0.1975	-5.53894
0.198	-4.53186
0.1985	-6.04248
0.199	-0.70496
0.1995	-2.11487
0.2	-1.61133
0.2005	-0.50354
0.201	2.21558
0.2015	9.36584
0.202	6.3446
0.2025	3.32336
0.203	-0.10071
0.2035	4.63257
0.204	3.02124
0.2045	6.54602
0.205	3.62549
0.2055	-1.00708
0.206	0.90637
0.2065	3.52478
0.207	-0.40283
0.2075	4.33044
0.208	3.02124
0.2085	6.74744
0.209	3.42407
0.2095	5.13611
0.21	3.62549
0.2105	3.32336
0.211	-0.60425
0.2115	-2.81982
0.212	3.52478
0.2125	-0.40283
0.213	3.52478
0.2135	-3.42407
0.214	-1.81274
0.2145	-0.50354
0.215	4.93469
0.2155	0
0.216	2.61841
0.2165	2.61841
0.217	5.84106
0.2175	2.01416
0.218	5.0354
0.2185	-0.70496
0.219	5.53894
0.2195	8.05664
0.22	4.53186
0.2205	3.7262
0.221	6.44531
0.2215	3.8269
0.222	2.61841
0.2225	3.52478
0.223	2.31628
0.2235	3.7262
0.224	8.7616
0.2245	5.43823
0.225	11.48071
0.2255	4.12903
0.226	10.47363
0.2265	6.54602
0.227	4.63257
0.2275	4.43115
0.228	0.70496
0.2285	1.00708
0.229	2.41699
0.2295	1.2085
0.23	-0.10071
0.2305	1.91345
0.231	-8.25806
0.2315	-6.2439
0.232	-3.62549
0.2325	-1.40991
0.233	2.41699
0.2335	-5.33752
0.234	-8.05664
0.2345	-10.47363
0.235	-3.52478
0.2355	-8.05664
0.236	-10.47363
0.2365	-5.84106
0.237	-10.67505
0.2375	-3.62549
0.238	-9.46655
0.2385	-5.0354
0.239	-7.75452
0.2395	-3.32336
0.24	-5.43823
0.2405	-3.8269
0.241	-7.5531
0.2415	-0.40283
0.242	0
0.2425	-1.91345
0.243	-3.32336
0.2435	-5.33752
0.244	-0.60425
0.2445	-5.23682
0.245	-8.35876
0.2455	-5.13611
0.246	-2.61841
0.2465	-0.70496
0.247	3.8269
0.2475	-0.80566
0.248	1.40991
0.2485	-3.7262
0.249	-0.50354
0.2495	-1.00708
0.25	0.40283
0.2505	-1.71204
0.251	-2.61841
0.2515	5.43823
0.252	3.8269
0.2525	3.92761
0.253	7.15027
0.2535	3.22266
0.254	9.86938
0.2545	6.64673
0.255	9.26514
0.2555	11.58142
0.256	13.49487
0.2565	2.31628
0.257	6.2439
0.2575	4.63257
0.258	3.42407
0.2585	0.80566
0.259	0.30212
0.2595	-0.50354
0.26	-2.11487
0.2605	-3.42407
0.261	-4.73328
0.2615	1.40991
0.262	-2.31628
0.2625	-2.92053
0.263	-1.00708
0.2635	-2.92053
0.264	-5.23682
0.2645	-5.43823
0.265	-8.56018
0.2655	-3.92761
0.266	-2.5177
0.2665	-0.30212
0.267	0.20142
0.2675	1.91345
0.268	0.50354
0.2685	-2.01416
0.269	-5.53894
0.2695	-4.43115
0.27	-11.58142
0.2705	-6.04248
0.271	-3.22266
0.2715	-1.3092
0.272	0.30212
0.2725	-1.40991
0.273	-1.61133
0.2735	-4.33044
0.274	-3.22266
0.2745	-7.85522
0.275	-7.04956
0.2755	-0.60425
0.276	-1.10779
0.2765	-1.3092
0.277	-3.42407
0.2775	0.50354
0.278	-0.90637
0.2785	1.51062
0.279	0.10071
0.2795	-5.94177
0.28	-1.61133
0.2805	-5.84106
0.281	0.10071
0.2815	-6.64673
0.282	-2.01416
0.2825	-3.8269
0.283	-5.63965
0.2835	-1.61133
0.284	-7.15027
0.2845	-10.27222
0.285	-4.43115
0.2855	-1.61133
0.286	-3.12195
0.2865	-4.12903
0.287	-3.02124
0.2875	1.61133
0.288	-0.30212
0.2885	-1.40991
0.289	0.20142
0.2895	0.90637
0.29	2.92053
0.2905	2.5177
0.291	1.51062
0.2915	3.7262
0.292	-1.3092
0.2925	-0.10071
0.293	-3.62549
0.2935	-0.30212
0.294	0.50354
0.2945	-3.8269
0.295	-1.91345
0.2955	1.81274
0.296	-1.40991
0.2965	3.32336
0.297	-1.51062
0.2975	4.12903
0.298	3.62549
0.2985	2.92053
0.299	2.81982
0.2995	1.10779
0.3	0.70496
0.3005	0.30212
0.301	-0.60425
0.3015	3.62549
0.302	3.7262
0.3025	5.43823
0.303	-5.23682
0.3035	4.22974
0.304	5.43823
0.3045	4.53186
0.305	4.73328
0.3055	0.40283
0.306	1.71204
0.3065	7.5531
0.307	2.01416
0.3075	1.40991
0.308	4.93469
0.3085	4.33044
0.309	2.21558
0.3095	1.40991
0.31	3.32336
0.3105	-0.80566
0.311	2.01416
0.3115	3.7262
0.312	1.91345
0.3125	3.22266
0.313	-1.40991
0.3135	2.41699
0.314	3.32336
0.3145	-3.52478
0.315	0.80566
0.3155	1.40991
0.316	3.32336
0.3165	0.60425
0.317	1.2085
0.3175	3.8269
0.318	-3.7262
0.3185	0.40283
0.319	5.23682
0.3195	2.21558
0.32	-0.90637
0.3205	0
0.321	2.11487
0.3215	1.3092
0.322	-2.01416
0.3225	-2.92053
0.323	4.33044
0.3235	2.61841
0.324	3.42407
0.3245	-1.40991
0.325	0.20142
0.3255	2.5177
0.326	3.22266
0.3265	-7.35168
0.327	-3.62549
