Gabriele_Carluccio_Left_1.c3d  



Time(s):	C_L_bicipite(μV):
0.159	16.11328
0.1595	9.97009
0.16	14.60266
0.1605	23.16284
0.161	29.70886
0.1615	35.65063
0.162	36.55701
0.1625	40.2832
0.163	34.94568
0.1635	34.34143
0.164	35.04639
0.1645	86.91101
0.165	153.17688
0.1655	188.12256
0.166	191.04309
0.1665	182.48291
0.167	219.74487
0.1675	271.50879
0.168	270.09888
0.1685	252.37427
0.169	239.78577
0.1695	229.81567
0.17	186.51123
0.1705	121.75598
0.171	64.85596
0.1715	60.02197
0.172	74.92676
0.1725	50.45471
0.173	-7.75452
0.1735	-78.25012
0.174	-145.32166
0.1745	-205.14221
0.175	-260.53162
0.1755	-305.85022
0.176	-322.16492
0.1765	-299.70703
0.177	-266.47339
0.1775	-247.33887
0.178	-235.65674
0.1785	-213.8031
0.179	-188.02185
0.1795	-160.22644
0.18	-128.80554
0.1805	-100.80872
0.181	-74.82605
0.1815	-74.82605
0.182	-54.68445
0.1825	-49.0448
0.183	-37.36267
0.1835	-31.32019
0.184	-25.37842
0.1845	-4.33044
0.185	9.36584
0.1855	9.66797
0.186	9.16443
0.1865	7.95593
0.187	9.36584
0.1875	13.99841
0.188	32.93152
0.1885	60.52551
0.189	84.59473
0.1895	127.79846
0.19	159.21936
0.1905	173.31848
0.191	168.38379
0.1915	152.77405
0.192	140.78979
0.1925	159.32007
0.193	183.99353
0.1935	172.21069
0.194	136.96289
0.1945	99.49951
0.195	60.62622
0.1955	13.39417
0.196	-25.98267
0.1965	-57.20215
0.197	-56.39648
0.1975	-65.56091
0.198	-91.04004
0.1985	-113.29651
0.199	-131.62537
0.1995	-131.92749
0.2	-133.23669
0.2005	-113.80005
0.201	-95.97473
0.2015	-68.28003
0.202	-42.7002
0.2025	-33.13293
0.203	-45.52002
0.2035	-53.57666
0.204	-54.18091
0.2045	-44.0094
0.205	-32.02515
0.2055	-8.05664
0.206	77.948
0.2065	130.51758
0.207	139.78271
0.2075	123.77014
0.208	102.92358
0.2085	73.01331
0.209	43.40515
0.2095	24.16992
0.21	13.797
0.2105	-12.08496
0.211	-46.42639
0.2115	-81.97632
0.212	-110.37598
0.2125	-120.7489
0.213	-99.80164
0.2135	-76.63879
0.214	-55.49011
0.2145	-39.77966
0.215	-35.54993
0.2155	-40.1825
0.216	-48.94409
0.2165	-52.36816
0.217	-34.24072
0.2175	-16.21399
0.218	7.35168
0.2185	17.22107
0.219	21.04797
0.2195	25.68054
0.22	21.04797
0.2205	17.42249
0.221	16.21399
0.2215	18.42957
0.222	17.22107
0.2225	17.72461
0.223	27.09045
0.2235	49.95117
0.224	104.23279
0.2245	206.35071
0.225	286.31287
0.2255	354.49219
0.226	414.71558
0.2265	422.06726
0.227	426.90125
0.2275	438.48267
0.228	390.24353
0.2285	281.88171
0.229	144.31458
0.2295	10.57434
0.23	-106.14624
0.2305	-194.9707
0.231	-260.83374
0.2315	-306.65588
0.232	-333.74634
0.2325	-350.46387
0.233	-356.60706
0.2335	-347.03979
0.234	-325.58899
0.2345	-290.64331
0.235	-248.74878
0.2355	-199.70398
0.236	-151.16272
0.2365	-110.37598
0.237	-70.99915
0.2375	-24.06921
0.238	17.92603
0.2385	39.17542
0.239	45.2179
0.2395	50.354
0.24	53.27454
0.2405	39.77966
0.241	26.28479
0.2415	23.76709
0.242	24.87488
0.2425	18.12744
0.243	7.75452
0.2435	-5.23682
0.244	-14.30054
0.2445	-8.35876
0.245	8.35876
0.2455	21.3501
0.246	30.2124
0.2465	27.99683
0.247	44.51294
0.2475	96.47827
0.248	112.89368
0.2485	118.2312
0.249	108.66394
0.2495	100.90942
0.25	88.22021
0.2505	69.38782
0.251	49.54834
0.2515	22.45789
0.252	6.54602
0.2525	-5.43823
0.253	-6.74744
0.2535	-13.49487
0.254	-12.18567
0.2545	-12.08496
0.255	-7.85522
0.2555	0
0.256	8.96301
0.2565	18.8324
0.257	10.57434
0.2575	-13.89771
0.258	-22.86072
0.2585	-34.03931
0.259	-36.15417
0.2595	-33.13293
0.26	-32.62939
0.2605	-32.62939
0.261	-34.03931
0.2615	-25.177
0.262	37.36267
0.2625	75.4303
0.263	79.66003
0.2635	69.99207
0.264	48.33984
0.2645	27.79541
0.265	7.95593
0.2655	-1.51062
0.266	-22.86072
0.2665	-44.61365
0.267	-60.62622
0.2675	-72.30835
0.268	-84.2926
0.2685	-88.92517
0.269	-79.05579
0.2695	-69.68994
0.27	-57.10144
0.2705	-41.39099
0.271	-21.45081
0.2715	-13.09204
0.272	0.70496
0.2725	20.54443
0.273	38.57117
0.2735	67.47437
0.274	85.70251
0.2745	90.03296
0.275	90.93933
0.2755	89.63013
0.276	85.09827
0.2765	82.68127
0.277	76.84021
0.2775	69.68994
0.278	59.51843
0.2785	58.51135
0.279	53.07312
0.2795	47.53418
0.28	43.90869
0.2805	33.9386
0.281	21.95435
0.2815	10.17151
0.282	-2.92053
0.2825	-16.3147
0.283	-1.3092
0.2835	28.09753
0.284	28.60107
0.2845	10.77576
0.285	-5.53894
0.2855	-20.54443
0.286	-38.87329
0.2865	-52.36816
0.287	-61.73401
0.2875	-69.48853
0.288	-73.51685
0.2885	-68.68286
0.289	-61.43188
0.2895	-53.17383
0.29	-44.31152
0.2905	-36.75842
0.291	-14.70337
0.2915	10.67505
0.292	47.7356
0.2925	65.25879
0.293	60.52551
0.2935	66.6687
0.294	75.83313
0.2945	91.54358
0.295	188.12256
0.2955	261.5387
0.296	328.50952
0.2965	390.24353
0.297	377.15149
0.2975	305.95093
0.298	192.25159
0.2985	61.73401
0.299	-69.79065
0.2995	-173.92273
0.3	-256.604
0.3005	-312.89978
0.301	-343.21289
0.3015	-329.61731
0.302	-270.401
0.3025	-205.0415
0.303	-148.64502
0.3035	-100.20447
0.304	-66.16516
0.3045	-54.78516
0.305	-47.43347
0.3055	-40.2832
0.306	-39.98108
0.3065	-73.91968
0.307	-82.68127
0.3075	-71.09985
0.308	-51.15967
0.3085	-33.23364
0.309	-31.21948
0.3095	-33.03223
0.31	-29.50745
0.3105	-27.59399
0.311	-28.9032
0.3115	-23.76709
0.312	-19.43665
0.3125	-4.43115
0.313	1.00708
0.3135	0.30212
0.314	4.93469
0.3145	12.38708
0.315	9.97009
0.3155	9.16443
0.316	18.93311
0.3165	25.177
0.317	26.58691
0.3175	39.98108
0.318	42.49878
0.3185	49.85046
0.319	62.03613
0.3195	76.84021
0.32	78.04871
0.3205	78.95508
0.321	84.69543
0.3215	86.30676
0.322	75.73242
0.3225	69.99207
0.323	51.46179
0.3235	37.16125
0.324	19.43665
0.3245	9.26514
0.325	3.32336
0.3255	-5.43823
0.326	-17.6239
0.3265	-27.59399
0.327	-27.19116
0.3275	-19.33594
0.328	-7.04956
0.3285	2.01416
0.329	7.25098
0.3295	5.13611
0.33	12.89062
0.3305	16.21399
0.331	21.55151
