Franco_Iuliano_Right_2.c3d  



Time(s):	C_R_bicipite(μV):
0.1375	-9.46655
0.138	-8.45947
0.1385	0.40283
0.139	5.74036
0.1395	1.81274
0.14	7.25098
0.1405	-0.80566
0.141	-2.21558
0.1415	-1.10779
0.142	-5.84106
0.1425	-2.61841
0.143	1.10779
0.1435	-5.23682
0.144	-0.10071
0.1445	-2.21558
0.145	-4.02832
0.1455	-7.95593
0.146	-3.52478
0.1465	-3.22266
0.147	2.61841
0.1475	-1.61133
0.148	3.42407
0.1485	-0.80566
0.149	-2.21558
0.1495	-5.0354
0.15	-3.02124
0.1505	-1.2085
0.151	-2.31628
0.1515	-3.02124
0.152	-6.3446
0.1525	-3.42407
0.153	-1.3092
0.1535	-3.42407
0.154	-1.51062
0.1545	-6.74744
0.155	-4.22974
0.1555	-0.60425
0.156	-4.53186
0.1565	1.71204
0.157	5.94177
0.1575	-0.50354
0.158	6.44531
0.1585	3.32336
0.159	0.10071
0.1595	-6.04248
0.16	-5.63965
0.1605	-2.01416
0.161	-0.80566
0.1615	-8.15735
0.162	-5.53894
0.1625	-4.02832
0.163	-6.3446
0.1635	-5.23682
0.164	-2.41699
0.1645	-5.23682
0.165	-3.42407
0.1655	-2.31628
0.166	6.84814
0.1665	10.37292
0.167	5.63965
0.1675	4.02832
0.168	7.45239
0.1685	5.23682
0.169	1.81274
0.1695	-2.11487
0.17	-5.84106
0.1705	-0.10071
0.171	-0.70496
0.1715	0.40283
0.172	4.12903
0.1725	-1.51062
0.173	-1.81274
0.1735	-13.19275
0.174	-12.28638
0.1745	-3.62549
0.175	-5.74036
0.1755	-2.01416
0.176	-2.71912
0.1765	0.50354
0.177	3.12195
0.1775	1.10779
0.178	-3.32336
0.1785	-2.31628
0.179	1.10779
0.1795	-1.2085
0.18	0.50354
0.1805	-6.94885
0.181	-3.8269
0.1815	-6.04248
0.182	-8.96301
0.1825	-10.17151
0.183	-2.11487
0.1835	-4.53186
0.184	-2.31628
0.1845	-2.81982
0.185	-0.50354
0.1855	4.33044
0.186	-1.10779
0.1865	1.40991
0.187	0.60425
0.1875	3.52478
0.188	2.21558
0.1885	0.60425
0.189	-3.42407
0.1895	-1.91345
0.19	-4.33044
0.1905	-1.3092
0.191	-2.01416
0.1915	2.5177
0.192	-9.86938
0.1925	-4.22974
0.193	-6.64673
0.1935	-7.04956
0.194	0.20142
0.1945	1.10779
0.195	2.71912
0.1955	2.71912
0.196	4.43115
0.1965	9.56726
0.197	5.43823
0.1975	-1.61133
0.198	-3.22266
0.1985	-5.53894
0.199	-3.52478
0.1995	-6.3446
0.2	-3.32336
0.2005	3.32336
0.201	0.70496
0.2015	-6.3446
0.202	0
0.2025	2.92053
0.203	1.91345
0.2035	-0.80566
0.204	-2.21558
0.2045	-5.63965
0.205	0.20142
0.2055	-7.5531
0.206	-2.11487
0.2065	-5.0354
0.207	-4.93469
0.2075	-6.84814
0.208	-6.74744
0.2085	-4.43115
0.209	-5.13611
0.2095	-3.22266
0.21	-5.33752
0.2105	-8.15735
0.211	-5.13611
0.2115	-8.05664
0.212	-4.63257
0.2125	-7.15027
0.213	-11.38
0.2135	-8.8623
0.214	-5.23682
0.2145	-9.66797
0.215	-5.33752
0.2155	-3.7262
0.216	-7.95593
0.2165	-8.96301
0.217	-1.61133
0.2175	-5.23682
0.218	-3.42407
0.2185	-1.61133
0.219	-5.94177
0.2195	-5.53894
0.22	-6.94885
0.2205	-7.04956
0.221	-6.14319
0.2215	-5.53894
0.222	-4.33044
0.2225	-7.15027
0.223	-10.87646
0.2235	-4.02832
0.224	-2.71912
0.2245	-6.04248
0.225	-3.62549
0.2255	-5.13611
0.226	-5.43823
0.2265	-5.23682
0.227	-0.50354
0.2275	2.5177
0.228	-1.00708
0.2285	-4.53186
0.229	-3.92761
0.2295	-0.70496
0.23	4.93469
0.2305	5.63965
0.231	3.12195
0.2315	0
0.232	2.01416
0.2325	1.81274
