Leonardo_Garofalo_Left_2.c3d  



Time(s):	A_L_bicipite(μV):
0.161	-1.61133
0.1615	6.2439
0.162	13.09204
0.1625	16.01257
0.163	17.6239
0.1635	17.01965
0.164	9.26514
0.1645	10.97717
0.165	9.76868
0.1655	30.31311
0.166	26.68762
0.1665	16.01257
0.167	6.64673
0.1675	2.71912
0.168	13.29346
0.1685	17.6239
0.169	14.09912
0.1695	10.37292
0.17	0.40283
0.1705	-10.37292
0.171	-14.50195
0.1715	-16.11328
0.172	-11.2793
0.1725	-10.57434
0.173	-7.5531
0.1735	-3.52478
0.174	-1.40991
0.1745	-2.21558
0.175	-5.43823
0.1755	-4.02832
0.176	-9.86938
0.1765	-16.71753
0.177	-8.8623
0.1775	3.62549
0.178	14.09912
0.1785	16.71753
0.179	13.797
0.1795	18.42957
0.18	23.06213
0.1805	17.52319
0.181	14.09912
0.1815	9.36584
0.182	1.00708
0.1825	1.00708
0.183	-3.02124
0.1835	-0.60425
0.184	-10.47363
0.1845	-12.28638
0.185	-1.51062
0.1855	1.71204
0.186	4.12903
0.1865	1.2085
0.187	8.7616
0.1875	20.1416
0.188	22.15576
0.1885	27.19116
0.189	19.63806
0.1895	20.94727
0.19	22.96143
0.1905	29.20532
0.191	23.26355
0.1915	23.46497
0.192	18.93311
0.1925	25.177
0.193	22.05505
0.1935	21.04797
0.194	24.37134
0.1945	26.18408
0.195	22.15576
0.1955	19.63806
0.196	17.92603
0.1965	23.46497
0.197	18.93311
0.1975	16.81824
0.198	12.99133
0.1985	5.74036
0.199	-3.62549
0.1995	-7.5531
0.2	-5.63965
0.2005	-5.0354
0.201	-2.21558
0.2015	1.10779
0.202	-3.32336
0.2025	-11.68213
0.203	-15.00549
0.2035	-5.43823
0.204	12.99133
0.2045	17.42249
0.205	20.04089
0.2055	23.56567
0.206	29.00391
0.2065	36.25488
0.207	37.86621
0.2075	44.31152
0.208	25.07629
0.2085	7.25098
0.209	-12.89062
0.2095	-22.55859
0.21	-30.11169
0.2105	-32.93152
0.211	-25.98267
0.2115	-25.88196
0.212	-20.54443
0.2125	-4.22974
0.213	4.63257
0.2135	6.14319
0.214	7.75452
0.2145	4.33044
0.215	6.94885
0.2155	1.81274
0.216	-6.54602
0.2165	-4.53186
0.217	0.20142
0.2175	0.20142
0.218	3.22266
0.2185	11.78284
0.219	5.23682
0.2195	-3.32336
0.22	-5.63965
0.2205	-1.10779
0.221	3.62549
0.2215	16.41541
0.222	17.52319
0.2225	13.69629
0.223	9.76868
0.2235	13.89771
0.224	13.49487
0.2245	17.52319
0.225	15.91187
0.2255	10.57434
0.226	10.27222
0.2265	10.57434
0.227	10.87646
0.2275	13.99841
0.228	15.00549
0.2285	16.3147
0.229	12.48779
0.2295	12.99133
0.23	12.18567
0.2305	13.59558
0.231	16.11328
0.2315	21.95435
0.232	21.45081
0.2325	18.22815
0.233	7.5531
0.2335	11.78284
0.234	5.33752
0.2345	3.7262
0.235	2.92053
0.2355	6.54602
0.236	-1.91345
0.2365	9.46655
0.237	12.89062
0.2375	20.94727
0.238	20.64514
0.2385	19.94019
0.239	11.17859
0.2395	7.85522
0.24	15.00549
0.2405	19.94019
0.241	5.33752
0.2415	-8.8623
0.242	-11.78284
0.2425	-5.84106
0.243	-5.74036
0.2435	-8.45947
0.244	-6.3446
0.2445	-5.33752
0.245	-5.84106
0.2455	-6.64673
0.246	-12.89062
0.2465	-8.56018
0.247	-1.00708
0.2475	-1.40991
0.248	-0.40283
0.2485	-3.62549
0.249	5.84106
0.2495	12.68921
0.25	19.33594
0.2505	15.71045
0.251	19.53735
0.2515	20.74585
0.252	23.46497
0.2525	24.06921
0.253	26.3855
0.2535	34.54285
0.254	38.77258
0.2545	30.01099
0.255	18.12744
0.2555	6.44531
0.256	1.3092
0.2565	-2.5177
0.257	-6.54602
0.2575	-6.74744
0.258	3.12195
0.2585	3.42407
0.259	7.95593
0.2595	3.02124
0.26	20.34302
0.2605	27.09045
0.261	27.6947
0.2615	28.39966
0.262	29.91028
0.2625	37.26196
0.263	30.91736
0.2635	26.18408
0.264	13.99841
0.2645	-5.53894
0.265	-6.54602
0.2655	-9.36584
0.266	-6.84814
