Niccolo_Morelli_Left_2.c3d  



Time(s):	B_R_bicipite(μV):
0.166	1.71204
0.1665	12.99133
0.167	7.25098
0.1675	8.05664
0.168	8.25806
0.1685	5.0354
0.169	7.85522
0.1695	5.23682
0.17	8.96301
0.1705	8.8623
0.171	10.0708
0.1715	6.94885
0.172	4.63257
0.1725	4.33044
0.173	4.93469
0.1735	5.0354
0.174	7.25098
0.1745	10.27222
0.175	-1.71204
0.1755	-0.20142
0.176	-0.70496
0.1765	-3.62549
0.177	0.30212
0.1775	8.25806
0.178	0.60425
0.1785	-5.0354
0.179	-4.53186
0.1795	-0.40283
0.18	3.92761
0.1805	0.40283
0.181	2.41699
0.1815	5.63965
0.182	5.0354
0.1825	4.12903
0.183	4.22974
0.1835	4.73328
0.184	1.2085
0.1845	10.0708
0.185	1.10779
0.1855	4.83398
0.186	1.81274
0.1865	5.84106
0.187	5.43823
0.1875	7.04956
0.188	3.52478
0.1885	3.52478
0.189	3.52478
0.1895	5.84106
0.19	1.51062
0.1905	2.71912
0.191	4.93469
0.1915	4.63257
0.192	10.97717
0.1925	7.35168
0.193	5.63965
0.1935	10.0708
0.194	4.12903
0.1945	3.52478
0.195	3.62549
0.1955	3.92761
0.196	2.21558
0.1965	10.0708
0.197	4.22974
0.1975	5.74036
0.198	-0.40283
0.1985	9.86938
0.199	4.33044
0.1995	2.61841
0.2	4.93469
0.2005	6.2439
0.201	8.35876
0.2015	5.84106
0.202	5.53894
0.2025	7.65381
0.203	8.15735
0.2035	10.77576
0.204	8.7616
0.2045	8.25806
0.205	2.92053
0.2055	6.44531
0.206	5.74036
0.2065	3.52478
0.207	0.30212
0.2075	-2.5177
0.208	1.91345
0.2085	7.04956
0.209	9.97009
0.2095	2.81982
0.21	3.62549
0.2105	-0.10071
0.211	-0.90637
0.2115	3.62549
0.212	-2.11487
0.2125	1.40991
0.213	5.94177
0.2135	4.93469
0.214	7.45239
0.2145	3.7262
0.215	6.94885
0.2155	0.90637
0.216	3.92761
0.2165	8.15735
0.217	5.74036
0.2175	5.84106
0.218	5.53894
0.2185	6.84814
0.219	8.25806
0.2195	8.45947
0.22	4.63257
0.2205	9.16443
0.221	4.83398
0.2215	5.74036
0.222	6.44531
0.2225	-0.30212
0.223	2.01416
0.2235	3.32336
0.224	3.92761
0.2245	3.8269
0.225	2.11487
0.2255	4.63257
0.226	3.92761
0.2265	5.84106
0.227	6.64673
0.2275	3.62549
0.228	3.42407
0.2285	-1.91345
0.229	5.13611
0.2295	3.52478
0.23	4.93469
0.2305	8.45947
0.231	11.68213
0.2315	6.74744
0.232	6.74744
0.2325	9.76868
0.233	4.73328
0.2335	8.8623
0.234	9.36584
0.2345	4.63257
0.235	6.94885
0.2355	8.15735
0.236	8.15735
0.2365	7.95593
0.237	4.22974
0.2375	2.31628
0.238	2.61841
0.2385	7.04956
0.239	6.84814
0.2395	4.22974
0.24	8.15735
0.2405	5.13611
0.241	7.04956
0.2415	9.46655
0.242	10.57434
0.2425	9.06372
0.243	8.25806
0.2435	8.15735
0.244	2.01416
0.2445	1.10779
0.245	7.95593
0.2455	7.25098
0.246	8.7616
0.2465	13.39417
0.247	9.97009
0.2475	15.60974
0.248	13.59558
0.2485	11.78284
0.249	8.45947
0.2495	13.797
0.25	13.49487
0.2505	10.47363
0.251	8.7616
0.2515	11.68213
0.252	10.67505
0.2525	9.66797
0.253	9.66797
0.2535	9.46655
0.254	12.78992
0.2545	14.80408
0.255	14.80408
0.2555	8.56018
0.256	11.78284
0.2565	8.25806
0.257	5.23682
0.2575	11.17859
0.258	3.7262
0.2585	1.51062
0.259	3.92761
0.2595	6.3446
0.26	1.51062
0.2605	6.74744
0.261	6.14319
0.2615	4.93469
0.262	4.93469
0.2625	1.00708
0.263	3.52478
0.2635	2.31628
0.264	4.73328
0.2645	7.65381
0.265	6.84814
0.2655	1.00708
0.266	3.12195
0.2665	1.61133
0.267	2.71912
0.2675	5.74036
0.268	5.63965
0.2685	3.52478
0.269	9.16443
0.2695	6.14319
0.27	3.02124
0.2705	7.85522
0.271	7.45239
0.2715	9.16443
0.272	7.65381
0.2725	4.12903
0.273	2.41699
0.2735	8.7616
0.274	9.06372
0.2745	4.93469
0.275	5.74036
0.2755	4.12903
0.276	-1.91345
0.2765	-0.90637
0.277	3.32336
0.2775	4.63257
0.278	6.84814
0.2785	3.92761
0.279	-1.91345
0.2795	-5.0354
0.28	5.43823
0.2805	2.11487
0.281	-2.11487
