Alessio_Russo_Right_2.c3d  



Time(s):	A_R_bicipite(μV):
0.1385	-15.30762
0.139	-16.21399
0.1395	-10.27222
0.14	-12.89062
0.1405	-5.13611
0.141	-5.63965
0.1415	-2.01416
0.142	5.43823
0.1425	11.2793
0.143	17.12036
0.1435	24.37134
0.144	33.33435
0.1445	54.88586
0.145	68.17932
0.1455	76.23596
0.146	75.32959
0.1465	67.97791
0.147	58.51135
0.1475	45.62073
0.148	34.84497
0.1485	18.32886
0.149	8.15735
0.1495	1.51062
0.15	-8.96301
0.1505	-9.46655
0.151	-14.70337
0.1515	-18.73169
0.152	-17.52319
0.1525	-12.18567
0.153	-9.86938
0.1535	-7.95593
0.154	1.81274
0.1545	21.65222
0.155	25.47913
0.1555	26.58691
0.156	18.42957
0.1565	12.89062
0.157	20.24231
0.1575	17.52319
0.158	8.05664
0.1585	9.46655
0.159	-0.50354
0.1595	3.22266
0.16	8.45947
0.1605	20.54443
0.161	38.06763
0.1615	44.41223
0.162	39.67896
0.1625	37.66479
0.163	23.96851
0.1635	15.1062
0.164	16.51611
0.1645	8.15735
0.165	4.53186
0.1655	-0.40283
0.166	-6.2439
0.1665	-10.67505
0.167	-15.81116
0.1675	-10.27222
0.168	-14.60266
0.1685	-14.80408
0.169	-15.81116
0.1695	-18.93311
0.17	-23.06213
0.1705	-26.98975
0.171	-31.4209
0.1715	-24.87488
0.172	-19.94019
0.1725	-19.13452
0.173	-23.06213
0.1735	-19.83948
0.174	-18.22815
0.1745	-12.89062
0.175	-9.46655
0.1755	-5.94177
0.176	-7.35168
0.1765	-11.38
0.177	-10.0708
0.1775	-7.45239
0.178	-5.33752
0.1785	-8.45947
0.179	-3.92761
0.1795	-4.63257
0.18	9.16443
0.1805	19.03381
0.181	31.21948
0.1815	41.29028
0.182	41.59241
0.1825	41.4917
0.183	34.74426
0.1835	31.32019
0.184	22.25647
0.1845	15.81116
0.185	10.27222
0.1855	2.5177
0.186	3.12195
0.1865	1.3092
0.187	0
0.1875	-1.81274
0.188	-0.60425
0.1885	0.90637
0.189	8.7616
0.1895	24.37134
0.19	31.4209
0.1905	26.48621
0.191	25.07629
0.1915	25.37842
0.192	25.37842
0.1925	16.71753
0.193	6.04248
0.1935	-5.23682
0.194	-11.68213
0.1945	-18.63098
0.195	-19.94019
0.1955	-18.12744
0.196	-13.29346
0.1965	-2.31628
0.197	11.68213
0.1975	31.82373
0.198	38.47046
0.1985	57.00073
0.199	74.82605
0.1995	76.84021
0.2	71.40198
0.2005	67.07153
0.201	62.9425
0.2015	47.93701
0.202	31.4209
0.2025	8.96301
0.203	-1.2085
0.2035	-13.89771
0.204	-21.24939
0.2045	-26.78833
0.205	-32.42798
0.2055	-44.91577
0.206	-44.21082
0.2065	-30.31311
0.207	-11.2793
0.2075	1.51062
0.208	1.71204
0.2085	-0.20142
0.209	16.01257
0.2095	32.02515
0.21	55.3894
0.2105	60.62622
0.211	61.33118
0.2115	51.05896
0.212	50.65613
0.2125	46.72852
0.213	35.44922
0.2135	31.4209
0.214	32.32727
0.2145	21.3501
0.215	15.30762
0.2155	-1.81274
0.216	-17.12036
0.2165	-29.60815
0.217	-31.72302
0.2175	-42.19666
0.218	-43.40515
0.2185	-51.36108
0.219	-56.29578
0.2195	-64.65454
0.22	-62.64038
0.2205	-66.87012
0.221	-56.39648
0.2215	-51.86462
0.222	-47.03064
0.2225	-46.5271
0.223	-39.98108
0.2235	-31.52161
0.224	-36.75842
0.2245	-30.51453
0.225	-27.39258
0.2255	-21.04797
0.226	-18.12744
0.2265	-0.30212
0.227	11.17859
0.2275	12.89062
0.228	16.41541
0.2285	16.91895
0.229	10.67505
0.2295	10.87646
0.23	5.0354
0.2305	10.37292
0.231	6.94885
0.2315	2.61841
0.232	4.83398
0.2325	6.94885
0.233	4.43115
0.2335	5.84106
0.234	8.15735
0.2345	5.74036
0.235	10.37292
0.2355	6.74744
0.236	11.07788
0.2365	9.86938
0.237	7.15027
0.2375	9.97009
0.238	11.78284
0.2385	13.19275
0.239	14.19983
0.2395	13.19275
0.24	12.08496
0.2405	14.60266
0.241	18.53027
0.2415	20.04089
0.242	19.13452
0.2425	18.12744
0.243	17.72461
0.2435	17.72461
0.244	24.47205
0.2445	24.67346
0.245	40.98816
0.2455	74.82605
0.246	91.94641
0.2465	84.79614
0.247	76.03455
0.2475	58.81348
0.248	52.771
0.2485	41.29028
0.249	19.53735
0.2495	12.5885
0.25	-6.04248
0.2505	-13.89771
0.251	-23.66638
0.2515	-27.89612
0.252	-30.91736
0.2525	-30.81665
0.253	-27.6947
0.2535	-21.95435
0.254	-11.98425
0.2545	-7.45239
0.255	-16.41541
0.2555	-7.15027
0.256	-5.23682
0.2565	3.62549
0.257	9.76868
0.2575	4.43115
0.258	4.43115
0.2585	-11.88354
0.259	-18.93311
0.2595	-23.56567
0.26	-21.04797
0.2605	-9.86938
0.261	-5.63965
0.2615	-1.61133
0.262	-0.80566
0.2625	-1.2085
0.263	-12.78992
0.2635	-10.0708
0.264	-10.37292
0.2645	-9.16443
0.265	-9.76868
0.2655	-6.54602
0.266	-0.70496
0.2665	-0.10071
0.267	-0.10071
0.2675	3.62549
0.268	7.35168
0.2685	4.22974
0.269	6.74744
0.2695	13.89771
0.27	16.61682
0.2705	18.42957
0.271	23.06213
0.2715	25.98267
0.272	31.01807
0.2725	26.3855
0.273	20.24231
0.2735	18.12744
0.274	13.59558
0.2745	8.56018
0.275	9.56726
0.2755	9.26514
0.276	14.30054
0.2765	16.11328
0.277	21.3501
0.2775	45.11719
0.278	51.86462
0.2785	49.14551
0.279	43.40515
0.2795	52.771
0.28	52.26746
0.2805	40.88745
0.281	24.16992
0.2815	10.0708
0.282	-8.25806
0.2825	-18.12744
0.283	-24.57275
0.2835	-29.60815
0.284	-32.52869
0.2845	-33.33435
0.285	-30.51453
0.2855	-17.01965
0.286	-0.80566
0.2865	9.97009
0.287	23.46497
0.2875	44.81506
0.288	57.70569
0.2885	66.06445
0.289	58.41064
0.2895	47.33276
0.29	30.01099
0.2905	11.38
0.291	-7.95593
0.2915	-25.37842
0.292	-42.39807
0.2925	-46.42639
0.293	-48.54126
0.2935	-44.81506
0.294	-35.14709
0.2945	-30.41382
0.295	-25.88196
0.2955	-17.82532
0.296	-19.73877
0.2965	-18.12744
0.297	-16.71753
0.2975	-15.40833
0.298	-15.00549
0.2985	-13.59558
0.299	-12.99133
0.2995	-7.95593
0.3	-1.51062
0.3005	6.44531
0.301	19.83948
0.3015	39.47754
0.302	38.77258
0.3025	32.83081
0.303	29.91028
0.3035	18.8324
0.304	13.29346
0.3045	11.48071
0.305	2.71912
0.3055	3.22266
0.306	6.2439
0.3065	14.80408
0.307	15.50903
0.3075	20.94727
0.308	19.43665
0.3085	13.29346
0.309	8.7616
0.3095	10.97717
0.31	5.13611
0.3105	1.61133
0.311	0
0.3115	-9.46655
0.312	-12.18567
0.3125	-9.56726
0.313	1.2085
0.3135	13.797
0.314	33.73718
0.3145	48.44055
0.315	53.07312
0.3155	43.20374
0.316	48.03772
0.3165	45.01648
0.317	46.92993
0.3175	39.27612
0.318	33.83789
0.3185	34.94568
0.319	30.71594
0.3195	28.39966
0.32	18.12744
0.3205	4.02832
0.321	-7.65381
0.3215	-1.40991
0.322	0.20142
0.3225	0.40283
0.323	-7.5531
0.3235	-14.50195
0.324	-21.3501
0.3245	-24.87488
0.325	-27.09045
0.3255	-39.17542
0.326	-38.77258
0.3265	-36.25488
0.327	-38.87329
0.3275	-40.38391
0.328	-46.12427
0.3285	-42.29736
0.329	-35.54993
0.3295	-35.04639
0.33	-34.94568
0.3305	-33.03223
0.331	-27.99683
0.3315	-31.52161
0.332	-25.07629
0.3325	-18.93311
0.333	-16.21399
0.3335	9.36584
0.334	21.3501
0.3345	27.59399
0.335	18.12744
0.3355	15.91187
0.336	12.78992
0.3365	10.77576
