Christian_Larivera_Left_1.c3d  



Time(s):	A_L_bicipite(μV):
0.1615	7.95593
0.162	8.35876
0.1625	0.30212
0.163	6.04248
0.1635	2.92053
0.164	2.5177
0.1645	-6.94885
0.165	-1.10779
0.1655	-0.30212
0.166	2.71912
0.1665	3.32336
0.167	-0.40283
0.1675	-0.40283
0.168	1.2085
0.1685	3.7262
0.169	-3.92761
0.1695	-2.31628
0.17	-0.60425
0.1705	5.0354
0.171	7.5531
0.1715	2.92053
0.172	6.94885
0.1725	11.2793
0.173	11.58142
0.1735	7.95593
0.174	7.65381
0.1745	7.45239
0.175	12.28638
0.1755	4.12903
0.176	2.01416
0.1765	7.95593
0.177	0.80566
0.1775	5.74036
0.178	-0.10071
0.1785	0.80566
0.179	-5.43823
0.1795	-4.83398
0.18	-6.04248
0.1805	-4.83398
0.181	-3.32336
0.1815	-2.71912
0.182	0.20142
0.1825	1.61133
0.183	-5.13611
0.1835	-6.54602
0.184	0.80566
0.1845	7.65381
0.185	11.88354
0.1855	20.1416
0.186	18.8324
0.1865	27.89612
0.187	20.1416
0.1875	21.04797
0.188	12.38708
0.1885	4.83398
0.189	-6.14319
0.1895	-11.17859
0.19	-7.5531
0.1905	-0.10071
0.191	-2.21558
0.1915	-12.68921
0.192	-15.60974
0.1925	-10.97717
0.193	-6.3446
0.1935	8.05664
0.194	8.35876
0.1945	12.78992
0.195	10.57434
0.1955	19.03381
0.196	14.80408
0.1965	20.54443
0.197	15.1062
0.1975	15.00549
0.198	21.3501
0.1985	23.8678
0.199	26.3855
0.1995	20.54443
0.2	22.15576
0.2005	19.63806
0.201	16.61682
0.2015	7.45239
0.202	7.75452
0.2025	0.20142
0.203	0.50354
0.2035	3.52478
0.204	0.70496
0.2045	11.2793
0.205	8.35876
0.2055	4.93469
0.206	4.83398
0.2065	10.77576
0.207	12.38708
0.2075	9.97009
0.208	14.50195
0.2085	13.39417
0.209	8.35876
0.2095	5.53894
0.21	2.71912
0.2105	-1.71204
0.211	4.93469
0.2115	-2.01416
0.212	-2.11487
0.2125	3.42407
0.213	9.16443
0.2135	15.40833
0.214	4.83398
0.2145	13.09204
0.215	9.66797
0.2155	10.77576
0.216	10.37292
0.2165	7.25098
0.217	8.15735
0.2175	10.97717
0.218	8.25806
0.2185	4.43115
0.219	0.60425
0.2195	-2.5177
0.22	-0.60425
0.2205	-3.7262
0.221	-8.05664
0.2215	-11.58142
0.222	-13.89771
0.2225	-2.71912
0.223	-4.22974
0.2235	2.11487
0.224	8.8623
0.2245	11.58142
0.225	14.70337
0.2255	10.37292
0.226	9.16443
0.2265	11.38
0.227	9.86938
0.2275	11.2793
0.228	19.73877
0.2285	14.50195
0.229	13.29346
0.2295	15.1062
0.23	9.66797
0.2305	5.0354
0.231	-8.05664
0.2315	-6.2439
0.232	-2.71912
0.2325	3.22266
0.233	2.11487
0.2335	9.76868
0.234	6.94885
0.2345	8.45947
0.235	6.3446
0.2355	6.74744
0.236	8.25806
0.2365	7.5531
0.237	9.46655
0.2375	11.07788
0.238	8.15735
0.2385	2.81982
0.239	-0.70496
0.2395	-3.22266
0.24	-6.04248
0.2405	-4.93469
0.241	-7.65381
0.2415	-0.10071
0.242	-4.83398
0.2425	-4.12903
0.243	-0.50354
0.2435	2.01416
0.244	6.94885
0.2445	4.43115
0.245	12.48779
0.2455	13.797
0.246	7.65381
0.2465	0.60425
0.247	-3.32336
0.2475	-1.00708
0.248	-2.5177
0.2485	3.02124
0.249	-2.5177
0.2495	1.51062
0.25	0.60425
0.2505	0.50354
