Franco_Uliana_Right_1.c3d  



Time(s):	A_R_bicipite(μV):
0.1445	-0.80566
0.145	5.0354
0.1455	5.74036
0.146	7.04956
0.1465	5.33752
0.147	10.57434
0.1475	7.85522
0.148	4.33044
0.1485	7.95593
0.149	8.15735
0.1495	7.75452
0.15	8.66089
0.1505	5.0354
0.151	7.25098
0.1515	3.92761
0.152	3.52478
0.1525	3.12195
0.153	8.05664
0.1535	4.83398
0.154	2.31628
0.1545	3.02124
0.155	-1.91345
0.1555	-0.70496
0.156	6.64673
0.1565	5.53894
0.157	10.47363
0.1575	4.83398
0.158	4.93469
0.1585	5.63965
0.159	8.56018
0.1595	4.33044
0.16	11.17859
0.1605	3.92761
0.161	2.81982
0.1615	8.35876
0.162	4.73328
0.1625	1.91345
0.163	2.41699
0.1635	6.3446
0.164	4.33044
0.1645	8.66089
0.165	0.90637
0.1655	0
0.166	-3.42407
0.1665	5.94177
0.167	8.35876
0.1675	7.65381
0.168	5.23682
0.1685	1.51062
0.169	5.63965
0.1695	2.31628
0.17	4.22974
0.1705	2.81982
0.171	5.23682
0.1715	2.31628
0.172	5.74036
0.1725	-1.71204
0.173	1.2085
0.1735	6.3446
0.174	6.3446
0.1745	4.33044
0.175	1.91345
0.1755	6.04248
0.176	2.41699
0.1765	6.64673
0.177	3.12195
0.1775	7.65381
0.178	4.63257
0.1785	0.60425
0.179	8.56018
0.1795	6.74744
0.18	5.43823
0.1805	1.61133
0.181	2.61841
0.1815	5.74036
0.182	6.44531
0.1825	3.62549
0.183	5.43823
0.1835	9.26514
0.184	7.25098
0.1845	13.69629
0.185	4.12903
0.1855	11.2793
0.186	4.63257
0.1865	2.71912
0.187	7.15027
0.1875	6.14319
0.188	7.15027
0.1885	10.97717
0.189	5.13611
0.1895	8.15735
0.19	3.22266
0.1905	2.01416
0.191	3.12195
0.1915	8.8623
0.192	6.64673
0.1925	10.27222
0.193	7.75452
0.1935	7.65381
0.194	5.43823
0.1945	9.56726
0.195	7.75452
0.1955	2.92053
0.196	2.61841
0.1965	4.93469
0.197	5.53894
0.1975	7.75452
