Antonio_Festa_Right_3.c3d  



Time(s):	C_R_bicipite(μV):
0.158	-4.63257
0.1585	-0.30212
0.159	1.2085
0.1595	6.2439
0.16	6.64673
0.1605	6.64673
0.161	9.56726
0.1615	5.13611
0.162	9.97009
0.1625	10.0708
0.163	2.81982
0.1635	1.00708
0.164	-2.01416
0.1645	0.10071
0.165	3.92761
0.1655	7.65381
0.166	5.33752
0.1665	8.15735
0.167	11.58142
0.1675	1.61133
0.168	4.63257
0.1685	8.56018
0.169	2.21558
0.1695	0.30212
0.17	2.21558
0.1705	-3.32336
0.171	-0.40283
0.1715	2.01416
0.172	0
0.1725	-3.62549
0.173	-9.66797
0.1735	-2.61841
0.174	-1.2085
0.1745	-2.5177
0.175	-4.73328
0.1755	-6.2439
0.176	-7.95593
0.1765	-3.8269
0.177	-4.93469
0.1775	3.42407
0.178	4.33044
0.1785	1.61133
0.179	2.5177
0.1795	-0.50354
0.18	3.02124
0.1805	0.20142
0.181	-0.20142
0.1815	-1.51062
0.182	2.21558
0.1825	-4.33044
0.183	-0.40283
0.1835	-4.73328
0.184	-6.44531
0.1845	-11.68213
0.185	-10.0708
0.1855	-8.56018
0.186	-8.7616
0.1865	-8.25806
0.187	-9.16443
0.1875	-6.44531
0.188	-7.75452
0.1885	-7.04956
0.189	-6.94885
0.1895	-7.35168
0.19	-20.84656
0.1905	-18.12744
0.191	-22.35718
0.1915	-18.53027
0.192	-14.60266
0.1925	-14.60266
0.193	-11.2793
0.1935	-4.22974
0.194	-3.32336
0.1945	-2.01416
0.195	-6.14319
0.1955	-2.41699
0.196	-6.3446
0.1965	-3.7262
0.197	1.3092
0.1975	5.74036
0.198	5.33752
0.1985	9.36584
0.199	11.38
0.1995	11.38
0.2	8.7616
0.2005	11.58142
0.201	6.14319
0.2015	6.94885
0.202	3.32336
0.2025	6.54602
0.203	9.86938
0.2035	5.23682
0.204	2.21558
0.2045	5.23682
0.205	6.44531
0.2055	2.41699
0.206	7.04956
0.2065	6.14319
0.207	12.89062
0.2075	5.23682
0.208	12.18567
0.2085	8.96301
0.209	10.67505
0.2095	8.7616
0.21	8.56018
0.2105	9.66797
0.211	2.41699
0.2115	0.40283
0.212	-1.40991
0.2125	1.3092
0.213	0
0.2135	2.21558
0.214	3.02124
0.2145	6.3446
0.215	0.70496
0.2155	-1.2085
0.216	1.61133
0.2165	3.02124
0.217	2.92053
0.2175	0.10071
0.218	5.84106
0.2185	0
0.219	-1.00708
0.2195	-5.63965
0.22	-11.98425
0.2205	-7.04956
0.221	-10.67505
0.2215	-3.62549
0.222	-4.02832
0.2225	-5.13611
0.223	-5.33752
0.2235	-9.26514
0.224	-2.41699
0.2245	-7.75452
0.225	-6.2439
0.2255	-5.23682
0.226	-10.0708
0.2265	-8.7616
0.227	-12.68921
0.2275	-14.40125
0.228	-7.65381
0.2285	-2.31628
0.229	-1.61133
0.2295	-0.40283
0.23	-2.01416
0.2305	3.12195
0.231	2.41699
0.2315	-6.3446
0.232	-2.92053
0.2325	-6.84814
0.233	-6.64673
0.2335	-6.84814
0.234	-12.28638
0.2345	-12.99133
0.235	-10.47363
0.2355	-10.57434
0.236	-8.45947
0.2365	-8.45947
0.237	-9.46655
0.2375	-8.05664
0.238	-11.78284
0.2385	-12.99133
0.239	-12.28638
0.2395	-12.68921
0.24	-15.81116
0.2405	-12.48779
0.241	-16.71753
0.2415	-13.69629
0.242	-8.66089
0.2425	-11.78284
0.243	-5.74036
0.2435	-2.61841
0.244	-3.62549
0.2445	0.30212
0.245	2.11487
0.2455	0.90637
0.246	-2.71912
0.2465	0.80566
0.247	2.11487
0.2475	4.02832
0.248	1.40991
0.2485	-0.30212
0.249	5.94177
0.2495	0.60425
0.25	1.81274
0.2505	-2.01416
0.251	3.32336
0.2515	3.22266
0.252	3.62549
0.2525	7.04956
0.253	5.94177
0.2535	-4.73328
0.254	-0.60425
0.2545	-3.32336
0.255	2.01416
0.2555	-0.90637
0.256	2.31628
0.2565	-1.2085
0.257	3.62549
0.2575	4.83398
0.258	-0.40283
0.2585	2.5177
0.259	-2.11487
0.2595	2.81982
0.26	-4.43115
